	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	9	819	46	799	628	646	694	743	505
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	15	837	53	814	590	635	696	760	496
GCA_000011105@Pyrococcus_horikoshii_OT3	0	13	796	45	774	560	574	640	699	453
GCA_000018365@Thermococcus_onnurineus_NA1	0	22	825	63	808	628	666	729	766	532
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	25	821	49	806	568	612	680	749	479
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	828	73	808	686	697	729	758	615
GCA_000151105@Thermococcus_barophilus_MP	0	50	936	392	930	913	915	919	928	909
GCA_000151205@Thermococcus_sp_AM4	0	24	823	52	810	569	609	695	752	469
GCA_000195935@Pyrococcus_abyssi_GE5	0	9	801	47	781	583	618	662	725	477
GCA_000211475@Pyrococcus_sp_NA2	0	11	802	51	778	605	627	670	716	489
GCA_000215995@Pyrococcus_yayanosii_CH1	0	9	799	55	776	577	610	679	735	484
GCA_000221185@Thermococcus_sp_4557	0	21	846	64	832	592	643	718	766	503
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	22	870	88	849	735	754	784	810	661
GCA_000258515@Thermococcus_zilligii_AN1	0	14	784	45	760	533	576	640	692	442
GCA_000263735@Pyrococcus_sp_ST04	0	11	810	53	790	614	634	682	735	495
GCA_000265525@Thermococcus_cleftensis_CL1	0	21	828	58	808	580	622	696	756	485
GCA_000275605@Pyrococcus_furiosus_COM1	0	9	816	46	795	628	646	690	739	503
GCA_000517445@Thermococcus_paralvinellae_ES1	0	43	895	290	876	820	821	832	850	812
GCA_000585495@Thermococcus_nautili_30_1	0	21	822	48	806	556	602	693	748	478
GCA_000725425@Palaeococcus_pacificus_DY20341	0	23	856	86	842	737	751	776	806	678
GCA_000769655@Thermococcus_eurythermalis_A501	0	13	823	51	803	559	608	680	730	462
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	19	802	53	787	561	600	666	722	473
GCA_001433455@Thermococcus_barophilus_CH5	0	55	939	382	931	905	907	913	922	896
GCA_001484685@Thermococcus_sp_2319x1	0	16	843	88	826	694	700	751	783	629
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	11	817	50	793	599	623	673	733	498
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	15	833	54	814	584	630	698	762	487
GCA_001647085@Thermococcus_piezophilus_CDGS	0	18	817	62	795	607	653	709	750	542
