	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	3	815	35	799	637	648	691	752	537
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	3	747	23	733	527	555	625	674	465
GCA_000011105@Pyrococcus_horikoshii_OT3	0	1	709	24	688	493	509	571	639	392
GCA_000018365@Thermococcus_onnurineus_NA1	0	4	721	18	705	527	558	613	650	480
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	4	710	14	690	477	514	581	629	423
GCA_000022545@Thermococcus_sibiricus_MM_739	0	7	755	44	745	673	682	690	716	655
GCA_000151105@Thermococcus_barophilus_MP	0	5	767	28	747	623	638	682	713	579
GCA_000151205@Thermococcus_sp_AM4	0	3	723	17	710	481	529	593	642	432
GCA_000195935@Pyrococcus_abyssi_GE5	0	4	720	19	706	500	512	587	641	399
GCA_000211475@Pyrococcus_sp_NA2	0	3	722	19	706	501	522	579	638	405
GCA_000215995@Pyrococcus_yayanosii_CH1	0	2	735	30	719	514	542	608	672	445
GCA_000221185@Thermococcus_sp_4557	0	5	753	24	737	534	569	637	674	475
GCA_000246985@Thermococcus_litoralis_DSM_5473	1	13	934	33	924	878	882	893	911	869
GCA_000258515@Thermococcus_zilligii_AN1	0	2	727	15	708	519	545	607	652	459
GCA_000263735@Pyrococcus_sp_ST04	0	1	725	26	715	527	539	597	656	421
GCA_000265525@Thermococcus_cleftensis_CL1	0	4	751	23	733	518	560	619	672	450
GCA_000275605@Pyrococcus_furiosus_COM1	0	3	814	36	798	637	646	691	751	537
GCA_000517445@Thermococcus_paralvinellae_ES1	0	4	739	24	731	613	635	659	694	571
GCA_000585495@Thermococcus_nautili_30_1	0	5	736	16	721	496	534	605	653	430
GCA_000725425@Palaeococcus_pacificus_DY20341	0	4	742	18	730	601	613	648	684	532
GCA_000769655@Thermococcus_eurythermalis_A501	0	5	759	27	747	541	576	647	688	471
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	3	726	30	712	521	548	613	655	460
GCA_001433455@Thermococcus_barophilus_CH5	0	5	771	27	760	629	644	685	721	584
GCA_001484685@Thermococcus_sp_2319x1	1	12	907	46	896	834	841	854	876	827
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	2	734	25	724	522	538	602	673	422
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	4	751	17	735	528	555	633	686	466
GCA_001647085@Thermococcus_piezophilus_CDGS	0	5	719	18	691	514	540	591	637	452
GCA_002197185@Thermococcus_sp_5_4	0	5	741	16	725	550	571	636	670	474
GCA_002214365@Thermococcus_celer_Vu_13	0	4	747	20	729	530	571	642	685	472
GCA_002214385@Thermococcus_gorgonarius_W_12	0	4	710	22	692	518	548	601	637	451
GCA_002214465@Thermococcus_barossii_SHCK_94	0	3	740	17	725	527	560	626	666	462
GCA_002214485@Thermococcus_pacificus_P4	0	4	793	22	781	598	629	690	729	540
GCA_002214505@Thermococcus_siculi_RG_20	0	2	743	21	727	527	551	624	672	461
GCA_002214525@Thermococcus_sp_P6	0	2	689	20	671	485	523	571	617	430
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	4	761	22	747	560	585	647	696	480
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	4	735	20	723	544	559	630	666	477
GCA_002214585@Thermococcus_profundus_DT_5432	0	4	727	15	716	511	543	610	661	443
GCA_002214605@Thermococcus_chitonophagus	0	5	723	17	713	503	523	587	654	414
GCA_006274605@Thermococcus_indicus_IOH1	0	5	767	26	753	542	573	649	692	491
GCA_008152015@Thermococcus_aciditolerans_SY113	0	4	768	34	754	553	584	657	699	487
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	3	815	36	797	636	645	690	749	533
GCA_020386975@Thermococcus_bergensis_T7324	2	49	1000	603	1000	1000	1000	1000	1000	1000
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	5	758	29	749	669	677	690	716	636
GCA_024022995@Thermococcus_aggregans_TY	0	13	803	24	794	718	723	736	761	712
GCA_024707485@Thermococcus_sp_813A4	0	4	766	23	757	575	600	662	704	507
GCA_028471785@Thermococcus_kodakarensis_TS900	0	3	746	23	733	528	557	623	672	466
GCA_028471865@Thermococcus_kodakarensis_TS901	0	3	746	23	732	526	555	621	670	466
GCA_035621495@Thermococcus_sp_SY098	0	4	767	28	755	639	648	687	721	579
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	5	723	17	713	507	527	586	651	413
GCA_900198835@Thermococcus_henrietii_EXT12c	0	3	744	21	728	493	540	615	656	425
GCA_902813195@Thermococcus_sp_2319x1_Essen	1	11	920	51	909	849	856	863	887	841
GCA_904067545@Thermococcus_camini_IRI35c	0	2	755	29	737	535	565	643	681	476
Palaeococcus_helgesoni_DSM_15127	0	4	775	31	759	617	641	679	717	550
Pyrococcus_31_3	0	4	732	17	718	504	525	588	660	421
Pyrococcus_32_1	0	4	732	17	718	504	524	587	660	419
Pyrococcus_abyssi_GE2	0	4	719	18	706	508	525	591	644	411
Pyrococcus_endeavori_ES4	0	1	719	24	711	517	530	591	651	414
Pyrococcus_EXT16	0	5	727	18	716	507	529	593	660	429
Pyrococcus_sp_32_3	0	4	732	18	718	506	528	588	660	423
Pyrococcus_sp_32_4	0	4	732	18	718	510	528	588	661	423
Pyrococcus_sp_EXT_15c	0	2	731	22	722	518	535	597	661	424
Pyrococcus_sp_GE_23	0	3	713	18	698	502	518	579	636	397
Pyrococcus_sp_IRI_42C	0	2	716	29	695	505	522	572	642	410
Thermococcus_15_2	0	4	717	22	705	496	533	593	647	443
Thermococcus_23_2	0	5	741	18	724	547	569	634	670	478
Thermococcus_29_3	0	4	733	21	718	483	535	605	654	428
Thermococcus_31_3	0	4	733	20	724	520	560	609	663	464
Thermococcus_aegaeus_DSM_12767	1	16	848	31	836	782	788	803	818	768
Thermococcus_aggregans_DSM_12819	0	13	803	24	794	720	725	738	763	714
Thermococcus_alcaliphilus_DSM_10322	0	11	842	30	837	774	779	791	814	768
Thermococcus_AMTc11	0	4	774	27	761	577	605	669	714	503
Thermococcus_AMTc30	0	2	729	17	709	485	526	593	637	424
Thermococcus_AMTc51	0	3	720	20	704	475	513	591	638	427
Thermococcus_AMTc85	0	2	721	19	702	476	520	594	639	415
Thermococcus_atlanticus_DSM_15226	0	3	773	31	767	615	646	677	718	550
Thermococcus_barophilus_423_3_23	0	4	757	27	744	627	643	679	712	575
Thermococcus_barophilus_CH1	0	4	773	29	760	621	648	684	721	576
Thermococcus_barophilus_DT4	0	3	731	26	721	606	618	651	680	555
Thermococcus_coalescens_TS1	0	4	764	25	751	568	596	652	704	500
Thermococcus_E15P35	0	3	730	20	718	488	523	601	647	415
Thermococcus_EXT11c	0	2	730	13	706	478	522	594	639	422
Thermococcus_fumicolans_ST557	0	2	727	20	711	494	532	595	651	434
Thermococcus_IRI_06c	0	4	758	29	740	534	570	638	688	460
Thermococcus_IRI15c	0	5	761	36	744	530	563	643	683	477
Thermococcus_marinus_DSM_15227	0	6	744	29	729	533	568	641	677	461
Thermococcus_prieuri_Col3	0	3	718	20	704	493	529	590	642	433
Thermococcus_profundus_DSM_9503	0	4	720	15	709	505	534	602	653	437
Thermococcus_sp_23_4	0	5	741	19	725	549	570	637	669	477
Thermococcus_sp_26_2	0	6	729	19	712	477	527	593	637	428
Thermococcus_sp_33_3	0	4	744	16	728	494	534	608	658	433
Thermococcus_sp_9_3	0	5	740	22	725	492	541	617	655	431
Thermococcus_sp_AMTc09	0	6	730	18	707	477	528	589	636	437
Thermococcus_sp_AMTc102	0	6	729	16	709	482	531	600	642	430
Thermococcus_sp_AMTc71	0	3	745	22	723	516	558	625	662	460
Thermococcus_sp_AMTc72	0	3	745	22	722	517	558	626	661	459
Thermococcus_sp_AMTc79	0	4	740	21	723	494	538	608	652	435
Thermococcus_sp_AMTc94	0	4	736	19	724	494	523	598	649	439
Thermococcus_sp_CIR_03a	0	4	758	23	748	560	570	643	684	476
Thermococcus_sp_CIR_10a	0	4	748	24	738	609	621	654	694	558
Thermococcus_sp_DS1	0	5	741	23	723	541	575	639	676	483
Thermococcus_sp_E10P11	0	4	730	20	717	485	526	595	644	419
Thermococcus_sp_E10P8	0	4	730	20	717	484	525	594	645	422
Thermococcus_sp_E15p33	0	3	730	20	718	485	525	600	647	414
Thermococcus_sp_EXT09c	0	3	725	18	704	473	522	590	643	422
Thermococcus_sp_IRI_05c	0	5	761	17	751	556	587	649	698	490
Thermococcus_sp_IRI10c	0	5	762	35	745	537	569	645	686	481
Thermococcus_sp_IRI14c	0	5	760	36	743	529	564	639	683	482
Thermococcus_sp_IRI24c	0	4	757	31	743	541	565	642	680	484
Thermococcus_sp_IRI25c	0	5	761	36	745	534	568	642	684	480
Thermococcus_sp_IRI27c2	0	4	757	31	743	542	568	643	681	485
Thermococcus_sp_IRI29c	0	4	757	31	743	540	569	643	681	486
Thermococcus_sp_IRI_33c	0	5	737	24	721	537	576	637	677	484
Thermococcus_sp_TPV	0	3	747	20	728	491	534	617	665	433
Thermococcus_sp_unknown	0	3	724	20	705	481	520	597	634	417
Thermococcus_stetteri_DSM_5262	0	5	824	38	808	607	635	706	755	547
Thermococcus_waiotapuensis_WT1	0	3	716	15	701	516	549	602	653	456
