denovo	outgroup	neighbor_sp	qcov	qcov_orf
BCEBDJIJ_00756_gene_mRNA	last	Thermococcus_coalescens_TS1	100	93.54838709677419
BCEBDJIJ_00756_gene_mRNA	before_last	GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	100	93.54838709677419
BCEBDJIJ_00756_gene_mRNA	before_last	GCA_000275605@Pyrococcus_furiosus_COM1	100	93.54838709677419
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_barophilus_423_3_23	77	21.09375
BCEBDJIJ_00768_gene_mRNA	last	GCA_035621495@Thermococcus_sp_SY098	78	30.46875
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_barophilus_CH1	72	50.0
BCEBDJIJ_00768_gene_mRNA	last	GCA_001433455@Thermococcus_barophilus_CH5	72	50.0
BCEBDJIJ_00768_gene_mRNA	last	GCA_000151105@Thermococcus_barophilus_MP	72	50.0
BCEBDJIJ_00768_gene_mRNA	last	GCA_023746595@Thermococcus_argininiproducens_IOH2	100	65.625
BCEBDJIJ_00768_gene_mRNA	last	GCA_000022545@Thermococcus_sibiricus_MM_739	93	70.3125
BCEBDJIJ_00768_gene_mRNA	last	GCA_020386975@Thermococcus_bergensis_T7324	77	52.34375
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_aegaeus_DSM_12767	100	71.875
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_alcaliphilus_DSM_10322	99	71.09375
BCEBDJIJ_00768_gene_mRNA	last	GCA_000246985@Thermococcus_litoralis_DSM_5473	99	71.875
BCEBDJIJ_00768_gene_mRNA	last	GCA_000725425@Palaeococcus_pacificus_DY20341	93	70.3125
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_atlanticus_DSM_15226	78	50.0
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_31_3	68	50.0
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_coalescens_TS1	68	50.0
BCEBDJIJ_00768_gene_mRNA	last	GCA_024707485@Thermococcus_sp_813A4	90	34.375
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_sp_IRI_05c	90	71.875
BCEBDJIJ_00768_gene_mRNA	last	GCA_002214545@Thermococcus_thioreducens_OGL_20P	90	71.875
BCEBDJIJ_00768_gene_mRNA	last	Thermococcus_sp_CIR_03a	90	30.46875
BCEBDJIJ_00768_gene_mRNA	last	GCA_008152015@Thermococcus_aciditolerans_SY113	91	42.1875
BCEBDJIJ_00768_gene_mRNA	last	GCA_001592435@Thermococcus_peptonophilus_OG_1	90	40.625
