	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	32	890	73	869	747	761	794	838	655
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	22	884	42	855	596	661	722	786	518
GCA_000011105@Pyrococcus_horikoshii_OT3	0	40	894	100	879	781	802	817	850	738
GCA_000018365@Thermococcus_onnurineus_NA1	0	12	831	39	792	562	609	686	736	475
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	27	863	40	826	577	624	697	766	482
GCA_000022545@Thermococcus_sibiricus_MM_739	0	7	821	39	789	560	581	658	715	416
GCA_000151105@Thermococcus_barophilus_MP	0	16	865	47	839	620	659	720	777	497
GCA_000151205@Thermococcus_sp_AM4	0	31	853	42	825	587	637	690	750	489
GCA_000195935@Pyrococcus_abyssi_GE5	0	79	965	317	956	945	947	946	949	945
GCA_000211475@Pyrococcus_sp_NA2	0	52	917	132	901	807	826	839	866	768
GCA_000215995@Pyrococcus_yayanosii_CH1	0	25	877	60	850	656	700	743	800	591
GCA_000221185@Thermococcus_sp_4557	0	19	843	45	816	555	605	692	751	484
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	14	885	39	863	648	697	751	805	521
GCA_000258515@Thermococcus_zilligii_AN1	0	17	832	38	801	558	609	678	735	456
GCA_000263735@Pyrococcus_sp_ST04	0	39	900	86	882	763	790	806	841	688
GCA_000265525@Thermococcus_cleftensis_CL1	0	26	834	45	798	566	610	675	727	469
GCA_000275605@Pyrococcus_furiosus_COM1	0	32	890	74	869	746	760	792	835	657
GCA_000517445@Thermococcus_paralvinellae_ES1	0	12	846	45	817	622	653	721	762	500
GCA_000585495@Thermococcus_nautili_30_1	0	20	866	42	832	582	633	710	770	503
GCA_000725425@Palaeococcus_pacificus_DY20341	0	16	834	35	794	575	612	677	725	466
GCA_000769655@Thermococcus_eurythermalis_A501	0	26	881	45	847	588	634	721	779	503
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	20	856	50	824	585	642	702	758	505
GCA_001433455@Thermococcus_barophilus_CH5	0	23	900	50	879	650	691	751	821	520
GCA_001484685@Thermococcus_sp_2319x1	0	12	840	40	816	619	647	715	767	503
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	40	905	79	876	760	781	822	842	697
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	23	851	42	824	577	635	710	758	512
GCA_001647085@Thermococcus_piezophilus_CDGS	0	14	847	41	799	562	614	680	734	476
GCA_002197185@Thermococcus_sp_5_4	0	15	839	40	801	577	631	703	750	494
GCA_002214365@Thermococcus_celer_Vu_13	0	19	854	36	820	555	621	696	761	476
GCA_002214385@Thermococcus_gorgonarius_W_12	0	17	813	38	777	555	591	661	704	467
GCA_002214465@Thermococcus_barossii_SHCK_94	0	15	841	44	816	573	637	699	765	492
GCA_002214485@Thermococcus_pacificus_P4	0	17	820	37	786	548	612	671	724	480
GCA_002214505@Thermococcus_siculi_RG_20	0	20	839	41	800	560	624	679	743	481
GCA_002214525@Thermococcus_sp_P6	0	11	785	33	747	511	565	638	696	448
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	28	863	44	822	571	630	689	744	494
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	10	837	40	807	580	639	700	756	496
GCA_002214585@Thermococcus_profundus_DT_5432	0	20	846	39	813	560	617	683	739	492
GCA_002214605@Thermococcus_chitonophagus	0	27	912	85	894	777	793	821	857	720
GCA_006274605@Thermococcus_indicus_IOH1	0	33	879	44	841	589	650	721	788	513
GCA_008152015@Thermococcus_aciditolerans_SY113	0	28	876	49	836	569	628	705	764	488
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	32	889	74	870	746	758	793	840	658
GCA_020386975@Thermococcus_bergensis_T7324	0	10	830	42	802	601	628	688	741	456
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	15	820	41	792	575	606	668	727	420
GCA_024022995@Thermococcus_aggregans_TY	0	18	839	38	808	596	655	702	755	485
GCA_024707485@Thermococcus_sp_813A4	0	18	854	41	820	577	641	708	762	505
GCA_028471785@Thermococcus_kodakarensis_TS900	0	22	882	42	853	594	657	717	786	517
GCA_028471865@Thermococcus_kodakarensis_TS901	0	22	882	42	853	591	658	720	786	515
GCA_035621495@Thermococcus_sp_SY098	0	19	872	43	848	631	667	721	791	513
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	27	913	86	896	779	794	822	860	723
GCA_900198835@Thermococcus_henrietii_EXT12c	0	30	887	40	855	583	649	730	796	510
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	16	841	40	818	608	645	714	761	486
GCA_904067545@Thermococcus_camini_IRI35c	0	28	847	47	811	558	600	685	738	474
Palaeococcus_helgesoni_DSM_15127	0	22	848	35	812	578	618	687	746	446
Pyrococcus_31_3	0		915	85	900	782	795	824	867	725
Pyrococcus_32_1	0	32	915	85	899	780	793	824	869	721
Pyrococcus_abyssi_GE2	0	120	1000	373	1000	1000	1000	1000	1000	1000
Pyrococcus_endeavori_ES4	0	35	894	86	873	741	774	800	832	671
Pyrococcus_EXT16	0	30	915	83	900	789	801	836	868	728
Pyrococcus_sp_32_3	0	32	915	84	900	783	798	826	867	725
Pyrococcus_sp_32_4	0	32	915	85	900	778	793	824	867	722
Pyrococcus_sp_EXT_15c	0	31	892	84	870	763	788	814	839	705
Pyrococcus_sp_GE_23	0	62	918	273	904	874	873	880	887	866
Pyrococcus_sp_IRI_42C	0	39	901	73	878	727	739	784	823	645
Thermococcus_15_2	0	13	836	41	799	571	599	680	732	488
Thermococcus_23_2	0	15	839	40	801	574	631	705	749	488
Thermococcus_29_3	0	21	861	39	829	573	630	699	766	500
Thermococcus_31_3	0	23	844	40	812	576	624	704	752	498
Thermococcus_aegaeus_DSM_12767	0	12	841	46	809	599	642	700	754	482
Thermococcus_aggregans_DSM_12819	0	18	839	38	808	596	654	700	753	488
Thermococcus_alcaliphilus_DSM_10322	0	9	837	39	813	610	647	713	757	500
Thermococcus_AMTc11	0	27	893	44	869	620	680	767	811	531
Thermococcus_AMTc30	0	17	857	40	818	571	630	711	760	483
Thermococcus_AMTc51	0	24	854	42	823	583	625	706	766	492
Thermococcus_AMTc85	0	20	859	38	820	574	620	706	755	484
Thermococcus_atlanticus_DSM_15226	0	19	875	40	851	612	652	743	793	507
Thermococcus_barophilus_423_3_23	0	10	862	46	837	622	665	718	782	512
Thermococcus_barophilus_CH1	0	18	882	48	856	631	673	729	791	502
Thermococcus_barophilus_DT4	0	24	863	43	826	617	648	702	765	501
Thermococcus_coalescens_TS1	0	28	856	39	824	580	641	707	763	497
