	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	1	109	996	466	995	994	995	994	995	992
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	20	838	47	820	580	618	685	760	466
GCA_000011105@Pyrococcus_horikoshii_OT3	0	24	831	99	816	691	702	736	765	617
GCA_000018365@Thermococcus_onnurineus_NA1	0	13	768	45	747	513	561	619	688	416
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	27	794	39	775	505	561	628	709	426
GCA_000022545@Thermococcus_sibiricus_MM_739	0	10	792	63	766	597	611	654	712	483
GCA_000151105@Thermococcus_barophilus_MP	0	14	839	59	820	631	664	693	754	531
GCA_000151205@Thermococcus_sp_AM4	0	25	785	46	757	511	552	627	705	412
GCA_000195935@Pyrococcus_abyssi_GE5	0	31	851	81	839	713	713	755	792	630
GCA_000211475@Pyrococcus_sp_NA2	0	33	866	96	850	735	739	769	809	658
GCA_000215995@Pyrococcus_yayanosii_CH1	0	28	820	63	800	598	625	698	756	518
GCA_000221185@Thermococcus_sp_4557	0	15	801	44	779	482	531	620	707	376
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	12	878	76	855	697	716	753	808	573
GCA_000258515@Thermococcus_zilligii_AN1	0	12	778	42	757	502	535	607	693	402
GCA_000263735@Pyrococcus_sp_ST04	0	17	843	81	830	717	731	759	794	640
GCA_000265525@Thermococcus_cleftensis_CL1	0	17	781	43	758	493	543	630	698	397
GCA_000275605@Pyrococcus_furiosus_COM1	2	112	1000	474	1000	1000	1000	1000	1000	1000
GCA_000517445@Thermococcus_paralvinellae_ES1	0	8	799	49	779	621	633	666	715	527
GCA_000585495@Thermococcus_nautili_30_1	0	14	790	47	776	511	546	632	716	390
GCA_000725425@Palaeococcus_pacificus_DY20341	0	8	804	35	786	582	616	666	722	462
GCA_000769655@Thermococcus_eurythermalis_A501	0	22	823	49	805	526	566	666	738	417
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	19	785	46	760	515	554	629	706	405
GCA_001433455@Thermococcus_barophilus_CH5	0	15	846	46	829	644	672	708	768	540
GCA_001484685@Thermococcus_sp_2319x1	0	17	857	77	827	656	675	711	776	557
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	24	837	82	815	682	698	733	781	611
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	20	794	51	778	548	572	646	712	435
GCA_001647085@Thermococcus_piezophilus_CDGS	0	13	763	58	739	509	548	614	677	421
GCA_002197185@Thermococcus_sp_5_4	0	10	801	50	780	510	564	650	712	393
GCA_002214365@Thermococcus_celer_Vu_13	0	14	812	60	796	506	584	663	736	377
GCA_002214385@Thermococcus_gorgonarius_W_12	0	14	764	47	742	526	551	615	685	407
GCA_002214465@Thermococcus_barossii_SHCK_94	0	14	815	40	801	533	583	657	730	407
GCA_002214485@Thermococcus_pacificus_P4	0	11	800	48	776	515	574	644	720	413
GCA_002214505@Thermococcus_siculi_RG_20	0	20	807	42	784	512	559	639	727	398
GCA_002214525@Thermococcus_sp_P6	0	11	747	59	728	459	508	594	671	365
