	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	29	887	74	861	646	685	742	539	810
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	33	906	68	872	630	666	755	555	807
GCA_000011105@Pyrococcus_horikoshii_OT3	0	21	873	75	838	654	677	737	557	795
GCA_000018365@Thermococcus_onnurineus_NA1	0	25	882	72	852	665	711	769	615	801
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	24	871	59	828	588	641	710	557	767
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	831	64	800	552	594	678	434	744
GCA_000151105@Thermococcus_barophilus_MP	0	23	886	85	859	651	702	777	554	815
GCA_000151205@Thermococcus_sp_AM4	0	28	860	56	822	598	653	719	546	765
GCA_000195935@Pyrococcus_abyssi_GE5	0	26	879	77	857	685	727	777	627	815
GCA_000211475@Pyrococcus_sp_NA2	0	36	909	91	894	711	742	796	618	842
GCA_000215995@Pyrococcus_yayanosii_CH1	0	93	1000	424						
GCA_000221185@Thermococcus_sp_4557	0	18	878	54	844	620	682	747	583	784
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	18	899	64	868	645	689	761	546	822
GCA_000258515@Thermococcus_zilligii_AN1	0	24	867	59	830	593	667	729	551	779
GCA_000263735@Pyrococcus_sp_ST04	0	23	876	89	856	685	707	767	600	813
GCA_000265525@Thermococcus_cleftensis_CL1	0	30	878	72	850	622	690	749	580	788
GCA_000275605@Pyrococcus_furiosus_COM1	0	28	891	75	866	651	690	746	550	816
GCA_000517445@Thermococcus_paralvinellae_ES1	0	17	866	67	842	629	682	744	524	799
GCA_000585495@Thermococcus_nautili_30_1	0	24	884	68	860	643	694	758	585	786
GCA_000725425@Palaeococcus_pacificus_DY20341	0	13	874	61	847	618	655	743	512	803
GCA_000769655@Thermococcus_eurythermalis_A501	0	31	910	65	878	640	698	769	588	814
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	24	874	69	840	609	654	731	564	785
GCA_001433455@Thermococcus_barophilus_CH5	0	32	916	81	894	695	730	808	585	853
GCA_001484685@Thermococcus_sp_2319x1	0	17	878	69	835	623	666	733	516	788
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	23	906	93	880	692	732	798	611	841
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	32	891	62	868	630	672	753	566	802
GCA_001647085@Thermococcus_piezophilus_CDGS	0	27	874	69	845	626	681	739	579	784
GCA_002197185@Thermococcus_sp_5_4	0	15	865	59	837	630	691	743	582	781
GCA_002214365@Thermococcus_celer_Vu_13	0	22	864	55	835	607	668	730	574	765
GCA_002214385@Thermococcus_gorgonarius_W_12	0	20	833	53	790	575	620	685	515	736
GCA_002214465@Thermococcus_barossii_SHCK_94	0	19	867	66	836	628	680	742	581	780
GCA_002214485@Thermococcus_pacificus_P4	0	18	862	59	821	627	678	752	586	776
GCA_002214505@Thermococcus_siculi_RG_20	0	18	874	54	835	620	678	732	572	776
GCA_002214525@Thermococcus_sp_P6	0	17	812	49	776	567	625	697	534	730
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	31	891	86	860	647	708	772	611	808
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	14	864	61	840	623	675	731	567	780
GCA_002214585@Thermococcus_profundus_DT_5432	0	19	870	53	839	596	654	732	546	780
GCA_002214605@Thermococcus_chitonophagus	0	31	904	83	879	676	731	784	605	827
GCA_006274605@Thermococcus_indicus_IOH1	0	28	906	74	878	643	701	768	596	821
GCA_008152015@Thermococcus_aciditolerans_SY113	0	29	903	72	880	651	708	785	594	819
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	29	891	74	867	654	692	751	548	817
GCA_020386975@Thermococcus_bergensis_T7324	0	10	863	63	821	623	655	737	522	786
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	13	859	65	826	576	626	711	428	772
GCA_024022995@Thermococcus_aggregans_TY	0	20	876	70	850	636	682	751	536	807
GCA_024707485@Thermococcus_sp_813A4	0	32	891	76	868	659	714	790	619	818
GCA_028471785@Thermococcus_kodakarensis_TS900	0	33	905	68	872	631	667	756	556	804
GCA_028471865@Thermococcus_kodakarensis_TS901	0	33	904	68	871	628	666	754	560	805
GCA_035621495@Thermococcus_sp_SY098	0	28	890	78	859	649	686	773	562	813
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	32	907	83	882	677	735	791	613	835
GCA_900198835@Thermococcus_henrietii_EXT12c	0	28	895	67	869	643	688	760	585	801
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	21	883	67	843	630	656	733	520	794
GCA_904067545@Thermococcus_camini_IRI35c	0	25	881	69	851	624	690	746	573	788
Palaeococcus_helgesoni_DSM_15127	0	20	867	58	831	592	649	733	504	774
Pyrococcus_31_3	0	32	923	82	897	699	750	798	628	843
Pyrococcus_32_1	0	32	924	82	898	702	752	794	623	844
Pyrococcus_abyssi_GE2	0	26	888	71	867	701	726	779	631	825
Pyrococcus_endeavori_ES4	0	19	872	79	852	677	702	767	591	806
Pyrococcus_EXT16	0	32	907	83	884	697	746	787	632	836
Pyrococcus_sp_32_3	0	32	923	81	896	702	749	796	622	843
Pyrococcus_sp_32_4	0	32	923	81	897	704	751	797	628	842
Pyrococcus_sp_EXT_15c	0	23	880	81	857	691	733	785	601	818
Pyrococcus_sp_GE_23	0	22	881	75	854	690	723	773	610	810
Pyrococcus_sp_IRI_42C	0	34	902	81	876	684	721	788	581	831
Thermococcus_15_2	0	13	855	58	824	601	657	715	553	767
Thermococcus_23_2	0	15	865	57	836	630	689	743	587	782
Thermococcus_29_3	0	27	881	64	854	628	693	756	569	789
Thermococcus_31_3	0	28	891	62	865	667	712	771	607	811
Thermococcus_aegaeus_DSM_12767	0	12	878	68	847	628	664	743	517	800
Thermococcus_aggregans_DSM_12819	0	19	878	64	851	639	679	753	537	810
Thermococcus_alcaliphilus_DSM_10322	0	14	864	66	835	629	663	738	521	788
Thermococcus_AMTc11	0	31	918	75	890	685	728	805	611	837
Thermococcus_AMTc30	0	25	881	53	857	623	687	752	577	794
Thermococcus_AMTc51	0	19	888	61	865	641	693	760	588	804
Thermococcus_AMTc85	0	26	886	55	863	637	684	759	585	797
Thermococcus_atlanticus_DSM_15226	0	19	895	77	868	661	719	781	608	820
Thermococcus_barophilus_423_3_23	0	19	878	75	855	650	696	768	541	811
Thermococcus_barophilus_CH1	0	27	898	80	870	672	709	793	561	832
Thermococcus_barophilus_DT4	0	22	878	64	843	630	675	763	515	806
Thermococcus_coalescens_TS1	0	33	896	70	867	660	723	784	622	816
Thermococcus_E15P35	0	27	885	65	861	641	698	751	591	789
Thermococcus_EXT11c	0	27	877	58	847	618	671	741	574	781
Thermococcus_fumicolans_ST557	0	32	898	64	864	639	688	760	581	806
Thermococcus_IRI_06c	0	28	888	77	858	647	710	774	608	808
Thermococcus_IRI15c	0	27	896	70	864	636	700	760	597	803
Thermococcus_marinus_DSM_15227	0	37	917	64	880	633	696	767	578	819
Thermococcus_prieuri_Col3	0	17	877	58	844	619	669	728	565	780
Thermococcus_profundus_DSM_9503	0	19	869	52	834	595	651	728	541	777
Thermococcus_sp_23_4	0	15	865	57	837	632	690	744	585	783
Thermococcus_sp_26_2	0	33	898	59	866	624	683	753	577	795
Thermococcus_sp_33_3	0	26	887	66	865	636	697	763	590	797
Thermococcus_sp_9_3	0	32	896	66	870	639	698	765	586	804
Thermococcus_sp_AMTc09	0	37	897	68	865	625	678	745	569	793
Thermococcus_sp_AMTc102	0	33	893	64	862	615	677	745	574	792
Thermococcus_sp_AMTc71	0	16	871	54	839	614	664	743	565	784
Thermococcus_sp_AMTc72	0	16	871	53	839	613	665	743	565	784
Thermococcus_sp_AMTc79	0	27	889	62	862	634	696	760	590	794
Thermococcus_sp_AMTc94	0	28	884	64	858	632	692	751	582	784
Thermococcus_sp_CIR_03a	0	26	899	65	871	652	715	775	614	815
Thermococcus_sp_CIR_10a	0	30	905	88	875	675	714	784	567	833
Thermococcus_sp_DS1	0	30	903	77	880	668	735	792	620	834
Thermococcus_sp_E10P11	0	33	886	65	858	636	693	752	584	790
Thermococcus_sp_E10P8	0	33	886	65	855	641	692	755	579	793
Thermococcus_sp_E15p33	0	27	886	64	864	642	699	755	588	791
Thermococcus_sp_EXT09c	0	25	890	59	856	625	681	758	582	793
Thermococcus_sp_IRI_05c	0	27	892	79	872	681	731	794	625	830
Thermococcus_sp_IRI10c	0	27	894	72	862	640	705	761	597	804
Thermococcus_sp_IRI14c	0	27	896	70	864	639	697	761	594	804
Thermococcus_sp_IRI24c	0	25	883	70	855	632	693	755	586	794
Thermococcus_sp_IRI25c	0	27	905	70	870	645	704	766	596	808
Thermococcus_sp_IRI27c2	0	25	883	72	855	632	694	754	587	793
Thermococcus_sp_IRI29c	0	25	883	71	855	631	691	755	586	795
Thermococcus_sp_IRI_33c	0	29	902	78	877	671	736	795	622	832
Thermococcus_sp_TPV	0	32	903	63	879	628	699	761	574	811
Thermococcus_sp_unknown	0	24	891	59	861	637	690	758	584	796
Thermococcus_stetteri_DSM_5262	0	30	899	73	863	636	681	757	577	801
Thermococcus_waiotapuensis_WT1	0	23	867	54	828	604	663	722	540	773
