	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	21	775	18	750	460	501	595	668	344
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	68	843	31	833	638	679	732	783	607
GCA_000011105@Pyrococcus_horikoshii_OT3	0	13	741	12	719	433	477	572	643	335
GCA_000018365@Thermococcus_onnurineus_NA1	0	50	820	26	809	691	723	752	768	666
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	60	816	20	794	586	623	679	732	567
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	769	16	750	490	541	638	702	364
GCA_000151105@Thermococcus_barophilus_MP	0	19	824	22	812	574	614	710	761	479
GCA_000151205@Thermococcus_sp_AM4	0	70	837	22	814	614	662	713	754	603
GCA_000195935@Pyrococcus_abyssi_GE5	0	21	741	19	717	477	515	599	643	397
GCA_000211475@Pyrococcus_sp_NA2	0	21	767	17	749	472	521	598	669	380
GCA_000215995@Pyrococcus_yayanosii_CH1	0	19	771	14	754	525	575	635	683	483
GCA_000221185@Thermococcus_sp_4557	0	104	896	22	889	821	831	849	867	810
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	15	817	19	794	577	604	685	744	475
GCA_000258515@Thermococcus_zilligii_AN1	0	39	791	27	768	583	624	663	712	559
GCA_000263735@Pyrococcus_sp_ST04	0	19	750	14	725	446	491	583	652	350
GCA_000265525@Thermococcus_cleftensis_CL1	0	106	890	28	880	787	800	820	848	781
GCA_000275605@Pyrococcus_furiosus_COM1	0	23	775	19	752	455	497	593	664	339
GCA_000517445@Thermococcus_paralvinellae_ES1	0	20	775	18	758	540	573	656	707	452
GCA_000585495@Thermococcus_nautili_30_1	0	64	847	35	825	664	691	737	774	635
GCA_000725425@Palaeococcus_pacificus_DY20341	0	16	790	16	773	569	601	677	724	478
GCA_000769655@Thermococcus_eurythermalis_A501	0	69	850	28	831	657	679	735	776	627
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	55	805	24	783	577	620	673	723	555
