	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	25	790	43	772	500	549	633	698	373
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	77	880	109	868	682	720	774	816	651
GCA_000011105@Pyrococcus_horikoshii_OT3	0	16	790	43	774	497	540	635	699	378
GCA_000018365@Thermococcus_onnurineus_NA1	0	41	814	117	798	656	689	723	747	632
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	85	879	142	863	730	750	797	825	691
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	798	53	786	501	554	653	728	366
GCA_000151105@Thermococcus_barophilus_MP	0	27	854	58	839	582	627	723	776	461
GCA_000151205@Thermococcus_sp_AM4	0	97	896	147	880	761	784	835	855	722
GCA_000195935@Pyrococcus_abyssi_GE5	0	24	809	47	786	550	593	664	723	454
GCA_000211475@Pyrococcus_sp_NA2	0	19	819	48	797	524	577	664	716	441
GCA_000215995@Pyrococcus_yayanosii_CH1	0	31	802	61	785	556	592	662	704	500
GCA_000221185@Thermococcus_sp_4557	0	52	848	131	837	689	703	760	792	666
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	25	845	48	830	567	626	713	770	465
GCA_000258515@Thermococcus_zilligii_AN1	0	47	840	161	822	694	712	750	773	670
GCA_000263735@Pyrococcus_sp_ST04	0	20	795	48	772	500	557	644	696	400
GCA_000265525@Thermococcus_cleftensis_CL1	0	57	842	134	832	684	703	752	782	651
GCA_000275605@Pyrococcus_furiosus_COM1	0	25	788	42	767	501	544	632	695	375
GCA_000517445@Thermococcus_paralvinellae_ES1	0	19	803	52	780	526	582	661	717	420
GCA_000585495@Thermococcus_nautili_30_1	0	75	877	118	864	685	722	785	812	655
GCA_000725425@Palaeococcus_pacificus_DY20341	0	13	799	46	782	526	571	665	723	434
GCA_000769655@Thermococcus_eurythermalis_A501	0	56	853	110	838	668	702	759	787	640
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	81	870	127	849	711	750	794	817	689
GCA_001433455@Thermococcus_barophilus_CH5	0	39	885	57	872	590	646	742	793	476
GCA_001484685@Thermococcus_sp_2319x1	0	16	789	47	772	552	594	669	724	458
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	29	829	45	800	540	588	666	720	456
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	39	864	111	848	685	714	762	799	654
GCA_001647085@Thermococcus_piezophilus_CDGS	0	32	821	92	799	643	672	720	745	607
GCA_002197185@Thermococcus_sp_5_4	0	32	829	121	819	678	710	755	780	650
GCA_002214365@Thermococcus_celer_Vu_13	0	29	827	109	814	666	692	741	770	635
GCA_002214385@Thermococcus_gorgonarius_W_12	0	50	820	156	802	675	697	728	761	648
GCA_002214465@Thermococcus_barossii_SHCK_94	0	40	856	119	844	692	722	773	803	651
GCA_002214485@Thermococcus_pacificus_P4	0	43	816	148	807	682	701	741	764	653
GCA_002214505@Thermococcus_siculi_RG_20	0	45	850	134	835	693	719	770	794	680
GCA_002214525@Thermococcus_sp_P6	0	24	740	75	728	582	610	647	681	549
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	59	863	130	851	686	715	770	806	641
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	33	838	120	827	680	706	762	790	645
GCA_002214585@Thermococcus_profundus_DT_5432	0	89	907	182	894	818	829	858	873	793
GCA_002214605@Thermococcus_chitonophagus	0	25	816	51	790	532	576	668	714	452
GCA_006274605@Thermococcus_indicus_IOH1	0	57	890	133	882	728	758	809	843	703
GCA_008152015@Thermococcus_aciditolerans_SY113	0	69	883	140	867	707	740	789	817	683
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	25	791	41	773	504	549	637	699	372
GCA_020386975@Thermococcus_bergensis_T7324	0	11	787	51	771	533	587	672	718	454
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	13	794	45	779	484	538	661	718	340
GCA_024022995@Thermococcus_aggregans_TY	0	16	802	54	781	556	579	674	723	436
GCA_024707485@Thermococcus_sp_813A4	0	47	864	126	855	692	731	779	806	655
GCA_028471785@Thermococcus_kodakarensis_TS900	0	77	880	109	867	676	715	769	817	648
GCA_028471865@Thermococcus_kodakarensis_TS901	0	77	880	109	867	675	715	770	818	646
GCA_035621495@Thermococcus_sp_SY098	0	33	867	60	850	573	622	708	773	459
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	25	817	51	792	530	582	667	715	454
GCA_900198835@Thermococcus_henrietii_EXT12c	0	53	872	116	859	671	706	766	800	641
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	16	787	49	771	541	588	668	723	458
GCA_904067545@Thermococcus_camini_IRI35c	0	68	877	137	863	714	736	787	813	683
Palaeococcus_helgesoni_DSM_15127	0	12	800	48	780	544	578	662	714	448
Pyrococcus_31_3	0	30	834	50	809	537	596	676	735	457
Pyrococcus_32_1	0	30	834	50	808	538	595	675	733	459
Pyrococcus_abyssi_GE2	0	28	809	47	786	542	595	665	723	450
Pyrococcus_endeavori_ES4	0	18	795	46	773	497	548	642	699	396
Pyrococcus_EXT16	0	24	831	52	804	538	593	675	729	464
Pyrococcus_sp_32_3	0	30	834	50	808	537	593	676	734	459
Pyrococcus_sp_32_4	0	30	834	49	808	537	592	677	733	458
Pyrococcus_sp_EXT_15c	0	23	811	49	795	536	586	655	712	456
Pyrococcus_sp_GE_23	0	29	815	48	792	542	588	655	720	449
Pyrococcus_sp_IRI_42C	0	18	790	44	773	501	550	639	706	392
Thermococcus_15_2	0	38	837	112	824	663	703	749	772	625
Thermococcus_23_2	0	32	829	121	819	684	712	755	778	645
Thermococcus_29_3	0	66	863	115	847	674	701	767	799	639
Thermococcus_31_3	0	52	863	125	853	698	726	767	801	652
Thermococcus_aegaeus_DSM_12767	0	13	815	53	796	543	596	687	745	437
Thermococcus_aggregans_DSM_12819	0	16	802	54	782	557	581	672	724	439
Thermococcus_alcaliphilus_DSM_10322	0	17	809	55	796	559	604	695	755	450
Thermococcus_AMTc11	0	72	911	132	903	730	757	812	847	678
Thermococcus_AMTc30	0	57	861	117	849	677	705	773	800	641
Thermococcus_AMTc51	0	54	874	117	861	680	711	781	810	656
Thermococcus_AMTc85	0	65	876	118	859	669	710	775	803	646
Thermococcus_atlanticus_DSM_15226	0	52	863	71	848	640	689	756	791	606
Thermococcus_barophilus_423_3_23	0	27	848	56	831	577	618	705	772	465
Thermococcus_barophilus_CH1	0	33	862	59	846	585	636	726	780	471
Thermococcus_barophilus_DT4	0	29	833	52	816	543	594	691	750	439
Thermococcus_coalescens_TS1	0	49	866	132	857	708	738	782	806	669
Thermococcus_E15P35	0	71	877	119	862	673	702	773	810	644
Thermococcus_EXT11c	0	57	862	114	847	664	695	762	797	629
Thermococcus_fumicolans_ST557	1	181	1000	502	1000	1000	1000	1000	1000	1000
Thermococcus_IRI_06c	0	73	859	130	844	704	721	767	795	663
Thermococcus_IRI15c	0	66	881	140	870	705	738	792	818	680
Thermococcus_marinus_DSM_15227	0	61	867	115	848	674	702	763	797	645
Thermococcus_prieuri_Col3	0	44	852	113	836	667	705	754	786	629
Thermococcus_profundus_DSM_9503	0	89	902	181	890	816	827	856	871	791
Thermococcus_sp_23_4	0	32	829	121	819	682	710	757	779	650
Thermococcus_sp_26_2	0	68	861	109	843	671	700	759	786	637
Thermococcus_sp_33_3	0	70	877	114	862	687	718	783	810	650
Thermococcus_sp_9_3	0	82	876	117	861	680	717	785	815	654
Thermococcus_sp_AMTc09	0	65	856	108	837	672	693	749	780	638
Thermococcus_sp_AMTc102	0	61	848	108	831	660	682	743	774	632
Thermococcus_sp_AMTc71	0	56	863	134	853	696	732	776	804	675
Thermococcus_sp_AMTc72	0	56	863	133	852	701	732	775	802	676
Thermococcus_sp_AMTc79	0	62	875	112	863	673	712	775	806	637
Thermococcus_sp_AMTc94	0	60	865	114	851	668	705	772	803	634
Thermococcus_sp_CIR_03a	0	56	895	130	884	734	765	812	833	696
Thermococcus_sp_CIR_10a	0	30	867	57	848	582	625	718	786	459
Thermococcus_sp_DS1	0	76	882	117	872	710	740	790	820	660
Thermococcus_sp_E10P11	0	70	870	116	857	671	702	776	803	633
Thermococcus_sp_E10P8	0	70	870	116	856	669	700	775	804	633
Thermococcus_sp_E15p33	0	71	876	119	862	671	704	773	810	646
Thermococcus_sp_EXT09c	0	65	872	117	855	673	710	766	802	647
Thermococcus_sp_IRI_05c	0	58	867	128	855	694	729	783	810	646
Thermococcus_sp_IRI10c	0	66	886	139	876	712	747	798	820	687
Thermococcus_sp_IRI14c	0	66	881	140	870	704	737	792	818	682
Thermococcus_sp_IRI24c	0	63	875	138	862	708	735	793	815	686
Thermococcus_sp_IRI25c	0	66	881	141	871	706	738	795	819	680
Thermococcus_sp_IRI27c2	0	63	875	138	861	710	737	792	814	684
Thermococcus_sp_IRI29c	0	63	875	138	861	708	736	791	816	683
Thermococcus_sp_IRI_33c	0	80	884	117	874	707	745	798	829	667
Thermococcus_sp_TPV	0	51	875	116	859	668	701	769	801	641
Thermococcus_sp_unknown	0	58	874	118	860	683	713	776	812	641
Thermococcus_stetteri_DSM_5262	0	50	860	100	847	679	718	769	799	651
Thermococcus_waiotapuensis_WT1	0	57	837	150	815	682	709	746	765	668
