	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	12	828	35	785	520	578	649	737	384
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	44	878	90	846	690	720	763	798	662
GCA_000011105@Pyrococcus_horikoshii_OT3	0	12	803	33	757	498	544	628	698	378
GCA_000018365@Thermococcus_onnurineus_NA1	0	43	844	116	812	683	701	742	770	650
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	48	856	92	829	643	677	729	773	613
GCA_000022545@Thermococcus_sibiricus_MM_739	0	18	829	37	789	525	566	668	724	360
GCA_000151105@Thermococcus_barophilus_MP	0	32	879	52	849	609	644	737	803	496
GCA_000151205@Thermococcus_sp_AM4	0	48	858	98	827	663	695	743	785	632
GCA_000195935@Pyrococcus_abyssi_GE5	0	16	824	39	777	542	581	656	725	438
GCA_000211475@Pyrococcus_sp_NA2	0	9	828	38	794	533	586	669	730	440
GCA_000215995@Pyrococcus_yayanosii_CH1	0	18	789	42	754	535	573	626	691	486
GCA_000221185@Thermococcus_sp_4557	0	63	878	143	843	718	741	779	799	700
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	17	851	40	819	581	630	707	764	498
GCA_000258515@Thermococcus_zilligii_AN1	0	22	811	79	778	603	631	689	737	571
GCA_000263735@Pyrococcus_sp_ST04	0	21	830	34	793	535	573	660	734	430
GCA_000265525@Thermococcus_cleftensis_CL1	0	71	885	138	847	716	742	775	803	697
GCA_000275605@Pyrococcus_furiosus_COM1	0	12	828	34	785	514	578	645	735	384
GCA_000517445@Thermococcus_paralvinellae_ES1	0	29	871	48	842	594	629	715	792	468
GCA_000585495@Thermococcus_nautili_30_1	0	56	869	113	832	694	721	762	795	677
GCA_000725425@Palaeococcus_pacificus_DY20341	0	21	841	44	813	577	618	701	759	473
GCA_000769655@Thermococcus_eurythermalis_A501	0	44	854	99	815	658	688	728	770	633
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	32	830	84	792	621	646	690	736	587
GCA_001433455@Thermococcus_barophilus_CH5	0	33	883	51	850	613	662	746	813	498
GCA_001484685@Thermococcus_sp_2319x1	0	14	849	39	816	598	635	711	763	502
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	16	818	31	774	528	555	636	711	443
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	42	857	86	825	667	695	749	782	631
GCA_001647085@Thermococcus_piezophilus_CDGS	0	42	845	102	798	653	688	726	760	617
GCA_002197185@Thermococcus_sp_5_4	0	69	891	150	866	760	782	809	830	741
GCA_002214365@Thermococcus_celer_Vu_13	0	43	853	108	821	672	696	738	774	651
GCA_002214385@Thermococcus_gorgonarius_W_12	0	36	833	83	803	631	666	711	760	589
GCA_002214465@Thermococcus_barossii_SHCK_94	0	66	899	150	871	760	784	817	838	739
GCA_002214485@Thermococcus_pacificus_P4	0	46	859	122	824	679	710	744	781	658
GCA_002214505@Thermococcus_siculi_RG_20	0	61	881	141	852	734	747	783	809	702
GCA_002214525@Thermococcus_sp_P6	0	22	779	84	744	598	622	655	699	572
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	69	883	132	853	732	745	791	817	700
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	67	880	143	852	751	768	799	821	735
GCA_002214585@Thermococcus_profundus_DT_5432	0	30	857	93	824	669	689	737	784	626
GCA_002214605@Thermococcus_chitonophagus	0	18	845	36	811	563	616	687	746	493
GCA_006274605@Thermococcus_indicus_IOH1	0	66	887	136	848	724	744	782	807	708
GCA_008152015@Thermococcus_aciditolerans_SY113	0	56	871	137	834	716	734	762	794	692
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	12	829	34	787	520	578	647	739	388
GCA_020386975@Thermococcus_bergensis_T7324	0	17	816	42	772	564	586	662	724	482
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	20	852	41	823	537	594	689	756	377
GCA_024022995@Thermococcus_aggregans_TY	0	21	820	37	791	562	600	671	737	486
GCA_024707485@Thermococcus_sp_813A4	0	69	889	145	862	739	757	797	828	709
GCA_028471785@Thermococcus_kodakarensis_TS900	0	44	875	90	843	688	714	758	797	654
GCA_028471865@Thermococcus_kodakarensis_TS901	0	44	875	90	842	682	712	758	793	654
GCA_035621495@Thermococcus_sp_SY098	0	32	876	51	843	607	661	732	798	502
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	18	846	36	811	568	619	691	747	492
GCA_900198835@Thermococcus_henrietii_EXT12c	0	53	877	108	849	689	719	760	808	667
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	14	846	38	814	598	627	706	770	499
GCA_904067545@Thermococcus_camini_IRI35c	0	64	883	149	849	727	748	781	809	710
Palaeococcus_helgesoni_DSM_15127	0	24	842	37	805	590	627	693	750	504
Pyrococcus_31_3	0	18	849	36	811	571	624	690	752	502
Pyrococcus_32_1	0	18	849	36	810	572	622	693	751	502
Pyrococcus_abyssi_GE2	0	19	823	37	776	529	575	652	714	437
Pyrococcus_endeavori_ES4	0	20	827	36	790	534	572	656	731	432
Pyrococcus_EXT16	0	21	851	34	813	568	624	694	754	493
Pyrococcus_sp_32_3	0	18	849	36	811	573	623	691	752	501
Pyrococcus_sp_32_4	0	18	849	36	811	572	624	692	751	502
Pyrococcus_sp_EXT_15c	0	18	818	33	777	542	579	659	726	445
Pyrococcus_sp_GE_23	0	15	807	37	760	524	552	633	702	437
Pyrococcus_sp_IRI_42C	0	12	812	31	766	487	543	636	699	365
Thermococcus_15_2	1	139	1000	430	1000	1000	1000	1000	1000	1000
Thermococcus_23_2	0	69	891	148	865	760	779	807	829	741
Thermococcus_29_3	0	50	862	109	828	684	714	751	790	658
Thermococcus_31_3	0	62	886	146	859	743	768	797	823	718
Thermococcus_aegaeus_DSM_12767	0	20	831	36	803	587	622	698	759	481
Thermococcus_aggregans_DSM_12819	0	21	820	37	790	564	599	670	737	485
Thermococcus_alcaliphilus_DSM_10322	0	16	861	43	830	587	636	720	776	506
Thermococcus_AMTc11	0	61	899	140	863	738	759	802	823	720
Thermococcus_AMTc30	0	63	877	119	845	693	724	763	804	668
Thermococcus_AMTc51	0	55	868	110	839	684	714	752	796	665
Thermococcus_AMTc85	0	59	871	112	843	688	722	754	799	663
Thermococcus_atlanticus_DSM_15226	0	43	889	72	862	679	725	773	823	634
Thermococcus_barophilus_423_3_23	0	35	886	48	852	616	667	747	811	514
Thermococcus_barophilus_CH1	0	37	880	51	844	607	643	733	800	499
Thermococcus_barophilus_DT4	0	42	879	53	838	593	640	725	792	489
Thermococcus_coalescens_TS1	0	61	885	146	856	740	764	794	823	715
Thermococcus_E15P35	0	60	867	113	835	692	716	758	795	671
Thermococcus_EXT11c	0	64	874	117	842	687	724	758	793	662
Thermococcus_fumicolans_ST557	0	36	854	99	820	678	702	747	788	630
Thermococcus_IRI_06c	0	69	893	136	859	724	741	782	810	695
Thermococcus_IRI15c	0	71	892	144	860	735	754	789	819	709
Thermococcus_marinus_DSM_15227	0	43	860	101	821	671	694	733	773	641
Thermococcus_prieuri_Col3	0	112	979	382	972	954	955	956	961	952
Thermococcus_profundus_DSM_9503	0	30	856	93	823	663	688	737	782	630
Thermococcus_sp_23_4	0	69	891	149	865	761	780	808	830	738
Thermococcus_sp_26_2	0	40	855	100	823	682	715	745	782	660
Thermococcus_sp_33_3	0	56	871	115	837	693	724	759	795	668
Thermococcus_sp_9_3	0	60	869	113	837	696	724	759	797	675
Thermococcus_sp_AMTc09	0	41	855	99	822	684	716	744	782	661
Thermococcus_sp_AMTc102	0	41	853	98	820	686	710	738	779	658
Thermococcus_sp_AMTc71	0	62	872	144	837	729	747	778	804	708
Thermococcus_sp_AMTc72	0	62	872	144	836	731	746	776	804	710
Thermococcus_sp_AMTc79	0	54	865	113	831	692	712	752	788	672
Thermococcus_sp_AMTc94	0	52	865	111	830	699	724	757	788	676
Thermococcus_sp_CIR_03a	0	69	906	145	877	752	774	811	838	740
Thermococcus_sp_CIR_10a	0	34	896	49	868	636	676	755	830	506
Thermococcus_sp_DS1	0	82	899	150	875	740	764	810	837	711
Thermococcus_sp_E10P11	0	46	858	108	823	684	710	745	784	658
Thermococcus_sp_E10P8	0	46	858	108	824	684	708	746	785	658
Thermococcus_sp_E15p33	0	60	867	113	833	691	718	757	795	672
