	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	14	777	33	760	475	530	634	712	362
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	77	885	126	870	707	742	786	823	685
GCA_000011105@Pyrococcus_horikoshii_OT3	0	15	785	31	769	479	544	631	706	391
GCA_000018365@Thermococcus_onnurineus_NA1	0	45	813	108	799	651	678	727	757	629
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	71	871	164	855	704	727	778	813	680
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	779	36	761	457	510	628	695	328
GCA_000151105@Thermococcus_barophilus_MP	0	27	838	38	813	539	584	699	755	455
GCA_000151205@Thermococcus_sp_AM4	0	73	892	163	878	759	774	822	838	738
GCA_000195935@Pyrococcus_abyssi_GE5	0	17	787	32	774	515	576	658	735	440
GCA_000211475@Pyrococcus_sp_NA2	0	19	796	42	781	504	571	653	720	410
GCA_000215995@Pyrococcus_yayanosii_CH1	0	27	798	42	777	552	601	671	715	502
GCA_000221185@Thermococcus_sp_4557	0	64	849	121	833	668	699	748	776	645
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	19	839	38	817	557	613	700	754	458
GCA_000258515@Thermococcus_zilligii_AN1	0	40	824	78	804	618	645	707	751	597
GCA_000263735@Pyrococcus_sp_ST04	0	21	787	38	773	504	544	645	718	404
GCA_000265525@Thermococcus_cleftensis_CL1	0	65	846	139	834	686	711	755	783	667
GCA_000275605@Pyrococcus_furiosus_COM1	0	15	775	33	760	469	523	633	711	360
GCA_000517445@Thermococcus_paralvinellae_ES1	0	26	799	40	783	526	570	674	730	411
GCA_000585495@Thermococcus_nautili_30_1	0	133	954	370	949	911	915	922	930	908
GCA_000725425@Palaeococcus_pacificus_DY20341	0	11	812	38	792	524	565	681	733	429
GCA_000769655@Thermococcus_eurythermalis_A501	0	78	893	220	875	765	780	813	835	749
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	56	847	142	841	696	724	768	794	667
GCA_001433455@Thermococcus_barophilus_CH5	0	39	866	44	844	569	615	729	778	477
GCA_001484685@Thermococcus_sp_2319x1	0	10	797	34	776	545	584	673	718	444
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	21	820	35	808	538	593	681	747	455
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	53	851	125	836	690	726	767	797	669
GCA_001647085@Thermococcus_piezophilus_CDGS	0	36	813	90	787	622	658	716	744	598
GCA_002197185@Thermococcus_sp_5_4	0	39	825	123	809	677	707	748	764	656
GCA_002214365@Thermococcus_celer_Vu_13	0	38	803	102	789	642	660	726	744	608
GCA_002214385@Thermococcus_gorgonarius_W_12	0	46	813	91	791	636	663	715	747	609
GCA_002214465@Thermococcus_barossii_SHCK_94	0	45	843	123	828	675	693	751	778	645
GCA_002214485@Thermococcus_pacificus_P4	0	39	805	115	790	655	678	724	753	630
GCA_002214505@Thermococcus_siculi_RG_20	0	54	840	116	821	676	702	743	775	642
GCA_002214525@Thermococcus_sp_P6	0	23	746	62	731	582	601	655	682	544
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	70	859	135	846	670	695	762	794	642
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	42	831	122	820	660	698	745	765	644
GCA_002214585@Thermococcus_profundus_DT_5432	0	53	868	103	859	675	715	776	814	640
GCA_002214605@Thermococcus_chitonophagus	0	19	821	44	803	557	602	691	754	472
GCA_006274605@Thermococcus_indicus_IOH1	0	75	877	131	863	703	740	784	819	677
GCA_008152015@Thermococcus_aciditolerans_SY113	0	73	875	138	861	683	705	770	809	650
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	15	778	33	761	475	528	634	716	366
GCA_020386975@Thermococcus_bergensis_T7324	0	11	796	40	777	537	586	678	718	450
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	17	798	41	781	454	496	652	709	315
GCA_024022995@Thermococcus_aggregans_TY	0	15	806	41	783	534	573	679	724	448
GCA_024707485@Thermococcus_sp_813A4	0	63	867	124	855	675	723	786	814	647
GCA_028471785@Thermococcus_kodakarensis_TS900	0	77	883	126	869	701	740	780	823	681
GCA_028471865@Thermococcus_kodakarensis_TS901	0	76	883	126	869	703	738	783	821	680
GCA_035621495@Thermococcus_sp_SY098	0	34	838	45	814	531	589	702	761	454
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	19	821	44	803	554	604	692	755	470
GCA_900198835@Thermococcus_henrietii_EXT12c	0	108	942	322	935	866	876	891	912	863
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	12	791	36	770	530	579	665	713	437
GCA_904067545@Thermococcus_camini_IRI35c	0	76	863	124	849	686	708	761	792	653
Palaeococcus_helgesoni_DSM_15127	0	17	786	41	767	497	556	658	718	410
Pyrococcus_31_3	0	23	830	38	810	551	606	689	760	466
Pyrococcus_32_1	0	23	830	38	810	552	602	692	759	465
Pyrococcus_abyssi_GE2	0	24	793	33	778	522	580	666	737	445
Pyrococcus_endeavori_ES4	0	19	785	37	771	502	545	652	720	400
Pyrococcus_EXT16	0	26	831	42	811	565	605	697	763	477
