	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	27	785	39	738	442	499	588	669	362
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	87	868	111	835	661	695	751	786	634
GCA_000011105@Pyrococcus_horikoshii_OT3	0	31	786	35	737	446	505	589	663	357
GCA_000018365@Thermococcus_onnurineus_NA1	0	57	812	98	761	607	641	687	723	575
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	81	831	139	795	625	657	692	745	604
GCA_000022545@Thermococcus_sibiricus_MM_739	0	20	777	41	737	443	487	594	664	317
GCA_000151105@Thermococcus_barophilus_MP	0	36	814	53	765	510	547	645	719	426
GCA_000151205@Thermococcus_sp_AM4	0	100	865	167	838	698	718	762	795	661
GCA_000195935@Pyrococcus_abyssi_GE5	0	35	789	41	753	470	541	622	686	398
GCA_000211475@Pyrococcus_sp_NA2	0	37	800	47	767	491	527	620	695	392
GCA_000215995@Pyrococcus_yayanosii_CH1	0	40	797	53	755	518	561	633	695	467
GCA_000221185@Thermococcus_sp_4557	0	77	832	119	804	624	645	704	731	594
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	35	823	50	784	506	533	646	711	422
GCA_000258515@Thermococcus_zilligii_AN1	0	51	810	81	763	569	605	662	704	547
GCA_000263735@Pyrococcus_sp_ST04	0	35	798	49	761	478	516	603	682	372
GCA_000265525@Thermococcus_cleftensis_CL1	0	75	832	134	798	626	655	696	741	611
GCA_000275605@Pyrococcus_furiosus_COM1	0	28	784	40	739	442	497	591	669	365
GCA_000517445@Thermococcus_paralvinellae_ES1	0	36	793	49	744	476	527	618	688	395
GCA_000585495@Thermococcus_nautili_30_1	0	112	896	305	875	800	804	825	839	789
GCA_000725425@Palaeococcus_pacificus_DY20341	0	29	789	42	752	496	535	618	683	408
GCA_000769655@Thermococcus_eurythermalis_A501	0	94	890	216	859	749	764	792	824	742
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	70	822	142	785	626	646	697	738	601
GCA_001433455@Thermococcus_barophilus_CH5	0	50	857	53	815	537	579	686	752	452
GCA_001484685@Thermococcus_sp_2319x1	0	20	783	41	735	497	549	621	672	427
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	36	813	48	774	507	559	644	700	439
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	66	839	113	809	646	682	731	768	631
GCA_001647085@Thermococcus_piezophilus_CDGS	0	56	834	90	777	598	639	691	730	573
GCA_002197185@Thermococcus_sp_5_4	0	50	803	108	769	622	639	684	719	599
GCA_002214365@Thermococcus_celer_Vu_13	0	49	809	102	775	594	623	676	723	553
GCA_002214385@Thermococcus_gorgonarius_W_12	0	51	780	95	743	574	600	653	690	545
GCA_002214465@Thermococcus_barossii_SHCK_94	0	56	811	109	779	623	651	698	735	598
GCA_002214485@Thermococcus_pacificus_P4	0	57	795	113	760	596	627	662	695	564
GCA_002214505@Thermococcus_siculi_RG_20	0	65	829	112	801	624	658	701	746	600
GCA_002214525@Thermococcus_sp_P6	0	32	738	66	705	528	558	598	646	494
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	76	846	125	811	618	661	716	751	593
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	49	802	108	770	614	629	679	707	585
GCA_002214585@Thermococcus_profundus_DT_5432	0	57	825	89	799	631	653	718	745	587
GCA_002214605@Thermococcus_chitonophagus	0	39	826	49	776	527	569	644	709	450
GCA_006274605@Thermococcus_indicus_IOH1	0	88	880	126	846	674	699	763	796	645
GCA_008152015@Thermococcus_aciditolerans_SY113	0	75	864	132	847	663	690	747	786	640
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	28	785	40	739	444	499	589	670	363
GCA_020386975@Thermococcus_bergensis_T7324	0	23	776	44	731	485	518	615	671	406
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	26	787	46	749	407	459	603	680	307
GCA_024022995@Thermococcus_aggregans_TY	0	24	794	49	749	494	529	628	685	409
GCA_024707485@Thermococcus_sp_813A4	0	73	844	123	815	636	663	723	762	597
GCA_028471785@Thermococcus_kodakarensis_TS900	0	87	867	111	836	665	693	749	787	630
GCA_028471865@Thermococcus_kodakarensis_TS901	0	87	867	111	836	660	694	751	786	630
GCA_035621495@Thermococcus_sp_SY098	0	42	822	49	775	503	565	655	725	433
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	39	826	49	780	524	570	645	714	449
GCA_900198835@Thermococcus_henrietii_EXT12c	3	225	1000	498	1000	1000	1000	1000	1000	1000
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	23	791	43	736	492	539	620	670	421
GCA_904067545@Thermococcus_camini_IRI35c	0	82	836	124	806	650	661	718	750	620
Palaeococcus_helgesoni_DSM_15127	0	38	795	42	760	483	535	635	689	422
Pyrococcus_31_3	0	43	827	47	790	532	563	647	711	444
Pyrococcus_32_1	0	43	827	47	788	533	563	649	716	446
Pyrococcus_abyssi_GE2	0	42	795	39	749	480	533	616	681	399
Pyrococcus_endeavori_ES4	0	35	798	48	758	464	510	599	680	361
Pyrococcus_EXT16	0	39	827	47	789	528	570	646	721	451
Pyrococcus_sp_32_3	0	43	827	47	789	532	564	649	715	446
Pyrococcus_sp_32_4	0	43	827	47	789	531	561	646	712	444
Pyrococcus_sp_EXT_15c	0	39	804	48	775	521	563	637	702	439
Pyrococcus_sp_GE_23	0	35	804	39	762	479	528	616	680	398
Pyrococcus_sp_IRI_42C	0	39	803	40	757	450	501	597	676	352
Thermococcus_15_2	0	62	819	94	785	625	643	697	728	598
Thermococcus_23_2	0	50	803	108	768	624	639	684	718	597
Thermococcus_29_3	0	118	899	317	880	822	830	843	857	814
Thermococcus_31_3	0	65	815	110	780	599	624	684	723	573
Thermococcus_aegaeus_DSM_12767	0	24	782	45	744	482	517	623	672	395
Thermococcus_aggregans_DSM_12819	0	24	794	49	750	495	529	630	686	409
Thermococcus_alcaliphilus_DSM_10322	0	22	783	46	747	493	529	619	682	423
Thermococcus_AMTc11	0	89	886	134	862	690	724	772	811	662
Thermococcus_AMTc30	0	113	891	299	866	809	821	829	844	803
Thermococcus_AMTc51	0	97	874	273	856	756	770	801	821	738
Thermococcus_AMTc85	1	132	895	315	871	806	817	826	851	797
Thermococcus_atlanticus_DSM_15226	0	61	846	80	813	608	648	706	759	562
Thermococcus_barophilus_423_3_23	0	32	818	41	768	513	542	644	718	408
Thermococcus_barophilus_CH1	0	48	823	54	781	513	555	655	726	435
Thermococcus_barophilus_DT4	0	49	807	47	764	492	547	644	707	411
Thermococcus_coalescens_TS1	0	66	845	106	815	630	662	721	761	596
Thermococcus_E15P35	0	143	910	327	893	825	830	840	863	816
Thermococcus_EXT11c	0	127	890	300	856	802	808	816	834	790
Thermococcus_fumicolans_ST557	0	68	843	106	802	628	650	702	754	603
Thermococcus_IRI_06c	0	83	852	141	821	640	676	733	764	621
Thermococcus_IRI15c	0	88	855	128	828	657	674	731	770	618
Thermococcus_marinus_DSM_15227	0	102	886	219	852	741	756	783	812	728
Thermococcus_prieuri_Col3	0	71	835	103	800	623	647	703	736	601
Thermococcus_profundus_DSM_9503	0	57	825	89	799	631	651	716	743	585
Thermococcus_sp_23_4	0	50	803	108	768	623	638	683	718	598
Thermococcus_sp_26_2	0	114	906	297	881	801	813	830	849	788
Thermococcus_sp_33_3	0	126	904	313	883	810	818	833	854	798
Thermococcus_sp_9_3	0	129	905	315	888	822	826	839	859	810
Thermococcus_sp_AMTc09	0	134	917	302	888	805	819	840	858	795
Thermococcus_sp_AMTc102	0	130	912	307	888	806	818	840	857	795
Thermococcus_sp_AMTc71	0	74	844	125	817	651	663	727	754	619
Thermococcus_sp_AMTc72	0	74	844	125	816	650	663	727	752	619
Thermococcus_sp_AMTc79	0	124	903	308	882	814	820	834	849	805
Thermococcus_sp_AMTc94	0	125	902	316	885	823	826	838	857	810
Thermococcus_sp_CIR_03a	0	69	851	119	823	664	684	733	770	634
Thermococcus_sp_CIR_10a	0	49	845	50	802	520	576	676	751	441
Thermococcus_sp_DS1	0	93	847	124	813	642	678	723	764	611
Thermococcus_sp_E10P11	0	119	901	317	884	818	825	841	860	809
Thermococcus_sp_E10P8	0	119	901	317	884	819	826	843	859	809
Thermococcus_sp_E15p33	0	143	910	327	893	823	828	839	862	814
Thermococcus_sp_EXT09c	0	117	884	296	859	790	798	810	829	781
Thermococcus_sp_IRI_05c	0	78	861	122	825	641	680	736	771	597
Thermococcus_sp_IRI10c	0	89	854	125	829	661	679	732	771	623
Thermococcus_sp_IRI14c	0	88	855	128	828	655	678	732	770	619
Thermococcus_sp_IRI24c	0	87	856	122	826	655	678	731	764	618
Thermococcus_sp_IRI25c	0	88	862	128	836	663	683	740	777	628
Thermococcus_sp_IRI27c2	0	87	856	122	826	653	678	735	766	620
Thermococcus_sp_IRI29c	0	87	856	122	827	655	677	731	766	621
Thermococcus_sp_IRI_33c	0	91	845	116	814	643	678	722	762	609
Thermococcus_sp_TPV	2	163	971	403	960	922	930	936	949	921
Thermococcus_sp_unknown	0	121	893	299	873	806	816	830	841	795
Thermococcus_stetteri_DSM_5262	0	75	862	109	822	665	699	747	776	638
Thermococcus_waiotapuensis_WT1	0	49	804	83	761	557	601	666	701	540
