	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	22	845	12	824	502	574	674	756	376
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	39	881	27	862	710	729	790	811	662
GCA_000011105@Pyrococcus_horikoshii_OT3	0	15	805	11	773	455	529	620	699	363
GCA_000018365@Thermococcus_onnurineus_NA1	0	30	851	21	834	738	757	782	802	710
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	35	853	24	837	663	689	743	784	629
GCA_000022545@Thermococcus_sibiricus_MM_739	0	10	826	14	808	491	567	693	759	343
GCA_000151105@Thermococcus_barophilus_MP	0	18	876	14	857	578	641	758	808	470
GCA_000151205@Thermococcus_sp_AM4	0	42	869	19	848	672	693	747	782	637
GCA_000195935@Pyrococcus_abyssi_GE5	0	18	822	12	802	539	588	668	733	447
GCA_000211475@Pyrococcus_sp_NA2	0	21	812	11	788	510	574	661	714	397
GCA_000215995@Pyrococcus_yayanosii_CH1	0	15	813	8	787	566	611	679	720	514
GCA_000221185@Thermococcus_sp_4557	0	42	887	28	869	757	768	797	812	731
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	16	873	12	855	605	658	750	809	501
GCA_000258515@Thermococcus_zilligii_AN1	0	30	850	14	830	652	685	733	773	618
GCA_000263735@Pyrococcus_sp_ST04	0	13	822	13	803	502	571	663	730	396
GCA_000265525@Thermococcus_cleftensis_CL1	0	48	875	24	854	754	768	793	813	731
GCA_000275605@Pyrococcus_furiosus_COM1	0	22	846	12	826	500	572	672	755	372
GCA_000517445@Thermococcus_paralvinellae_ES1	0	12	841	14	817	545	604	722	770	427
GCA_000585495@Thermococcus_nautili_30_1	0	35	858	23	834	673	707	759	784	648
GCA_000725425@Palaeococcus_pacificus_DY20341	0	11	846	8	825	561	609	714	777	459
GCA_000769655@Thermococcus_eurythermalis_A501	0	40	863	20	842	686	711	761	793	658
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	26	840	20	822	664	695	740	773	631
GCA_001433455@Thermococcus_barophilus_CH5	0	19	879	16	864	585	651	762	817	470
GCA_001484685@Thermococcus_sp_2319x1	0	12	855	11	837	616	655	745	791	503
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	13	831	10	807	532	583	662	733	430
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	34	870	13	851	706	749	790	820	665
GCA_001647085@Thermococcus_piezophilus_CDGS	0	35	859	28	840	722	756	786	801	710
GCA_002197185@Thermococcus_sp_5_4	0	37	872	27	852	772	786	807	826	765
GCA_002214365@Thermococcus_celer_Vu_13	0	107	1000	526	1000	1000	1000	1000	1000	1000
GCA_002214385@Thermococcus_gorgonarius_W_12	0	30	814	15	797	642	674	720	751	604
GCA_002214465@Thermococcus_barossii_SHCK_94	0	42	885	23	873	774	785	803	836	765
GCA_002214485@Thermococcus_pacificus_P4	0	38	853	22	836	725	748	777	803	707
