	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	20	767	38	749	479	529	616	692	358
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	62	845	102	835	667	716	756	785	651
GCA_000011105@Pyrococcus_horikoshii_OT3	0	17	760	31	749	477	524	609	681	372
GCA_000018365@Thermococcus_onnurineus_NA1	0	45	810	101	802	660	692	728	754	631
GCA_000022365@Thermococcus_gammatolerans_EJ3	1	69	842	138	829	677	712	745	789	652
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	754	39	734	465	504	599	672	334
GCA_000151105@Thermococcus_barophilus_MP	0	29	832	46	821	552	602	695	752	450
GCA_000151205@Thermococcus_sp_AM4	0	74	864	145	858	733	759	798	820	717
GCA_000195935@Pyrococcus_abyssi_GE5	0	20	784	33	771	524	573	646	712	449
GCA_000211475@Pyrococcus_sp_NA2	0	13	774	32	760	476	541	620	705	419
GCA_000215995@Pyrococcus_yayanosii_CH1	0	27	783	38	770	555	606	653	704	512
GCA_000221185@Thermococcus_sp_4557	0	64	840	109	826	667	697	742	770	651
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	19	799	39	782	538	575	655	711	444
GCA_000258515@Thermococcus_zilligii_AN1	0	36	785	87	768	604	630	681	719	579
GCA_000263735@Pyrococcus_sp_ST04	0	27	781	34	766	499	548	637	705	410
GCA_000265525@Thermococcus_cleftensis_CL1	0	68	841	129	833	687	705	750	783	666
GCA_000275605@Pyrococcus_furiosus_COM1	0	21	767	38	749	481	529	616	696	359
GCA_000517445@Thermococcus_paralvinellae_ES1	0	25	792	43	781	522	570	664	720	438
GCA_000585495@Thermococcus_nautili_30_1	0	105	908	304	905	858	861	869	887	852
GCA_000725425@Palaeococcus_pacificus_DY20341	0	15	796	38	779	563	586	676	727	443
GCA_000769655@Thermococcus_eurythermalis_A501	0	66	841	200	832	736	743	776	797	722
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	43	801	116	792	647	672	725	754	622
GCA_001433455@Thermococcus_barophilus_CH5	0	37	844	45	835	551	608	711	768	448
