	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	12	770	32	750	484	527	618	695	367
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	51	848	81	832	668	708	750	779	625
GCA_000011105@Pyrococcus_horikoshii_OT3	0	9	754	28	729	488	527	617	678	351
GCA_000018365@Thermococcus_onnurineus_NA1	0	39	805	115	794	659	685	737	764	628
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	46	825	84	803	616	650	702	747	583
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	761	35	745	489	522	634	694	345
GCA_000151105@Thermococcus_barophilus_MP	0	23	818	47	807	576	620	711	765	479
GCA_000151205@Thermococcus_sp_AM4	0	44	814	83	794	629	659	711	753	610
GCA_000195935@Pyrococcus_abyssi_GE5	0	15	756	33	735	502	556	637	692	411
GCA_000211475@Pyrococcus_sp_NA2	0	9	774	33	759	500	558	640	701	405
GCA_000215995@Pyrococcus_yayanosii_CH1	0	16	751	38	730	502	549	623	678	458
GCA_000221185@Thermococcus_sp_4557	0	54	823	135	812	689	710	756	782	662
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	22	798	38	784	560	595	680	739	465
GCA_000258515@Thermococcus_zilligii_AN1	0	21	761	64	742	567	608	657	693	546
GCA_000263735@Pyrococcus_sp_ST04	0	15	778	27	761	500	550	651	706	399
GCA_000265525@Thermococcus_cleftensis_CL1	0	64	827	129	812	685	701	744	778	660
GCA_000275605@Pyrococcus_furiosus_COM1	0	12	771	31	750	483	531	618	697	367
GCA_000517445@Thermococcus_paralvinellae_ES1	0	24		48	797	560	608	699	751	454
GCA_000585495@Thermococcus_nautili_30_1	0	53	826	109	810	660	689	744	773	635
GCA_000725425@Palaeococcus_pacificus_DY20341	0	17	784	39	772	536	576	661	725	447
GCA_000769655@Thermococcus_eurythermalis_A501	0	35	792	84	775	637	660	700	735	610
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	27	777	81	756	587	621	672	710	562
GCA_001433455@Thermococcus_barophilus_CH5	0	31	837	49	825	581	641	730	783	490
GCA_001484685@Thermococcus_sp_2319x1	0	10	787	37	765	557	595	671	725	471
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	16	758	27	742	490	545	619	684	411
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	38	803	81	788	633	666	715	745	611
GCA_001647085@Thermococcus_piezophilus_CDGS	0	41	789	97	764	617	661	699	720	589
GCA_002197185@Thermococcus_sp_5_4	0	55	842	148	829	732	754	786	803	702
GCA_002214365@Thermococcus_celer_Vu_13	0	33	796	105	783	653	672	721	747	630
GCA_002214385@Thermococcus_gorgonarius_W_12	0	30	762	77	750	587	620	665	700	539
GCA_002214465@Thermococcus_barossii_SHCK_94	0	58	839	147	830	720	745	777	809	691
GCA_002214485@Thermococcus_pacificus_P4	0	42	805	117	792	654	685	728	758	627
GCA_002214505@Thermococcus_siculi_RG_20	0	51	826	133	815	691	717	751	782	672
GCA_002214525@Thermococcus_sp_P6	0	18	705	73	689	560	572	611	644	534
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	70	843	140	833	700	725	769	798	677
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	54	836	137	829	714	737	770	794	682
GCA_002214585@Thermococcus_profundus_DT_5432	0	27		80	784	616	652	710	742	595
GCA_002214605@Thermococcus_chitonophagus	0	14	793	30	779	538	600	671	721	464
GCA_006274605@Thermococcus_indicus_IOH1	0	58	828	133	811	697	719	762	782	671
GCA_008152015@Thermococcus_aciditolerans_SY113	0	58	834	137	819	689	722	763	790	669
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	12	771	31	751	484	527	620	694	369
GCA_020386975@Thermococcus_bergensis_T7324	0	11	758	40	741	522	553	643	692	440
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	17	791	40	774	485	538	658	737	355
GCA_024022995@Thermococcus_aggregans_TY	0	16	756	39	743	527	563	638	699	430
GCA_024707485@Thermococcus_sp_813A4	0	54	835	144	825	703	727	775	798	677
GCA_028471785@Thermococcus_kodakarensis_TS900	0	51	846	81	830	664	704	749	778	625
GCA_028471865@Thermococcus_kodakarensis_TS901	0	51	846	81	831	668	706	748	777	626
GCA_035621495@Thermococcus_sp_SY098	0	22	830	49	819	594	625	721	775	478
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	14	794	30	781	544	596	673	721	464
GCA_900198835@Thermococcus_henrietii_EXT12c	0	49	838	105	824	672	699	753	778	658
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	11	786	37	767	555	588	671	723	472
GCA_904067545@Thermococcus_camini_IRI35c	0	59	828	144	813	698	721	755	782	667
Palaeococcus_helgesoni_DSM_15127	0	14	794	35	775	540	585	669	721	464
Pyrococcus_31_3	0	13	803	31	791	549	606	676	731	474
Pyrococcus_32_1	0	13	803	31	791	548	602	675	732	474
Pyrococcus_abyssi_GE2	0	18	758	32	736	504	548	638	691	402
Pyrococcus_endeavori_ES4	0	15	780	29	761	505	553	655	705	398
Pyrococcus_EXT16	0	19	802	29	788	548	598	678	733	478
Pyrococcus_sp_32_3	0	13	803	31	791	549	606	676	731	476
Pyrococcus_sp_32_4	0	13	803	31	791	546	606	677	731	469
Pyrococcus_sp_EXT_15c	0	16	757	27	746	511	552	631	691	430
Pyrococcus_sp_GE_23	0	16	752	32	729	501	543	622	680	403
Pyrococcus_sp_IRI_42C	0	11	752	28	727	459	507	593	673	350
Thermococcus_15_2	0	107	940	384	939	929	929	933	936	927
Thermococcus_23_2	0	55	841	146	829	732	755	785	801	702
Thermococcus_29_3	0	46	817	104	802	652	675	732	767	623
Thermococcus_31_3	0	61	852	152	847	737	754	790	817	708
Thermococcus_aegaeus_DSM_12767	0	18	776	38	761	535	578	658	714	428
Thermococcus_aggregans_DSM_12819	0	16	756	39	741	523	560	639	701	427
Thermococcus_alcaliphilus_DSM_10322	0	12	801	42	784	565	611	689	741	470
Thermococcus_AMTc11	0	67	856	145	849	719	745	788	813	693
Thermococcus_AMTc30	0	54	824	111	813	658	695	751	774	639
Thermococcus_AMTc51	0	44	823	102	805	663	691	729	767	641
Thermococcus_AMTc85	0	50	824	110	811	659	684	735	768	637
Thermococcus_atlanticus_DSM_15226	0	38	842	75	832	667	706	761	792	626
Thermococcus_barophilus_423_3_23	0	24	819	48	807	584	619	714	761	473
Thermococcus_barophilus_CH1	0	37	839	49	830	580	639	727	786	478
Thermococcus_barophilus_DT4	0	35	816	52	802	554	609	702	754	461
