	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	20	734	11	714	444	498	581	654	334
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	82	857	30	836	677	710	746	787	651
GCA_000011105@Pyrococcus_horikoshii_OT3	0	17	742	10	715	447	504	581	648	369
GCA_000018365@Thermococcus_onnurineus_NA1	0	50	770	23	749	609	643	683	713	595
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	88	834	22	819	664	683	721	755	638
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	729	16	704	445	474	579	635	320
GCA_000151105@Thermococcus_barophilus_MP	0	34	787	12	764	525	568	650	717	441
GCA_000151205@Thermococcus_sp_AM4	0	83	854	15	841	716	735	770	803	691
GCA_000195935@Pyrococcus_abyssi_GE5	0	20	743	9	721	482	532	604	669	413
GCA_000211475@Pyrococcus_sp_NA2	0	25	754	14	728	463	514	598	668	377
GCA_000215995@Pyrococcus_yayanosii_CH1	0	30	746	10	726	507	548	613	668	467
GCA_000221185@Thermococcus_sp_4557	0	65	805	30	794	652	662	713	742	625
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	27	795	16	773	529	570	649	701	443
GCA_000258515@Thermococcus_zilligii_AN1	0	40	770	14	748	586	615	665	686	566
GCA_000263735@Pyrococcus_sp_ST04	0	30	746	15	716	461	509	594	653	377
GCA_000265525@Thermococcus_cleftensis_CL1	0	73	813	24	798	659	672	725	748	636
GCA_000275605@Pyrococcus_furiosus_COM1	0	22	734	12	715	442	497	577	652	335
GCA_000517445@Thermococcus_paralvinellae_ES1	0	29	755	16	732	507	548	636	690	413
GCA_000585495@Thermococcus_nautili_30_1	0	143	924	19	920	894	899	900	908	892
GCA_000725425@Palaeococcus_pacificus_DY20341	0	15	748	10	731	497	535	619	674	410
GCA_000769655@Thermococcus_eurythermalis_A501	0	79	846	32	828	735	749	769	790	717
