	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	19	865	84	853	708	726	768	809	638
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	25	849	55	830	598	638	716	768	506
GCA_000011105@Pyrococcus_horikoshii_OT3	0	16	880	88	864	734	758	780	823	671
GCA_000018365@Thermococcus_onnurineus_NA1	0	11	779	50	760	567	606	671	712	477
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	22	836	45	810	557	610	686	753	479
GCA_000022545@Thermococcus_sibiricus_MM_739	0	5	806	46	782	554	582	643	712	427
GCA_000151105@Thermococcus_barophilus_MP	0	14	861	54	845	634	658	720	781	514
GCA_000151205@Thermococcus_sp_AM4	0	23	842	49	815	570	620	703	759	492
GCA_000195935@Pyrococcus_abyssi_GE5	0	20	886	97	880	734	762	797	843	685
GCA_000211475@Pyrococcus_sp_NA2	0	18	893	95	881	739	750	798	841	670
GCA_000215995@Pyrococcus_yayanosii_CH1	0	16	830	65	812	631	655	716	761	553
GCA_000221185@Thermococcus_sp_4557	0	16	833	48	809	555	600	680	733	459
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	10	860	49	834	620	633	703	758	497
GCA_000258515@Thermococcus_zilligii_AN1	0	11	797	47	770	540	575	653	712	447
GCA_000263735@Pyrococcus_sp_ST04	0	24	894	163	874	775	790	816	838	722
GCA_000265525@Thermococcus_cleftensis_CL1	0	17	814	46	788	555	588	668	727	467
GCA_000275605@Pyrococcus_furiosus_COM1	0	19	861	84	848	707	719	758	802	634
GCA_000517445@Thermococcus_paralvinellae_ES1	0	19	826	52	796	599	630	683	742	479
GCA_000585495@Thermococcus_nautili_30_1	0	23	849	54	826	581	627	707	767	502
GCA_000725425@Palaeococcus_pacificus_DY20341	0	9	811	46	788	581	617	689	729	442
GCA_000769655@Thermococcus_eurythermalis_A501	0	18	843	52	820	563	602	703	742	481
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	16	831	49	805	568	609	686	739	462
GCA_001433455@Thermococcus_barophilus_CH5	0	21	890	57	871	666	681	749	807	531
GCA_001484685@Thermococcus_sp_2319x1	0	4	803	44	781	596	615	671	724	465
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	51	936	284	925	878	883	895	899	874
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	17	832	45	806	578	621	697	749	483
GCA_001647085@Thermococcus_piezophilus_CDGS	0	14	789	51	757	544	592	654	704	467
GCA_002197185@Thermococcus_sp_5_4	0	10	825	52	796	576	617	690	746	487
GCA_002214365@Thermococcus_celer_Vu_13	0	10	814	47	795	533	576	674	727	462
GCA_002214385@Thermococcus_gorgonarius_W_12	0	20	797	50	770	567	608	668	718	462
GCA_002214465@Thermococcus_barossii_SHCK_94	0	10	837	46	815	584	615	702	760	478
