	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	21	797	46	753	474	509	616	691	363
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	69	871	114	848	682	723	763	802	662
GCA_000011105@Pyrococcus_horikoshii_OT3	0	16	790	45	753	481	539	625	692	363
GCA_000018365@Thermococcus_onnurineus_NA1	0	62	858	188	821	720	739	763	781	703
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	60	867	109	834	664	697	750	780	642
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	789	49	752	481	540	641	695	382
GCA_000151105@Thermococcus_barophilus_MP	0	29	856	59	819	586	626	713	772	473
GCA_000151205@Thermococcus_sp_AM4	0	78	874	113	848	678	713	761	797	657
GCA_000195935@Pyrococcus_abyssi_GE5	0	21	792	48	767	520	558	649	698	425
GCA_000211475@Pyrococcus_sp_NA2	0	16	802	50	772	499	544	633	694	385
GCA_000215995@Pyrococcus_yayanosii_CH1	0	23	818	67	784	561	592	687	725	513
GCA_000221185@Thermococcus_sp_4557	0	90	902	261	890	813	821	840	856	810
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	13	820	58	788	544	592	682	732	474
GCA_000258515@Thermococcus_zilligii_AN1	0	40	831	109	802	646	678	721	750	615
GCA_000263735@Pyrococcus_sp_ST04	0	21	808	52	781	488	537	643	706	384
GCA_000265525@Thermococcus_cleftensis_CL1	0	183	1000	501	1000	1000	1000	1000	1000	1000
GCA_000275605@Pyrococcus_furiosus_COM1	0	21	802	45	761	478	512	623	697	367
GCA_000517445@Thermococcus_paralvinellae_ES1	0	26	834	56	798	553	605	700	745	452
GCA_000585495@Thermococcus_nautili_30_1	0	64	894	158	865	721	742	792	822	697
GCA_000725425@Palaeococcus_pacificus_DY20341	0	25	822	58	796	572	616	687	746	485
GCA_000769655@Thermococcus_eurythermalis_A501	0	64	883	156	856	709	732	780	801	674
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	49	832	128	795	636	679	720	749	624
GCA_001433455@Thermococcus_barophilus_CH5	0	40	873	61	844	595	641	732	789	485
GCA_001484685@Thermococcus_sp_2319x1	0	18	807	58	767	541	593	661	722	457
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	24	825	46	788	518	571	641	715	452
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	46	850	115	831	678	701	747	791	643
GCA_001647085@Thermococcus_piezophilus_CDGS	0	58	858	164	819	709	724	750	780	678
GCA_002197185@Thermococcus_sp_5_4	0	68	860	224	837	757	766	787	800	738
GCA_002214365@Thermococcus_celer_Vu_13	0	47	846	168	822	729	744	764	785	707
GCA_002214385@Thermococcus_gorgonarius_W_12	0	43	815	116	785	631	649	698	731	594
