	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	27	855	25	837	686	705	743	786	596
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	20	842	21	824	548	603	674	758	468
GCA_000011105@Pyrococcus_horikoshii_OT3	0	22	853	23	836	695	709	752	782	614
GCA_000018365@Thermococcus_onnurineus_NA1	0	12	762	16	739	510	561	622	681	449
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	25	810	14	786	517	568	647	713	451
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	775	21	749	508	542	597	672	394
GCA_000151105@Thermococcus_barophilus_MP	0	13	819	22	799	578	599	661	734	463
GCA_000151205@Thermococcus_sp_AM4	0	24	796	19	771	500	562	640	696	441
GCA_000195935@Pyrococcus_abyssi_GE5	0	29	859	21	842	706	727	762	805	641
GCA_000211475@Pyrococcus_sp_NA2	0	34	887	27	876	718	728	780	822	645
GCA_000215995@Pyrococcus_yayanosii_CH1	0	28	825	24	804	615	637	684	741	532
GCA_000221185@Thermococcus_sp_4557	0	13	798	19	774	495	541	623	690	427
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	12	834	21	819	585	609	681	758	470
GCA_000258515@Thermococcus_zilligii_AN1	0	14	779	16	751	491	547	610	682	417
GCA_000263735@Pyrococcus_sp_ST04	0	26	866	34	852	758	767	778	819	720
GCA_000265525@Thermococcus_cleftensis_CL1	0	14	790	16	767	506	544	616	693	430
GCA_000275605@Pyrococcus_furiosus_COM1	0	27	853	26	836	687	702	742	786	593
GCA_000517445@Thermococcus_paralvinellae_ES1	0	12	801	23	777	567	596	639	713	459
GCA_000585495@Thermococcus_nautili_30_1	0	26	821	17	805	536	593	670	727	472
GCA_000725425@Palaeococcus_pacificus_DY20341	0	5	790	18	765	518	541	620	695	405
GCA_000769655@Thermococcus_eurythermalis_A501	0	21	834	21	812	524	570	656	728	446
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	20	806	18	785	514	575	638	715	448
GCA_001433455@Thermococcus_barophilus_CH5	0	21	872	24	849	617	646	719	791	501
GCA_001484685@Thermococcus_sp_2319x1	0	10	802	18	777	553	586	637	712	451
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	48	896	25	881	817	820	834	857	800
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	14	790	19	771	506	561	628	708	425
GCA_001647085@Thermococcus_piezophilus_CDGS	0	17	779	13	749	489	547	606	675	424
GCA_002197185@Thermococcus_sp_5_4	0	7	783	20	758	509	558	629	697	442
GCA_002214365@Thermococcus_celer_Vu_13	0	11	792	15	769	488	536	613	691	420
GCA_002214385@Thermococcus_gorgonarius_W_12	0	18	748	12	719	477	532	591	653	416
GCA_002214465@Thermococcus_barossii_SHCK_94	0	10	801	18	776	504	554	631	699	429
GCA_002214485@Thermococcus_pacificus_P4	0	11	758	15	738	489	540	609	677	426
GCA_002214505@Thermococcus_siculi_RG_20	0	14	801	17	776	509	559	627	701	435
GCA_002214525@Thermococcus_sp_P6	0	8	718	15	692	443	500	556	622	394
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	12	799	17	779	511	551	627	697	435
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	9	797	18	781	508	569	632	704	444
GCA_002214585@Thermococcus_profundus_DT_5432	0	21	793	13	767	514	557	624	700	422
GCA_002214605@Thermococcus_chitonophagus	2	126	1000	18	1000	997	998	998	999	998
GCA_006274605@Thermococcus_indicus_IOH1	0	24	838	16	815	526	577	653	731	453
GCA_008152015@Thermococcus_aciditolerans_SY113	0	21	816	24	790	514	558	646	711	442
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	27	854	26	836	689	703	744	787	596
GCA_020386975@Thermococcus_bergensis_T7324	0	14	779	20	754	527	553	618	680	439
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	9	789	17	765	540	556	623	704	405
GCA_024022995@Thermococcus_aggregans_TY	0	14	773	16	752	550	556	619	686	434
GCA_024707485@Thermococcus_sp_813A4	0	15	808	18	788	529	586	647	709	443
GCA_028471785@Thermococcus_kodakarensis_TS900	0	20	839	21	821	539	600	669	754	465
GCA_028471865@Thermococcus_kodakarensis_TS901	0	20	839	21	820	542	597	667	754	469
GCA_035621495@Thermococcus_sp_SY098	0	13	826	21	804	572	597	666	734	468
GCA_900012635@Thermococcus_chitonophagus_isolate_1	2	126	1000	458	1000	1000	1000	1000	1000	1000
GCA_900198835@Thermococcus_henrietii_EXT12c	0	29	854	20	837	559	606	706	769	482
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	7	783	18	765	540	575	630	696	429
GCA_904067545@Thermococcus_camini_IRI35c	0	21	804	19	776	495	547	614	705	422
Palaeococcus_helgesoni_DSM_15127	0	12	793	15	769	514	544	611	699	405
Pyrococcus_31_3	1	79	946	23	943	921	919	924	935	912
Pyrococcus_32_1	1	79	946	23	943	921	919	924	933	912
Pyrococcus_abyssi_GE2	0	33	866	23	852	709	732	770	809	643
Pyrococcus_endeavori_ES4	0	25	864	32	848	751	763	777	816	716
