Environment created
Processing Pyrococcus_sp_GE_23


Calculating de novo conservation...
No de novo genes found for the focal species



Calculating CDS conservation...
Extracted 1000 CDSs for the focal species Pyrococcus_sp_GE_23

Species GCA_000221185@Thermococcus_sp_4557: 853 matches
Species GCA_000263735@Pyrococcus_sp_ST04: 900 matches
Species GCA_000215995@Pyrococcus_yayanosii_CH1: 865 matches
Species GCA_000211475@Pyrococcus_sp_NA2: 925 matches
Species GCA_000265525@Thermococcus_cleftensis_CL1: 834 matches
Species GCA_000022545@Thermococcus_sibiricus_MM_739: 821 matches
Species GCA_000585495@Thermococcus_nautili_30_1: 889 matches
Species GCA_000007305@Pyrococcus_furiosus_DSM_3638: 877 matches
Species GCA_000275605@Pyrococcus_furiosus_COM1: 877 matches
Species GCA_000018365@Thermococcus_onnurineus_NA1: 828 matches
Species GCA_000517445@Thermococcus_paralvinellae_ES1: 841 matches
Species GCA_000258515@Thermococcus_zilligii_AN1: 829 matches
Species GCA_000011105@Pyrococcus_horikoshii_OT3: 917 matches
Species GCA_000725425@Palaeococcus_pacificus_DY20341: 838 matches
Species GCA_000195935@Pyrococcus_abyssi_GE5: 943 matches
Species GCA_000022365@Thermococcus_gammatolerans_EJ3: 859 matches
Species GCA_000151105@Thermococcus_barophilus_MP: 868 matches
Species GCA_000009965@Thermococcus_kodakarensis_KOD1: 885 matches
Species GCA_000246985@Thermococcus_litoralis_DSM_5473: 882 matches
Species GCA_000151205@Thermococcus_sp_AM4: 860 matches
Species GCA_000769655@Thermococcus_eurythermalis_A501: 886 matches
Species GCA_001592435@Thermococcus_peptonophilus_OG_1: 860 matches
Species GCA_001647085@Thermococcus_piezophilus_CDGS: 833 matches
Species GCA_002214365@Thermococcus_celer_Vu_13: 829 matches
Species GCA_002214385@Thermococcus_gorgonarius_W_12: 812 matches
Species GCA_001577775@Pyrococcus_kukulkanii_NCB100: 933 matches
Species GCA_002214525@Thermococcus_sp_P6: 777 matches
Species GCA_002197185@Thermococcus_sp_5_4: 849 matches
Species GCA_002214505@Thermococcus_siculi_RG_20: 852 matches
Species GCA_001484685@Thermococcus_sp_2319x1: 822 matches
Species GCA_000816105@Thermococcus_guaymasensis_DSM_11113: 862 matches
Species GCA_002214485@Thermococcus_pacificus_P4: 833 matches
Species GCA_001433455@Thermococcus_barophilus_CH5: 913 matches
Species GCA_002214565@Thermococcus_radiotolerans_EJ2: 857 matches
Species GCA_002214545@Thermococcus_thioreducens_OGL_20P: 863 matches
Species GCA_002214585@Thermococcus_profundus_DT_5432: 857 matches
Species GCA_002214465@Thermococcus_barossii_SHCK_94: 846 matches
Species GCA_002214605@Thermococcus_chitonophagus: 929 matches
Species GCA_006274605@Thermococcus_indicus_IOH1: 890 matches
Species GCA_008152015@Thermococcus_aciditolerans_SY113: 880 matches
Species GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg: 877 matches
Species GCA_024022995@Thermococcus_aggregans_TY: 844 matches
Species GCA_028471785@Thermococcus_kodakarensis_TS900: 884 matches
Species GCA_900012635@Thermococcus_chitonophagus_isolate_1: 930 matches
Species GCA_902813195@Thermococcus_sp_2319x1_Essen: 828 matches
Species GCA_900198835@Thermococcus_henrietii_EXT12c: 889 matches
Species GCA_035621495@Thermococcus_sp_SY098: 882 matches
Species Pyrococcus_endeavori_ES4: 897 matches
Species Pyrococcus_abyssi_GE2: 952 matches
Species GCA_024707485@Thermococcus_sp_813A4: 863 matches
Species Pyrococcus_31_3: 939 matches
Species GCA_023746595@Thermococcus_argininiproducens_IOH2: 830 matches
Species Pyrococcus_32_1: 939 matches
Species GCA_020386975@Thermococcus_bergensis_T7324: 823 matches
Species Palaeococcus_helgesoni_DSM_15127: 830 matches
Species GCA_028471865@Thermococcus_kodakarensis_TS901: 884 matches
Species Pyrococcus_EXT16: 941 matches
Species Pyrococcus_sp_32_3: 939 matches
Species Pyrococcus_sp_32_4: 939 matches
Species GCA_904067545@Thermococcus_camini_IRI35c: 857 matches
Species Pyrococcus_sp_EXT_15c: 919 matches
Species Pyrococcus_sp_IRI_42C: 902 matches
Species Thermococcus_31_3: 867 matches
Species Thermococcus_23_2: 848 matches
Species Thermococcus_AMTc85: 876 matches
Species Thermococcus_AMTc30: 866 matches
Species Thermococcus_barophilus_423_3_23: 869 matches
Species Thermococcus_15_2: 843 matches
Species Thermococcus_29_3: 888 matches
Species Thermococcus_alcaliphilus_DSM_10322: 843 matches
Species Thermococcus_AMTc11: 906 matches
Species Thermococcus_atlanticus_DSM_15226: 878 matches
Species Thermococcus_aegaeus_DSM_12767: 847 matches
Species Thermococcus_barophilus_CH1: 883 matches
Species Thermococcus_aggregans_DSM_12819: 845 matches
Species Thermococcus_AMTc51: 875 matches
Species Thermococcus_barophilus_DT4: 861 matches
Species Thermococcus_EXT11c: 861 matches
Species Thermococcus_fumicolans_ST557: 869 matches
Species Thermococcus_coalescens_TS1: 864 matches
Species Thermococcus_E15P35: 883 matches
Species Thermococcus_IRI_06c: 853 matches
Species Thermococcus_sp_33_3: 889 matches
Species Thermococcus_sp_26_2: 881 matches
Species Thermococcus_sp_23_4: 849 matches
Species Thermococcus_sp_9_3: 884 matches
Species Thermococcus_marinus_DSM_15227: 888 matches
Species Thermococcus_prieuri_Col3: 855 matches
Species Thermococcus_IRI15c: 857 matches
Species Thermococcus_sp_AMTc72: 868 matches
Species Thermococcus_profundus_DSM_9503: 856 matches
Species Thermococcus_sp_AMTc71: 868 matches
Species Thermococcus_sp_AMTc102: 870 matches
Species Thermococcus_sp_AMTc09: 878 matches
Species Thermococcus_sp_AMTc79: 887 matches
Species Thermococcus_sp_CIR_03a: 890 matches
Species Thermococcus_sp_DS1: 877 matches
Species Thermococcus_sp_AMTc94: 885 matches
Species Thermococcus_sp_CIR_10a: 892 matches
Species Thermococcus_sp_E10P8: 883 matches
Species Thermococcus_sp_E10P11: 883 matches
Species Thermococcus_sp_E15p33: 883 matches
Species Thermococcus_sp_EXT09c: 879 matches
Species Thermococcus_sp_IRI14c: 857 matches
Species Thermococcus_sp_IRI10c: 858 matches
Species Thermococcus_sp_IRI24c: 858 matches
Species Thermococcus_sp_IRI25c: 859 matches
Species Thermococcus_sp_IRI_05c: 859 matches
Species Thermococcus_sp_IRI29c: 858 matches
Species Thermococcus_sp_IRI_33c: 880 matches
Species Thermococcus_sp_unknown: 877 matches
Species Thermococcus_sp_IRI27c2: 858 matches
Species Thermococcus_waiotapuensis_WT1: 825 matches
Species Thermococcus_sp_TPV: 891 matches
Species Thermococcus_stetteri_DSM_5262: 858 matches



Calculating TRG conservation...
Extracted 85 TRGs for the focal species Pyrococcus_sp_GE_23

Species GCA_000265525@Thermococcus_cleftensis_CL1: 19 matches
Species GCA_000263735@Pyrococcus_sp_ST04: 29 matches
Species GCA_000018365@Thermococcus_onnurineus_NA1: 18 matches
Species GCA_000258515@Thermococcus_zilligii_AN1: 18 matches
Species GCA_000195935@Pyrococcus_abyssi_GE5: 54 matches
Species GCA_000011105@Pyrococcus_horikoshii_OT3: 30 matches
Species GCA_000211475@Pyrococcus_sp_NA2: 40 matches
Species GCA_000725425@Palaeococcus_pacificus_DY20341: 9 matches
Species GCA_000007305@Pyrococcus_furiosus_DSM_3638: 34 matches
Species GCA_000151205@Thermococcus_sp_AM4: 21 matches
Species GCA_000246985@Thermococcus_litoralis_DSM_5473: 16 matches
Species GCA_000275605@Pyrococcus_furiosus_COM1: 34 matches
Species GCA_000022365@Thermococcus_gammatolerans_EJ3: 25 matches
Species GCA_000215995@Pyrococcus_yayanosii_CH1: 17 matches
Species GCA_000022545@Thermococcus_sibiricus_MM_739: 8 matches
Species GCA_000221185@Thermococcus_sp_4557: 19 matches
Species GCA_000517445@Thermococcus_paralvinellae_ES1: 15 matches
Species GCA_000151105@Thermococcus_barophilus_MP: 14 matches
Species GCA_000009965@Thermococcus_kodakarensis_KOD1: 20 matches
Species GCA_000585495@Thermococcus_nautili_30_1: 28 matches
Species GCA_002214465@Thermococcus_barossii_SHCK_94: 17 matches
Species GCA_000769655@Thermococcus_eurythermalis_A501: 19 matches
Species GCA_002214365@Thermococcus_celer_Vu_13: 14 matches
Species GCA_001484685@Thermococcus_sp_2319x1: 10 matches
Species GCA_001647085@Thermococcus_piezophilus_CDGS: 12 matches
Species GCA_001577775@Pyrococcus_kukulkanii_NCB100: 26 matches
Species GCA_002214485@Thermococcus_pacificus_P4: 16 matches
Species GCA_001592435@Thermococcus_peptonophilus_OG_1: 21 matches
Species GCA_002197185@Thermococcus_sp_5_4: 12 matches
Species GCA_002214385@Thermococcus_gorgonarius_W_12: 20 matches
Species GCA_000816105@Thermococcus_guaymasensis_DSM_11113: 22 matches
Species GCA_001433455@Thermococcus_barophilus_CH5: 17 matches
Species GCA_002214525@Thermococcus_sp_P6: 9 matches
Species GCA_002214545@Thermococcus_thioreducens_OGL_20P: 20 matches
Species GCA_002214505@Thermococcus_siculi_RG_20: 21 matches
Species GCA_002214565@Thermococcus_radiotolerans_EJ2: 16 matches
Species GCA_002214605@Thermococcus_chitonophagus: 27 matches
Species GCA_008152015@Thermococcus_aciditolerans_SY113: 22 matches
Species GCA_002214585@Thermococcus_profundus_DT_5432: 20 matches
Species GCA_006274605@Thermococcus_indicus_IOH1: 28 matches
Species GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg: 34 matches
Species GCA_023746595@Thermococcus_argininiproducens_IOH2: 15 matches
Species GCA_024022995@Thermococcus_aggregans_TY: 16 matches
Species GCA_028471865@Thermococcus_kodakarensis_TS901: 20 matches
Species GCA_024707485@Thermococcus_sp_813A4: 17 matches
Species GCA_020386975@Thermococcus_bergensis_T7324: 9 matches
Species GCA_028471785@Thermococcus_kodakarensis_TS900: 20 matches
Species GCA_902813195@Thermococcus_sp_2319x1_Essen: 12 matches
Species Palaeococcus_helgesoni_DSM_15127: 14 matches
Species GCA_035621495@Thermococcus_sp_SY098: 14 matches
Species GCA_904067545@Thermococcus_camini_IRI35c: 24 matches
Species GCA_900198835@Thermococcus_henrietii_EXT12c: 23 matches
Species GCA_900012635@Thermococcus_chitonophagus_isolate_1: 27 matches
Species Pyrococcus_32_1: 27 matches
Species Pyrococcus_31_3: 27 matches
Species Pyrococcus_abyssi_GE2: 60 matches
Species Pyrococcus_endeavori_ES4: 27 matches
Species Pyrococcus_sp_32_3: 27 matches
Species Pyrococcus_sp_32_4: 27 matches
Species Pyrococcus_EXT16: 27 matches
Species Thermococcus_23_2: 12 matches
Species Pyrococcus_sp_EXT_15c: 28 matches
Species Thermococcus_15_2: 10 matches
Species Pyrococcus_sp_IRI_42C: 20 matches
Species Thermococcus_29_3: 24 matches
Species Thermococcus_aegaeus_DSM_12767: 12 matches
Species Thermococcus_alcaliphilus_DSM_10322: 10 matches
Species Thermococcus_AMTc30: 25 matches
Species Thermococcus_aggregans_DSM_12819: 16 matches
Species Thermococcus_AMTc51: 23 matches
Species Thermococcus_AMTc85: 29 matches
Species Thermococcus_atlanticus_DSM_15226: 14 matches
Species Thermococcus_AMTc11: 26 matches
Species Thermococcus_barophilus_423_3_23: 15 matches
Species Thermococcus_31_3: 21 matches
Species Thermococcus_barophilus_CH1: 16 matches
Species Thermococcus_coalescens_TS1: 21 matches
Species Thermococcus_barophilus_DT4: 17 matches
Species Thermococcus_E15P35: 27 matches
Species Thermococcus_EXT11c: 27 matches
Species Thermococcus_fumicolans_ST557: 27 matches
Species Thermococcus_IRI15c: 21 matches
Species Thermococcus_prieuri_Col3: 14 matches
Species Thermococcus_IRI_06c: 26 matches
Species Thermococcus_profundus_DSM_9503: 20 matches
Species Thermococcus_sp_26_2: 24 matches
Species Thermococcus_marinus_DSM_15227: 21 matches
Species Thermococcus_sp_23_4: 12 matches
Species Thermococcus_sp_AMTc09: 25 matches
Species Thermococcus_sp_9_3: 26 matches
Species Thermococcus_sp_33_3: 28 matches
Species Thermococcus_sp_AMTc102: 24 matches
Species Thermococcus_sp_AMTc72: 23 matches
Species Thermococcus_sp_AMTc71: 23 matches
Species Thermococcus_sp_AMTc94: 27 matches
Species Thermococcus_sp_AMTc79: 24 matches
Species Thermococcus_sp_CIR_10a: 14 matches
Species Thermococcus_sp_DS1: 24 matches
Species Thermococcus_sp_E10P11: 27 matches
Species Thermococcus_sp_CIR_03a: 21 matches
Species Thermococcus_sp_E10P8: 27 matches
Species Thermococcus_sp_EXT09c: 28 matches
Species Thermococcus_sp_E15p33: 26 matches
Species Thermococcus_sp_IRI_05c: 24 matches
Species Thermococcus_sp_IRI10c: 21 matches
Species Thermococcus_sp_IRI24c: 24 matches
Species Thermococcus_sp_IRI14c: 21 matches
Species Thermococcus_sp_IRI29c: 24 matches
Species Thermococcus_sp_IRI27c2: 24 matches
Species Thermococcus_sp_unknown: 23 matches
Species Thermococcus_sp_IRI25c: 23 matches
Species Thermococcus_stetteri_DSM_5262: 20 matches
Species Thermococcus_sp_TPV: 22 matches
Species Thermococcus_sp_IRI_33c: 25 matches
Species Thermococcus_waiotapuensis_WT1: 17 matches



Calculating intergenic conservation...
Extracted 362 intergenic sequences for the focal species Pyrococcus_sp_GE_23

Species GCA_000018365@Thermococcus_onnurineus_NA1: 15 matches
Species GCA_000221185@Thermococcus_sp_4557: 19 matches
Species GCA_000195935@Pyrococcus_abyssi_GE5: 14 matches
Species GCA_000007305@Pyrococcus_furiosus_DSM_3638: 22 matches
Species GCA_000151205@Thermococcus_sp_AM4: 15 matches
Species GCA_000211475@Pyrococcus_sp_NA2: 21 matches
Species GCA_000022545@Thermococcus_sibiricus_MM_739: 21 matches
Species GCA_000263735@Pyrococcus_sp_ST04: 23 matches
Species GCA_000215995@Pyrococcus_yayanosii_CH1: 20 matches
Species GCA_000011105@Pyrococcus_horikoshii_OT3: 21 matches
Species GCA_000275605@Pyrococcus_furiosus_COM1: 22 matches
Species GCA_000725425@Palaeococcus_pacificus_DY20341: 16 matches
Species GCA_000151105@Thermococcus_barophilus_MP: 15 matches
Species GCA_000009965@Thermococcus_kodakarensis_KOD1: 15 matches
Species GCA_000517445@Thermococcus_paralvinellae_ES1: 15 matches
Species GCA_000246985@Thermococcus_litoralis_DSM_5473: 21 matches
Species GCA_000265525@Thermococcus_cleftensis_CL1: 17 matches
