	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	21	801	19	778	535	573	642	702	422
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	81	878	19	867	785	797	814	839	779
GCA_000011105@Pyrococcus_horikoshii_OT3	0	14	776	17	760	502	544	629	684	392
GCA_000018365@Thermococcus_onnurineus_NA1	0	40	813	20	798	651	683	733	756	624
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	59	830	21	809	640	676	720	761	607
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	780	17	765	514	563	645	710	407
GCA_000151105@Thermococcus_barophilus_MP	0	32	827	17	812	585	631	696	752	488
GCA_000151205@Thermococcus_sp_AM4	0	59	837	26	824	654	682	737	772	614
GCA_000195935@Pyrococcus_abyssi_GE5	0	23	773	11	748	502	558	624	682	418
GCA_000211475@Pyrococcus_sp_NA2	0	20	779	14	760	517	556	635	700	428
GCA_000215995@Pyrococcus_yayanosii_CH1	0	22	771	14	756	555	601	651	700	510
GCA_000221185@Thermococcus_sp_4557	0	45	834	21	815	662	695	733	766	637
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	23	835	26	817	612	642	717	761	514
GCA_000258515@Thermococcus_zilligii_AN1	0	44	812	21	790	638	665	706	744	610
GCA_000263735@Pyrococcus_sp_ST04	0	18	793	15	769	518	556	642	702	420
GCA_000265525@Thermococcus_cleftensis_CL1	0	49	826	19	810	655	686	720	749	621
GCA_000275605@Pyrococcus_furiosus_COM1	0	21	800	19	778	532	574	641	703	424
GCA_000517445@Thermococcus_paralvinellae_ES1	0	27	799	17	784	558	605	674	731	462
GCA_000585495@Thermococcus_nautili_30_1	0	65	839	26	826	665	702	751	774	645
GCA_000725425@Palaeococcus_pacificus_DY20341	0	12	793	9	773	550	593	657	709	454
GCA_000769655@Thermococcus_eurythermalis_A501	0	64	847	38	835	684	719	755	795	663
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	47	817	23	799	632	657	703	746	601
GCA_001433455@Thermococcus_barophilus_CH5	0	37	837	22	821	589	638	701	754	510
GCA_001484685@Thermococcus_sp_2319x1	0	23	808	19	791	609	634	693	739	518
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	15	794	16	772	535	578	645	693	444
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	74	848	20	839	779	785	798	820	775
GCA_001647085@Thermococcus_piezophilus_CDGS	0	37	797	21	774	626	660	697	726	597
GCA_002197185@Thermococcus_sp_5_4	0	35	805	17	791	651	685	724	747	628
GCA_002214365@Thermococcus_celer_Vu_13	0	37	806	20	796	646	674	727	755	617
GCA_002214385@Thermococcus_gorgonarius_W_12	0	39	805	27	791	644	664	710	739	618
GCA_002214465@Thermococcus_barossii_SHCK_94	0	41	827	19	809	653	684	739	763	621
GCA_002214485@Thermococcus_pacificus_P4	0	40	810	13	797	664	688	738	765	635
GCA_002214505@Thermococcus_siculi_RG_20	0	45	831	14	814	680	707	746	766	646
GCA_002214525@Thermococcus_sp_P6	0	29	746	20	724	577	607	645	675	546
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	63	846	26	836	675	707	754	785	645
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	35	820	16	811	653	688	733	760	632
GCA_002214585@Thermococcus_profundus_DT_5432	0	56	847	28	832	685	719	767	795	658
GCA_002214605@Thermococcus_chitonophagus	0	22	778	12	760	528	564	643	698	445
GCA_006274605@Thermococcus_indicus_IOH1	0	65	859	27	845	679	715	762	794	646
GCA_008152015@Thermococcus_aciditolerans_SY113	0	50	842	29	824	673	708	746	783	640
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	21	799	19	778	535	573	643	703	422
GCA_020386975@Thermococcus_bergensis_T7324	0	19	785	19	769	571	617	671	711	498
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	14	789	18	769	504	559	649	710	364
GCA_024022995@Thermococcus_aggregans_TY	0	15	791	13	768	565	597	659	718	488
GCA_024707485@Thermococcus_sp_813A4	0	55	851	20	840	682	716	759	794	649
GCA_028471785@Thermococcus_kodakarensis_TS900	0	81	878	20	867	785	796	813	841	778
GCA_028471865@Thermococcus_kodakarensis_TS901	0	81	878	20	867	785	796	815	841	779
GCA_035621495@Thermococcus_sp_SY098	0	32	821	15	810	565	623	692	745	487
