	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	35	817	12	803	536	592	678	740	412
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	78	859	15	852	690	721	774	811	654
GCA_000011105@Pyrococcus_horikoshii_OT3	0	23	794	12	774	520	565	640	712	406
GCA_000018365@Thermococcus_onnurineus_NA1	0	94	860	18	854	812	818	828	839	804
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	56	832	14	815	642	680	741	779	615
GCA_000022545@Thermococcus_sibiricus_MM_739	0	31	810	14	795	553	608	689	745	441
GCA_000151105@Thermococcus_barophilus_MP	0	46	858	20	848	658	708	771	812	567
GCA_000151205@Thermococcus_sp_AM4	0	66	850	20	834	651	703	744	791	625
GCA_000195935@Pyrococcus_abyssi_GE5	0	31	807	12	798	550	612	686	747	468
GCA_000211475@Pyrococcus_sp_NA2	0	37	821	19	808	566	607	675	745	439
GCA_000215995@Pyrococcus_yayanosii_CH1	0	30	830	13	820	617	672	730	768	574
GCA_000221185@Thermococcus_sp_4557	0	85	868	25	860	753	776	809	836	743
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	41	860	16	847	634	683	766	810	555
GCA_000258515@Thermococcus_zilligii_AN1	0	42	830	14	815	657	672	725	773	609
GCA_000263735@Pyrococcus_sp_ST04	0	28	808	11	795	533	587	658	729	427
GCA_000265525@Thermococcus_cleftensis_CL1	0	85	872	32	862	751	779	810	841	739
GCA_000275605@Pyrococcus_furiosus_COM1	0	35	817	12	802	540	590	673	740	407
GCA_000517445@Thermococcus_paralvinellae_ES1	0	42	833	17	817	660	690	750	781	563
GCA_000585495@Thermococcus_nautili_30_1	0	62	850	26	840	681	715	767	797	662
GCA_000725425@Palaeococcus_pacificus_DY20341	0	45	842	13	834	610	675	746	787	539
GCA_000769655@Thermococcus_eurythermalis_A501	0	66	860	22	850	695	743	788	821	676
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	51	825	16	816	659	690	738	774	623
GCA_001433455@Thermococcus_barophilus_CH5	0	56	878	20	871	684	725	787	827	586
GCA_001484685@Thermococcus_sp_2319x1	0	45	835	23	825	636	661	749	777	538
