gene_id	focal_genome	nc_genome	nc_match_contig	nc_match_strand	nc_match_start	nc_match_end	n_overlapping_genes	overlapping_genes	f0	f1	f2	intergenic	outgroup_nb
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_fumicolans_ST557	14021	-	1452989	1453211	0		0	0	0	222	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014751	+	6651	6996	0		0	0	0	345	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	+	449050	449401	1	AJGPKGBP_00482	0	2	0	349	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_sp_CIR_03a	8822	+	1840201	1840546	0		0	0	0	345	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_002214545@Thermococcus_thioreducens_OGL_20P	NZ_CP015105	+	1269599	1269944	0		0	0	0	345	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_sp_IRI_05c	8817	-	983655	984000	0		0	0	0	345	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	GCA_024707485@Thermococcus_sp_813A4	NZ_CP102602	-	374005	374350	0		0	0	0	345	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_coalescens_TS1	14020	+	1640786	1641047	0		0	0	0	261	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_31_3	7489	-	1158083	1158344	0		0	0	0	261	3
BCEBDJIJ_00768_gene_mRNA	GCA_000007305@Pyrococcus_furiosus_DSM_3638	Thermococcus_atlanticus_DSM_15226	11783	+	498748	499048	1	OBEJPNEJ_00551	0	35	0	265	3
