	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	34	877	22	866	730	746	782	828	667
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	20	885	15	867	627	674	743	801	538
GCA_000011105@Pyrococcus_horikoshii_OT3	0	30	917	21	907	817	821	840	871	772
GCA_000018365@Thermococcus_onnurineus_NA1	0	18	828	15	807	602	631	704	749	506
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	25	859	16	844	595	641	704	779	513
GCA_000022545@Thermococcus_sibiricus_MM_739	0	8	821	21	800	594	623	678	752	459
GCA_000151105@Thermococcus_barophilus_MP	0	14	868	15	855	652	679	737	792	516
GCA_000151205@Thermococcus_sp_AM4	0	21	860	15	850	628	671	729	778	546
GCA_000195935@Pyrococcus_abyssi_GE5	0	54	943	14	939	912	914	918	929	907
GCA_000211475@Pyrococcus_sp_NA2	0	40	925	21	913	828	837	859	885	776
GCA_000215995@Pyrococcus_yayanosii_CH1	0	17	865	20	853	687	716	760	804	598
GCA_000221185@Thermococcus_sp_4557	0	19	853	19	838	573	630	714	774	489
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	16	882	21	862	656	690	757	815	529
GCA_000258515@Thermococcus_zilligii_AN1	0	18	829	15	815	582	634	698	756	485
GCA_000263735@Pyrococcus_sp_ST04	0	29	900	23	889	773	790	825	852	702
GCA_000265525@Thermococcus_cleftensis_CL1	0	19	834	17	814	583	629	696	753	492
GCA_000275605@Pyrococcus_furiosus_COM1	0	34	877	22	865	728	742	780	825	664
GCA_000517445@Thermococcus_paralvinellae_ES1	0	15	841	15	828	631	670	726	772	518
GCA_000585495@Thermococcus_nautili_30_1	0	28	889	16	873	633	697	760	808	540
GCA_000725425@Palaeococcus_pacificus_DY20341	0	9	838	16	822	595	635	709	759	481
GCA_000769655@Thermococcus_eurythermalis_A501	0	19	886	10	870	628	674	750	813	534
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	22	862	19	847	616	669	738	781	509
GCA_001433455@Thermococcus_barophilus_CH5	0	17	913	14	903	695	726	789	851	550
GCA_001484685@Thermococcus_sp_2319x1	0	10	822	17	804	626	648	710	757	504
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	26	933	21	920	808	828	864	885	744
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	21	860	13	850	617	668	745	793	534
GCA_001647085@Thermococcus_piezophilus_CDGS	0	12	833	19	802	586	633	700	750	505
GCA_002197185@Thermococcus_sp_5_4	0	12	849	12	830	616	640	734	773	517
GCA_002214365@Thermococcus_celer_Vu_13	0	14	829	14	811	544	594	679	752	476
GCA_002214385@Thermococcus_gorgonarius_W_12	0	20		14	800	575	623	683	744	498
GCA_002214465@Thermococcus_barossii_SHCK_94	0	17	846	14	831	623	655	732	781	509
GCA_002214485@Thermococcus_pacificus_P4	0	16	833	13	817	581	640	717	757	491
GCA_002214505@Thermococcus_siculi_RG_20	0	21	852	19	838	594	655	712	774	514
GCA_002214525@Thermococcus_sp_P6	0	9	777	18	762	528	576	647	707	443
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	20	863	15	842	615	645	723	776	510
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	16		12	845	607	647	729	784	514
GCA_002214585@Thermococcus_profundus_DT_5432	0	20	857	11	838	604	654	722	773	517
GCA_002214605@Thermococcus_chitonophagus	0	27	929	24	922	807	830	858	889	732
GCA_006274605@Thermococcus_indicus_IOH1	0	28	890	18	866	618	675	749	805	532
GCA_008152015@Thermococcus_aciditolerans_SY113	0	22	880	20	860	622	663	745	789	523
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	34	877	22	865	731	743	780	826	665
GCA_020386975@Thermococcus_bergensis_T7324	0	9	823	20	807	594	643	699	743	485
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	15	830	17	813	610	632	697	757	470
GCA_024022995@Thermococcus_aggregans_TY	0	16	844	15	820	635	660	714	764	507
GCA_024707485@Thermococcus_sp_813A4	0	17	863	14	852	627	658	747	784	514
GCA_028471785@Thermococcus_kodakarensis_TS900	0	20	884	15	867	625	671	741	801	527
GCA_028471865@Thermococcus_kodakarensis_TS901	0	20	884	15	866	624	672	741	800	530
GCA_035621495@Thermococcus_sp_SY098	0	14	882	18	866	668	696	747	812	528
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	27	930	24	922	808	831	861	889	729
GCA_900198835@Thermococcus_henrietii_EXT12c	0	23	889	16	872	616	667	757	818	528
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	12	828	16	809	620	644	712	767	500
GCA_904067545@Thermococcus_camini_IRI35c	0	24	857	14	841	596	635	715	768	496
Palaeococcus_helgesoni_DSM_15127	0	14	830	16	811	576	618	682	743	475
Pyrococcus_31_3	0	27	939	23	935	824	847	879	909	752
Pyrococcus_32_1	0	27	939	23	935	822	847	880	909	756
Pyrococcus_abyssi_GE2	0	60	952	14	946	907	914	918	933	905
Pyrococcus_endeavori_ES4	0	27	897	23	888	771	791	828	852	708
Pyrococcus_EXT16	0	27	941	24	937	825	844	881	914	751
Pyrococcus_sp_32_3	0	27	939	24	936	822	846	880	909	756
Pyrococcus_sp_32_4	0	27	939	24	936	826	844	878	909	753
Pyrococcus_sp_EXT_15c	0	28	919	21	914	808	831	865	891	742
Pyrococcus_sp_GE_23	0	85	1000	362	1000	1000	1000	1000	1000	1000
Pyrococcus_sp_IRI_42C	0	20	902	20	886	742	768	811	848	651
Thermococcus_15_2	0	10	843	15	826	576	622	714	757	480
Thermococcus_23_2	0	12	848	11	830	614	640	733	772	517
Thermococcus_29_3	0	24	888	15	872	630	677	754	809	528
Thermococcus_31_3	0	21	867	14	851	627	658	731	783	529
Thermococcus_aegaeus_DSM_12767	0	12	847	20	829	642	676	722	782	503
Thermococcus_aggregans_DSM_12819	0	16	845	15	822	635	659	717	765	506
Thermococcus_alcaliphilus_DSM_10322	0	10	843	23	823	632	660	724	775	509
Thermococcus_AMTc11	0	26	906	19	886	645	694	778	832	552
Thermococcus_AMTc30	0	25	866	19	846	619	671	738	794	525
Thermococcus_AMTc51	0	23	875	14	864	633	673	747	800	539
Thermococcus_AMTc85	0	29	876	19	859	630	670	745	796	523
Thermococcus_atlanticus_DSM_15226	0	14	878	19	862	630	682	758	816	532
Thermococcus_barophilus_423_3_23	0	15	869	19	854	653	674	733	796	520
Thermococcus_barophilus_CH1	0	16	883	15	866	660	693	751	813	532
Thermococcus_barophilus_DT4	0	17	861	16	836	645	669	733	782	525
Thermococcus_coalescens_TS1	0	21	864	16	842	592	655	733	784	513
Thermococcus_E15P35	0	27	883	16	867	629	678	757	807	539
Thermococcus_EXT11c	0	27	861	20	845	615	659	742	788	533
Thermococcus_fumicolans_ST557	0	27	869	14	847	612	669	728	782	529
Thermococcus_IRI_06c	0	26	853	12	836	597	646	713	778	512
Thermococcus_IRI15c	0	21	857	15	843	597	647	721	780	517
Thermococcus_marinus_DSM_15227	0	21	888	12	871	636	678	753	819	547
Thermococcus_prieuri_Col3	0	14	855	15	835	588	639	720	767	481
Thermococcus_profundus_DSM_9503	0	20	856	11	837	602	657	718	773	513
Thermococcus_sp_23_4	0	12	849	11	830	611	640	734	772	515
Thermococcus_sp_26_2	0	24	881	15	870	615	661	748	797	522
Thermococcus_sp_33_3	0	28	889	16	873	623	684	755	803	536
Thermococcus_sp_9_3	0	26	884	16	870	624	679	754	807	545
Thermococcus_sp_AMTc09	0	25	878	16	864	613	653	741	789	528
Thermococcus_sp_AMTc102	0	24	870	16	857	607	650	740	789	524
Thermococcus_sp_AMTc71	0	23	868	17	849	604	648	726	784	501
Thermococcus_sp_AMTc72	0	23	868	17	848	606	646	726	784	502
Thermococcus_sp_AMTc79	0	24	887	16	871	629	680	761	812	536
Thermococcus_sp_AMTc94	0	27	885	16	868	622	686	753	805	540
Thermococcus_sp_CIR_03a	0	21	890	14	878	640	677	767	821	531
Thermococcus_sp_CIR_10a	0	14	892	17	874	681	705	764	825	550
Thermococcus_sp_DS1	0	24	877	14	859	635	670	758	805	525
Thermococcus_sp_E10P11	0	27	883	15	868	614	669	751	802	532
Thermococcus_sp_E10P8	0	27	883	15	868	616	671	750	801	533
Thermococcus_sp_E15p33	0	26	883	16	867	628	682	755	809	539
Thermococcus_sp_EXT09c	0	28	879	18	864	626	680	755	806	533
Thermococcus_sp_IRI_05c	0	24	859	14	843	608	648	735	784	513
Thermococcus_sp_IRI10c	0	21	858	15	841	596	645	721	774	518
Thermococcus_sp_IRI14c	0	21	857	15	843	597	644	722	778	517
Thermococcus_sp_IRI24c	0	24	858	14	840	585	629	709	773	495
Thermococcus_sp_IRI25c	0	23	859	16	845	598	650	721	781	520
Thermococcus_sp_IRI27c2	0	24	858	14	841	585	630	705	772	496
Thermococcus_sp_IRI29c	0	24	858	14	839	587	629	707	772	496
Thermococcus_sp_IRI_33c	0	25	880	13	860	634	673	765	811	521
Thermococcus_sp_TPV	0	22	891	17	873	624	678	763	814	536
Thermococcus_sp_unknown	0	23	877	16	857	617	669	738	794	525
Thermococcus_stetteri_DSM_5262	0	20	858	16	844	615	660	729	785	529
Thermococcus_waiotapuensis_WT1	0	17	825	16	806	562	609	683	751	482
