cds bin
ACBJCPJC_01068_gene_mRNA 0
ACBJCPJC_02229_gene_mRNA 0
ADNHAJGI_00301_gene_mRNA 0
ADNHAJGI_00554_gene_mRNA 0
AFABOCMA_02009_gene_mRNA 0
AJGPKGBP_00434_gene_mRNA 0
AMHJKFND_00757_gene_mRNA 0
ANCILGIH_00499_gene_mRNA 0
ANCILGIH_00752_gene_mRNA 0
BCEBDJIJ_00768_gene_mRNA 0
BEODAGIL_01262_gene_mRNA 0
CJOMCJEF_02177_gene_mRNA 0
CNPDMPNG_00739_gene_mRNA 0
DBJFJDPB_00921_gene_mRNA 0
DBJFJDPB_01482_gene_mRNA 0
DIIPPFNO_01130_gene_mRNA 0
DLHNAOEN_01913_gene_mRNA 0
DOACLEJL_02110_gene_mRNA 0
EDCHFHLE_01783_gene_mRNA 0
EDCHFHLE_02036_gene_mRNA 0
EDEBIHJP_00574_gene_mRNA 0
EEHIGLKK_01721_gene_mRNA 0
EFDKJKPG_00294_gene_mRNA 0
EFDKJKPG_01864_gene_mRNA 0
EFDKJKPG_02040_gene_mRNA 0
EGODEMLK_00126_gene_mRNA 0
EGODEMLK_01592_gene_mRNA 0
FDFCGALF_00036_gene_mRNA 0
FDFCGALF_01644_gene_mRNA 0
FDFCGALF_01917_gene_mRNA 0
FDFCGALF_02150_gene_mRNA 0
GCEEKKGH_00611_gene_mRNA 0
GDFJICBN_01038_gene_mRNA 0
GFJMONNO_00169_gene_mRNA 0
GFJMONNO_00541_gene_mRNA 0
GHGJAMGE_02025_gene_mRNA 0
GHGJAMGE_02380_gene_mRNA 0
GKAADPKM_02166_gene_mRNA 0
GMODMALF_00815_gene_mRNA 0
GNDPMMCP_02166_gene_mRNA 0
HCEHDMML_01191_gene_mRNA 0
HGJLAOHP_00498_gene_mRNA 0
HGJLAOHP_00695_gene_mRNA 0
HGKANDNA_01718_gene_mRNA 0
HKFOCBLP_00592_gene_mRNA 0
HPMEPLIM_01176_gene_mRNA 0
IOIKJFFK_00291_gene_mRNA 0
IONHLECP_01767_gene_mRNA 0
JNEHKGLE_01179_gene_mRNA 0
JNEHKGLE_01192_gene_mRNA 0
KGGIBHBC_01519_gene_mRNA 0
KLPMFDKH_00748_gene_mRNA 0
KOPGNMII_00670_gene_mRNA 0
LBEMKAPA_01754_gene_mRNA 0
LHBEBFMA_01401_gene_mRNA 0
LPGJLMGN_02261_gene_mRNA 0
MHNPHHGP_00743_gene_mRNA 0
NJBILLPB_00461_gene_mRNA 0
OKCMFDEG_00691_gene_mRNA 0
ONHDGIGB_01003_gene_mRNA 0
OPFPOKDM_00301_gene_mRNA 0
OPFPOKDM_00554_gene_mRNA 0
PBMLHHBH_01917_gene_mRNA 0
PBPJMCNB_00743_gene_mRNA 0
PBPJMCNB_01075_gene_mRNA 0
PCHKGBCN_01343_gene_mRNA 0
PDKJIDNC_00363_gene_mRNA 0
PHBODLGA_00461_gene_mRNA 0
PPKIDKBL_00710_gene_mRNA 0
GMODMALF_00869_gene_mRNA 0
DKCGPBOD_01403_gene_mRNA 0
EDEBIHJP_00740_gene_mRNA 0
GNDPMMCP_00190_gene_mRNA 0
PFONPCID_00206_gene_mRNA 0
PHBODLGA_01706_gene_mRNA 0
AMHJKFND_01881_gene_mRNA 0
IBPOIFOJ_01675_gene_mRNA 0
MHNPHHGP_01489_gene_mRNA 0
DPDKODAJ_01344_gene_mRNA 0
LHBEBFMA_00974_gene_mRNA 0
LAMLPHDI_00475_gene_mRNA 0
JNPMLONA_02019_gene_mRNA 0
OEKNJAMO_01469_gene_mRNA 0
LBKKHDLG_02290_gene_mRNA 0
LAMLPHDI_01930_gene_mRNA 0
KNEHCMDO_01631_gene_mRNA 0
GHPKADDI_01658_gene_mRNA 0
GHPKADDI_00823_gene_mRNA 0
GNOOMBDF_00284_gene_mRNA 0
ABFJCCAC_00541_gene_mRNA 0
DOACLEJL_00428_gene_mRNA 0
PCHKGBCN_00504_gene_mRNA 0
EFDKJKPG_02192_gene_mRNA 0
ONHDGIGB_01342_gene_mRNA 0
GLFGKKCP_01651_gene_mRNA 0
EFDKJKPG_00810_gene_mRNA 0
FCCLJDJA_01862_gene_mRNA 0
KMDFJOEO_00916_gene_mRNA 0
OKCMFDEG_00727_gene_mRNA 0
BIGFIPKJ_00288_gene_mRNA 0
BFHCEGCA_01335_gene_mRNA 0
MHNPHHGP_01706_gene_mRNA 0
NEIFGDLC_00985_gene_mRNA 0
KMOELFFF_00340_gene_mRNA 0
GNDPMMCP_01985_gene_mRNA 0
ABFJCCAC_01937_gene_mRNA 0
GNCEECAB_00997_gene_mRNA 0
LFPLOHAD_00015_gene_mRNA 0
BCEBDJIJ_01265_gene_mRNA 0
OBEJPNEJ_01699_gene_mRNA 0
LGNMEAEL_01456_gene_mRNA 0
LAMLPHDI_00533_gene_mRNA 0
GDFJICBN_00947_gene_mRNA 0
PBPJMCNB_01742_gene_mRNA 0
PCHKGBCN_02064_gene_mRNA 0
AAAKJNHH_01956_gene_mRNA 0
KKEPLHJF_01184_gene_mRNA 0
BICEADNH_00195_gene_mRNA 0
GLFGKKCP_01913_gene_mRNA 0
EEHIGLKK_01481_gene_mRNA 0
BICEADNH_01208_gene_mRNA 0
OKCMFDEG_00442_gene_mRNA 0
LBKKHDLG_01309_gene_mRNA 0
GFJMONNO_00843_gene_mRNA 0
HILMJHED_02194_gene_mRNA 0
NLJLOJEE_01401_gene_mRNA 0
DLHNAOEN_00535_gene_mRNA 0
AEBFKIOA_00582_gene_mRNA 0
GHGJAMGE_02465_gene_mRNA 0
MHNPHHGP_00657_gene_mRNA 0
OKCMFDEG_01358_gene_mRNA 0
IOIKJFFK_00644_gene_mRNA 0
INOBBFIB_01108_gene_mRNA 0
DHEHCHCB_00815_gene_mRNA 0
GHGJAMGE_02156_gene_mRNA 0
IOIKJFFK_00223_gene_mRNA 0
CEHDAOCF_01362_gene_mRNA 0
ABFJCCAC_01916_gene_mRNA 0
NDGJDIIF_00152_gene_mRNA 0
ONHDGIGB_00305_gene_mRNA 0
DKCGPBOD_02051_gene_mRNA 0
GCEEKKGH_01747_gene_mRNA 0
DOACLEJL_01507_gene_mRNA 0
GHPKADDI_00741_gene_mRNA 0
OFPOBCOD_00245_gene_mRNA 0
LAMLPHDI_00004_gene_mRNA 0
AFABOCMA_01090_gene_mRNA 0
HPMEPLIM_01719_gene_mRNA 0
AJGPKGBP_00643_gene_mRNA 0
ONHDGIGB_00674_gene_mRNA 0
NDGJDIIF_01935_gene_mRNA 0
NEPLOJCO_00684_gene_mRNA 0
LGNMEAEL_01634_gene_mRNA 0
KNECDIJF_00295_gene_mRNA 0
PJJLKOLC_00181_gene_mRNA 0
OCJIHLOK_01946_gene_mRNA 0
OCJIHLOK_01841_gene_mRNA 0
JKCEONJL_00366_gene_mRNA 0
JNEHKGLE_01428_gene_mRNA 0
EJGDLNBA_00698_gene_mRNA 0
KLPMFDKH_01036_gene_mRNA 0
GDFJICBN_02057_gene_mRNA 0
DIIPPFNO_00741_gene_mRNA 0
BFHCEGCA_01625_gene_mRNA 0
GKAADPKM_00203_gene_mRNA 0
NDGJDIIF_00973_gene_mRNA 0
GFJMONNO_02453_gene_mRNA 0
LAJHHDHE_00742_gene_mRNA 0
ABFJCCAC_00177_gene_mRNA 0
KOPGNMII_00627_gene_mRNA 0
PDKJIDNC_01479_gene_mRNA 0
GAIOKEBO_01621_gene_mRNA 0
DOACLEJL_01363_gene_mRNA 0
EGODEMLK_01947_gene_mRNA 0
GHPKADDI_01443_gene_mRNA 0
FCCLJDJA_02083_gene_mRNA 0
OBEJPNEJ_00427_gene_mRNA 0
EDEBIHJP_01940_gene_mRNA 0
OKIJBLPE_01272_gene_mRNA 0
JGEJLDGG_01839_gene_mRNA 0
ACBJCPJC_02030_gene_mRNA 0
LBEMKAPA_00615_gene_mRNA 0
GKAADPKM_00665_gene_mRNA 0
NEIFGDLC_00099_gene_mRNA 0
PPKIDKBL_01827_gene_mRNA 0
JKCEONJL_01201_gene_mRNA 0
JKCEONJL_01304_gene_mRNA 0
GNOOMBDF_01470_gene_mRNA 0
IOIKJFFK_01950_gene_mRNA 0
GKAADPKM_00946_gene_mRNA 0
OKIJBLPE_01654_gene_mRNA 0
BCEBDJIJ_01754_gene_mRNA 0
KNECDIJF_00113_gene_mRNA 0
ADNHAJGI_00653_gene_mRNA 0
FDLBPKII_01335_gene_mRNA 0
GFJMONNO_02163_gene_mRNA 0
OPFPOKDM_02037_gene_mRNA 0
GFJMONNO_01220_gene_mRNA 0
AMHJKFND_02062_gene_mRNA 0
OKIJBLPE_01329_gene_mRNA 0
JKCEONJL_01709_gene_mRNA 0
DKLHHBAG_01530_gene_mRNA 0
GDFJICBN_01752_gene_mRNA 0
KGGIBHBC_01039_gene_mRNA 0
MLLJDAHJ_01661_gene_mRNA 0
BEODAGIL_01322_gene_mRNA 0
IONHLECP_01211_gene_mRNA 0
KGGIBHBC_01032_gene_mRNA 0
IBPOIFOJ_00177_gene_mRNA 0
LGNMEAEL_01049_gene_mRNA 0
KOPGNMII_00331_gene_mRNA 0
GAIOKEBO_01723_gene_mRNA 0
DIIPPFNO_00420_gene_mRNA 0
JNEHKGLE_01633_gene_mRNA 0
GMODMALF_01464_gene_mRNA 0
GHGJAMGE_01871_gene_mRNA 0
JNEHKGLE_00066_gene_mRNA 0
NDGJDIIF_00774_gene_mRNA 0
NEIFGDLC_01699_gene_mRNA 0
DHEHCHCB_01975_gene_mRNA 0
NEIFGDLC_00106_gene_mRNA 0
EGODEMLK_00362_gene_mRNA 0
KNECDIJF_01178_gene_mRNA 0
PFONPCID_01013_gene_mRNA 0
OKCMFDEG_00208_gene_mRNA 0
LGNMEAEL_00716_gene_mRNA 0
NDGJDIIF_02094_gene_mRNA 0
PPKIDKBL_01543_gene_mRNA 0
EGODEMLK_01332_gene_mRNA 0
LGNMEAEL_00626_gene_mRNA 0
EEHIGLKK_02122_gene_mRNA 0
OKCMFDEG_00343_gene_mRNA 0
OKCMFDEG_01256_gene_mRNA 0
GNCEECAB_01953_gene_mRNA 0
BCEBDJIJ_01951_gene_mRNA 0
EDCHFHLE_00880_gene_mRNA 0
EDEBIHJP_01513_gene_mRNA 0
BFHCEGCA_00027_gene_mRNA 0
DKLHHBAG_01805_gene_mRNA 0
AJGPKGBP_00172_gene_mRNA 0
HILMJHED_00563_gene_mRNA 0
FDLBPKII_00356_gene_mRNA 0
GFJMONNO_01852_gene_mRNA 0
PCHKGBCN_01220_gene_mRNA 0
LPGJLMGN_02453_gene_mRNA 0
EFDKJKPG_01506_gene_mRNA 0
GLFGKKCP_00683_gene_mRNA 0
PHBODLGA_01592_gene_mRNA 0
BEODAGIL_01534_gene_mRNA 0
BCEBDJIJ_02123_gene_mRNA 0
KMOELFFF_02024_gene_mRNA 0
EGODEMLK_00118_gene_mRNA 0
DHEHCHCB_01387_gene_mRNA 0
