	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	16	782	41	759	497	535	618	686	389
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	60	873	135	854	706	730	762	807	677
GCA_000011105@Pyrococcus_horikoshii_OT3	0	12	778	38	761	521	551	626	703	412
GCA_000018365@Thermococcus_onnurineus_NA1	0	31	816	96	793	633	673	715	750	612
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	66	875	128	856	722	749	785	822	696
GCA_000022545@Thermococcus_sibiricus_MM_739	0	10	771	48	752	489	538	617	687	393
GCA_000151105@Thermococcus_barophilus_MP	0	17	818	52	797	575	617	683	745	479
GCA_000151205@Thermococcus_sp_AM4	0	76	901	128	888	748	776	823	856	732
GCA_000195935@Pyrococcus_abyssi_GE5	0	14	795	39	777	539	574	648	707	444
GCA_000211475@Pyrococcus_sp_NA2	0	13	774	38	748	499	542	618	690	421
GCA_000215995@Pyrococcus_yayanosii_CH1	0	16	786	45	768	545	595	653	717	509
GCA_000221185@Thermococcus_sp_4557	0	40	854	122	840	668	711	752	787	656
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	13	836	54	814	573	616	695	745	512
GCA_000258515@Thermococcus_zilligii_AN1	0	33	823	118	803	672	690	723	763	653
GCA_000263735@Pyrococcus_sp_ST04	0		776	39	757	523	562	623	696	413
GCA_000265525@Thermococcus_cleftensis_CL1	0	36	829	110	808	655	679	728	763	630
GCA_000275605@Pyrococcus_furiosus_COM1	0	16	784	42	759	499	537	616	684	388
GCA_000517445@Thermococcus_paralvinellae_ES1	0	18	797	47	770	558	582	660	709	455
GCA_000585495@Thermococcus_nautili_30_1	0	50	864	101	847	685	718	766	802	660
GCA_000725425@Palaeococcus_pacificus_DY20341	0	9	814	44	791	561	585	658	721	462
GCA_000769655@Thermococcus_eurythermalis_A501	0	37	857	93	843	689	705	767	807	652
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	46	857	117	844	695	726	769	809	678
GCA_001433455@Thermococcus_barophilus_CH5	0	19	845	54	827	597	631	698	767	502
GCA_001484685@Thermococcus_sp_2319x1	0	10	788	48	763	553	587	647	709	490
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	17	813	41	785	545	587	662	724	468
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	37	863	135	843	703	729	768	807	677
GCA_001647085@Thermococcus_piezophilus_CDGS	0	23	799	90	766	603	643	690	721	566
GCA_002197185@Thermococcus_sp_5_4	0	29	826	112	807	671	697	742	776	649
GCA_002214365@Thermococcus_celer_Vu_13	0	25	817	101	798	640	667	722	763	612
GCA_002214385@Thermococcus_gorgonarius_W_12	0	45	802	126	783	650	669	715	742	627
GCA_002214465@Thermococcus_barossii_SHCK_94	0	33	843	116	825	677	712	760	789	647
GCA_002214485@Thermococcus_pacificus_P4	0	31	808	116	792	650	677	724	758	624
GCA_002214505@Thermococcus_siculi_RG_20	0	40	839	136	820	689	709	755	784	666
GCA_002214525@Thermococcus_sp_P6	0	22	761	70	738	578	598	647	690	540
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	45	849	122	833	649	688	739	783	628
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	32	837	117	819	664	694	745	782	643
GCA_002214585@Thermococcus_profundus_DT_5432	0	134	1000	526	1000	1000	1000	1000	1000	1000
GCA_002214605@Thermococcus_chitonophagus	0	18	806	41	780	542	573	647	720	447
GCA_006274605@Thermococcus_indicus_IOH1	0	44	879	114	860	699	732	789	817	666
GCA_008152015@Thermococcus_aciditolerans_SY113	0	42	857	118	839	683	703	760	787	650
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	16	783	42	758	497	532	619	685	385
GCA_020386975@Thermococcus_bergensis_T7324	0	14	783	51	753	539	576	645	696	466
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	13	787	53	770	502	531	634	705	373
GCA_024022995@Thermococcus_aggregans_TY	0	11	795	52	775	536	579	657	719	453
GCA_024707485@Thermococcus_sp_813A4	0	39	846	115	834	654	695	749	790	634
GCA_028471785@Thermococcus_kodakarensis_TS900	0	60	871	135	852	700	723	759	804	674
GCA_028471865@Thermococcus_kodakarensis_TS901	0	60	871	135	852	704	725	757	807	672
GCA_035621495@Thermococcus_sp_SY098	0	18	820	55	799	568	614	681	743	487
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	18	807	41	781	540	574	647	722	447
GCA_900198835@Thermococcus_henrietii_EXT12c	0	42	866	100	849	693	724	779	813	660
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	8	800	46	778	556	590	651	715	492
