	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	28	762	36	734	447	503	597	669	349
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	77	858	115	841	679	715	762	796	653
GCA_000011105@Pyrococcus_horikoshii_OT3	0	20	755	28	732	445	502	592	661	359
GCA_000018365@Thermococcus_onnurineus_NA1	0	49	772	108	759	610	655	696	719	590
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	67	803	136	785	604	636	692	725	591
GCA_000022545@Thermococcus_sibiricus_MM_739	0	14	737	41	719	434	472	585	649	300
GCA_000151105@Thermococcus_barophilus_MP	0	33	786	51	765	507	575	647	712	437
GCA_000151205@Thermococcus_sp_AM4	0	78	831	156	813	662	695	733	774	646
GCA_000195935@Pyrococcus_abyssi_GE5	0	25	774	36	752	507	549	619	690	420
GCA_000211475@Pyrococcus_sp_NA2	0	26	778	40	751	489	532	628	695	391
GCA_000215995@Pyrococcus_yayanosii_CH1	0	29	777	46	751	521	570	633	689	469
GCA_000221185@Thermococcus_sp_4557	0	63	801	119	782	617	633	690	721	589
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	24	806	41	789	524	574	667	732	457
GCA_000258515@Thermococcus_zilligii_AN1	0	50	775	71	754	580	603	659	694	549
GCA_000263735@Pyrococcus_sp_ST04	0	29	768	41	741	458	529	607	682	388
GCA_000265525@Thermococcus_cleftensis_CL1	0	68	816	131	792	623	645	695	735	605
GCA_000275605@Pyrococcus_furiosus_COM1	0	30	765	36	737	446	503	600	674	346
GCA_000517445@Thermococcus_paralvinellae_ES1	0	29	751	46	734	491	541	630	682	403
GCA_000585495@Thermococcus_nautili_30_1	0	103	881	304	867	802	806	823	839	792
GCA_000725425@Palaeococcus_pacificus_DY20341	0	23	755	39	734	490	536	625	680	400
GCA_000769655@Thermococcus_eurythermalis_A501	0	86	855	206	843	722	742	771	807	722
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	56	787	142	767	600	630	682	716	581
GCA_001433455@Thermococcus_barophilus_CH5	0	43	834	57	818	533	585	688	750	458
GCA_001484685@Thermococcus_sp_2319x1	0	19	764	39	745	503	558	634	691	430
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	25	781	47	751	494	544	630	686	427
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	66	817	115	798	645	684	718	756	619
GCA_001647085@Thermococcus_piezophilus_CDGS	0	42	780	94	758	584	616	672	709	562
GCA_002197185@Thermococcus_sp_5_4	0	43	773	106	756	624	643	680	719	603
GCA_002214365@Thermococcus_celer_Vu_13	0	40	780	96	761	602	622	674	714	574
GCA_002214385@Thermococcus_gorgonarius_W_12	0	49	749	93	729	572	601	647	683	544
GCA_002214465@Thermococcus_barossii_SHCK_94	0	45	801	113	785	626	645	699	737	600
GCA_002214485@Thermococcus_pacificus_P4	0	48	762	115	744	597	630	678	697	588
GCA_002214505@Thermococcus_siculi_RG_20	0	62	815	106	796	618	646	702	733	600
GCA_002214525@Thermococcus_sp_P6	0	30	705	63	693	542	555	605	646	506
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	66	822	124	802	618	648	705	751	591
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	40	774	105	761	611	627	674	709	591
GCA_002214585@Thermococcus_profundus_DT_5432	0	48	805	93	788	616	650	710	738	586
GCA_002214605@Thermococcus_chitonophagus	0	26	789	44	767	508	568	643	705	442
GCA_006274605@Thermococcus_indicus_IOH1	0	78	848	129	836	681	704	761	791	657
GCA_008152015@Thermococcus_aciditolerans_SY113	0	67	835	135	818	656	683	739	773	635
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	30	765	36	736	450	503	602	672	348
GCA_020386975@Thermococcus_bergensis_T7324	0	18	757	42	738	509	549	628	689	415
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	17	747	43	731	421	469	583	656	289
GCA_024022995@Thermococcus_aggregans_TY	0	18	762	44	748	515	556	642	692	427
GCA_024707485@Thermococcus_sp_813A4	0	61	824	126	806	637	659	726	762	604
GCA_028471785@Thermococcus_kodakarensis_TS900	0	77	857	115	840	678	716	765	798	653
GCA_028471865@Thermococcus_kodakarensis_TS901	0	77	857	115	840	676	716	766	798	654
GCA_035621495@Thermococcus_sp_SY098	0	34	806	48	788	525	582	667	731	433
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	26	790	44	769	504	567	642	706	447
GCA_900198835@Thermococcus_henrietii_EXT12c	1	155	959	407	954	922	927	932	939	921
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	20	773	39	755	505	558	632	696	434
GCA_904067545@Thermococcus_camini_IRI35c	0	73	815	126	800	634	658	705	744	610
Palaeococcus_helgesoni_DSM_15127	0	23	759	36	733	463	508	602	659	384
Pyrococcus_31_3	0	29	804	41	782	520	578	653	707	452
Pyrococcus_32_1	0	29	804	41	782	520	577	652	707	454
Pyrococcus_abyssi_GE2	0	30	776	35	751	501	540	619	686	414
Pyrococcus_endeavori_ES4	0	28	766	42	740	460	519	599	672	382
Pyrococcus_EXT16	0	28	808	46	789	534	583	660	720	463
Pyrococcus_sp_32_3	0	29	804	41	782	524	576	652	709	454
Pyrococcus_sp_32_4	0	29	804	41	782	520	578	650	709	452
Pyrococcus_sp_EXT_15c	0	26	778	38	758	505	548	642	700	428
Pyrococcus_sp_GE_23	0	24	758	32	735	486	532	605	676	408
