	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	2	851	65	834	658	679	721	781	540
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	9	853	68	827	626	645	725	780	545
GCA_000011105@Pyrococcus_horikoshii_OT3	0	3	801	47	777	580	624	663	724	470
GCA_000018365@Thermococcus_onnurineus_NA1	0	4	829	59	807	619	657	715	749	551
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	5	812	53	794	553	596	664	724	486
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	879	205	868	804	806	821	833	772
GCA_000151105@Thermococcus_barophilus_MP	0	13	905	104	892	765	788	821	857	698
GCA_000151205@Thermococcus_sp_AM4	0	6	818	55	798	550	603	674	732	488
GCA_000195935@Pyrococcus_abyssi_GE5	0	7	815	47	793	590	613	670	740	501
GCA_000211475@Pyrococcus_sp_NA2	0	2	820	52	800	597	629	675	745	489
GCA_000215995@Pyrococcus_yayanosii_CH1	0	4	810	56	785	579	599	671	733	476
GCA_000221185@Thermococcus_sp_4557	0	8	855	62	838	610	652	719	772	538
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	19	936	360	927	891	894	900	905	882
GCA_000258515@Thermococcus_zilligii_AN1	0	7	798	54	773	563	591	668	727	481
GCA_000263735@Pyrococcus_sp_ST04	0	4	831	50	808	627	626	691	747	501
GCA_000265525@Thermococcus_cleftensis_CL1	0	9	830	59	807	590	628	690	744	514
GCA_000275605@Pyrococcus_furiosus_COM1	0	2	851	65	834	663	676	724	781	543
GCA_000517445@Thermococcus_paralvinellae_ES1	0	9	879	90	867	749	758	788	826	683
GCA_000585495@Thermococcus_nautili_30_1	0	4	822	58	799	560	620	689	735	497
GCA_000725425@Palaeococcus_pacificus_DY20341	0	7	866	85	855	737	750	779	817	651
GCA_000769655@Thermococcus_eurythermalis_A501	0	6	827	65	806	574	622	698	752	483
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	7	814	59	792	580	616	684	736	492
GCA_001433455@Thermococcus_barophilus_CH5	0	12	904	97	891	760	781	816	848	693
GCA_001484685@Thermococcus_sp_2319x1	0	12	899	318	876	819	830	839	848	816
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	5	822	53	802	611	630	689	748	500
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	10	841	63	821	622	651	720	772	540
GCA_001647085@Thermococcus_piezophilus_CDGS	0	4	819	63	788	597	638	701	737	544
GCA_002197185@Thermococcus_sp_5_4	0	6	865	60	852	641	691	762	805	568
GCA_002214365@Thermococcus_celer_Vu_13	0	4	849	65	832	626	660	738	782	528
GCA_002214385@Thermococcus_gorgonarius_W_12	0	7	803	53	783	595	612	690	736	511
GCA_002214465@Thermococcus_barossii_SHCK_94	0	8	869	64	849	633	681	746	796	557
GCA_002214485@Thermococcus_pacificus_P4	0	7	834	62	814	609	647	723	772	523
GCA_002214505@Thermococcus_siculi_RG_20	0	11	847	60	825	606	658	724	766	533
GCA_002214525@Thermococcus_sp_P6	0	2	785	62	763	567	600	668	708	502
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	7	876	70	862	665	709	769	815	569
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	6	868	61	854	650	691	763	808	564
GCA_002214585@Thermococcus_profundus_DT_5432	0	6	816	57	797	582	613	693	743	506
GCA_002214605@Thermococcus_chitonophagus	0	4	826	46	801	595	620	682	742	489
GCA_006274605@Thermococcus_indicus_IOH1	0	7	863	71	835	610	649	727	774	528
GCA_008152015@Thermococcus_aciditolerans_SY113	0	7	869	66	855	625	675	750	797	551
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	2	850	63	832	657	672	720	777	538
GCA_020386975@Thermococcus_bergensis_T7324	0	9	886	279	869	800	804	821	841	793
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	9	908	202	897	837	838	857	872	794
GCA_024022995@Thermococcus_aggregans_TY	0	10	865	241	848	772	774	793	812	762
GCA_024707485@Thermococcus_sp_813A4	0	5	878	67	868	669	702	772	821	583
GCA_028471785@Thermococcus_kodakarensis_TS900	0	9	852	68	826	624	644	724	780	547
GCA_028471865@Thermococcus_kodakarensis_TS901	0	9	852	68	826	622	644	726	781	548
GCA_035621495@Thermococcus_sp_SY098	0	11	896	100	883	759	779	815	849	693
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	4	826	46	801	594	623	682	740	489
GCA_900198835@Thermococcus_henrietii_EXT12c	0	2	813	52	797	545	598	683	740	476
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	12	904	320	885	826	834	844	853	818
GCA_904067545@Thermococcus_camini_IRI35c	0	6	853	66	832	629	670	739	780	549
Palaeococcus_helgesoni_DSM_15127	0	6	877	85	862	731	759	798	817	652
Pyrococcus_31_3	0	4	839	49	817	617	645	696	762	510
Pyrococcus_32_1	0	4	839	49	816	617	645	696	761	509
Pyrococcus_abyssi_GE2	0	6	812	48	789	593	607	667	733	490
Pyrococcus_endeavori_ES4	0	3	823	45	803	625	626	686	745	494
Pyrococcus_EXT16	0	4	838	50	817	618	643	697	760	509
Pyrococcus_sp_32_3	0	4	839	49	817	617	645	695	761	508
Pyrococcus_sp_32_4	0	4	839	49	817	616	647	694	763	511
Pyrococcus_sp_EXT_15c	0	5	820	49	799	618	626	679	743	505
Pyrococcus_sp_GE_23	0	5	806	44	785	583	611	670	729	483
Pyrococcus_sp_IRI_42C	0	5	813	57	791	603	618	671	737	469
Thermococcus_15_2	0	6	848	51	827	595	655	724	774	523
Thermococcus_23_2	0	6	864	59	851	638	689	762	801	565
Thermococcus_29_3	0	4	813	61	793	550	610	686	728	491
Thermococcus_31_3	0	7	863	69	850	657	699	760	800	568
Thermococcus_aegaeus_DSM_12767	0	15	933	331	923	885	888	895	905	881
Thermococcus_aggregans_DSM_12819	0	9	865	241	848	773	775	796	814	764
Thermococcus_alcaliphilus_DSM_10322	2	50	1000	471	1000	1000	1000	1000	1000	1000
Thermococcus_AMTc11	0	8	893	69	877	659	700	772	823	567
Thermococcus_AMTc30	0	3	818	52	800	548	603	685	733	490
Thermococcus_AMTc51	0	4	817	52	800	571	612	689	744	491
Thermococcus_AMTc85	0	2	813	51	795	548	598	676	735	486
Thermococcus_atlanticus_DSM_15226	0	6	878	71	864	706	747	788	823	634
Thermococcus_barophilus_423_3_23	0	8	904	108	889	762	793	822	855	704
Thermococcus_barophilus_CH1	0	9	902	109	892	762	782	818	855	694
Thermococcus_barophilus_DT4	0	12	873	93	858	733	755	787	818	675
Thermococcus_coalescens_TS1	0	10	884	73	871	670	710	789	830	588
Thermococcus_E15P35	0	4	818	57	793	552	606	686	733	493
Thermococcus_EXT11c	0	2	812	50	792	545	600	678	730	481
Thermococcus_fumicolans_ST557	0	9	830	54	803	574	606	687	752	481
