	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	0	814	35	774	504	540	625	707	367
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	0	874	101	850	689	721	762	799	668
GCA_000011105@Pyrococcus_horikoshii_OT3	0	0	801	32	765	481	528	620	685	370
GCA_000018365@Thermococcus_onnurineus_NA1	0	0	880	158	856	737	761	790	813	711
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	0	868	91	838	672	703	757	782	642
GCA_000022545@Thermococcus_sibiricus_MM_739	0	0	805	42	775	495	556	648	725	382
GCA_000151105@Thermococcus_barophilus_MP	0	0	870	51	847	595	634	732	784	476
GCA_000151205@Thermococcus_sp_AM4	0	0	881	98	855	697	729	775	808	672
GCA_000195935@Pyrococcus_abyssi_GE5	0	0	799	35	763	510	567	635	693	424
GCA_000211475@Pyrococcus_sp_NA2	0	0	808	34	770	482	534	626	699	390
GCA_000215995@Pyrococcus_yayanosii_CH1	0	0	824	45	779	579	615	683	724	516
GCA_000221185@Thermococcus_sp_4557	0	0	912	252	898	822	836	850	872	811
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	0	840	53	808	594	640	708	754	502
GCA_000258515@Thermococcus_zilligii_AN1	0	0	841	98	803	654	675	723	752	609
GCA_000263735@Pyrococcus_sp_ST04	0	0	811	41	775	500	543	630	702	405
GCA_000265525@Thermococcus_cleftensis_CL1	1	0	1000	496	1000	1000	1000	1000	1000	1000
GCA_000275605@Pyrococcus_furiosus_COM1	0	0	814	35	773	509	545	626	708	367
GCA_000517445@Thermococcus_paralvinellae_ES1	0	0	848	48	818	567	617	711	758	447
GCA_000585495@Thermococcus_nautili_30_1	1	0	898	137	871	738	759	796	829	714
GCA_000725425@Palaeococcus_pacificus_DY20341	0	0	844	52	810	576	624	707	751	482
GCA_000769655@Thermococcus_eurythermalis_A501	0	0	880	132	853	721	735	779	808	696
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	0	853	99	819	677	696	748	769	651
GCA_001433455@Thermococcus_barophilus_CH5	0	0	879	53	853	608	643	741	795	490
GCA_001484685@Thermococcus_sp_2319x1	0	0	823	48	789	580	610	689	732	487
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	0	833	36	794	541	583	651	723	456
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	0	864	102	830	690	716	751	785	658
GCA_001647085@Thermococcus_piezophilus_CDGS	0	0	889	139	837	715	745	779	804	697
GCA_002197185@Thermococcus_sp_5_4	0	0	882	207	855	778	793	808	829	766
GCA_002214365@Thermococcus_celer_Vu_13	0	0	863	158	836	740	762	783	805	728
GCA_002214385@Thermococcus_gorgonarius_W_12	0	0	825	97	787	641	664	710	746	607
GCA_002214465@Thermococcus_barossii_SHCK_94	0	0	902	226	882	805	822	838	856	790
GCA_002214485@Thermococcus_pacificus_P4	0	0	852	183	828	736	752	779	798	716
GCA_002214505@Thermococcus_siculi_RG_20	0	0	900	203	879	792	805	835	851	785
GCA_002214525@Thermococcus_sp_P6	0	0	793	104	767	661	676	701	726	635
GCA_002214545@Thermococcus_thioreducens_OGL_20P	1	0	910	210	891	795	822	838	864	768
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	0	885	203	863	776	785	806	828	750
GCA_002214585@Thermococcus_profundus_DT_5432	0	0	860	98	830	679	709	752	785	658
GCA_002214605@Thermococcus_chitonophagus	0	0	825	34	786	541	575	646	716	442
GCA_006274605@Thermococcus_indicus_IOH1	0	0	912	228	891	805	824	839	861	792
GCA_008152015@Thermococcus_aciditolerans_SY113	0	0	915	240	893	816	824	842	858	795
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	0	814	33	775	509	544	628	707	369
GCA_020386975@Thermococcus_bergensis_T7324	0	0	829	48	800	577	619	695	744	479
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	0	829	45	793	509	561	685	737	373
GCA_024022995@Thermococcus_aggregans_TY	0	0	827	49	792	584	613	690	740	474
GCA_024707485@Thermococcus_sp_813A4	1	0	920	209	901	797	823	852	876	775
GCA_028471785@Thermococcus_kodakarensis_TS900	0	0	874	101	850	689	719	762	798	668
GCA_028471865@Thermococcus_kodakarensis_TS901	0	0	873	101	850	688	718	760	801	669
GCA_035621495@Thermococcus_sp_SY098	0	0	868	54	839	599	642	725	776	487
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	0	827	34	790	540	581	649	717	443
GCA_900198835@Thermococcus_henrietii_EXT12c	0	0	884	128	858	719	740	781	810	690
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	0	832	47	799	591	623	704	746	494
GCA_904067545@Thermococcus_camini_IRI35c	0	0	923	244	905	845	850	867	885	830
Palaeococcus_helgesoni_DSM_15127	0	0	838	44	805	567	604	693	742	484
Pyrococcus_31_3	0	0	830	36	789	540	587	656	715	456
Pyrococcus_32_1	0	0	830	36	791	538	588	656	717	454
Pyrococcus_abyssi_GE2	0	0	804	33	764	519	572	642	691	439
Pyrococcus_endeavori_ES4	0	0	813	38	772	493	537	623	701	398
Pyrococcus_EXT16	0	0	825	33	779	532	581	651	714	443
Pyrococcus_sp_32_3	0	0	830	36	790	544	588	656	719	452
Pyrococcus_sp_32_4	0	0	829	36	789	541	588	655	717	453
Pyrococcus_sp_EXT_15c	0	0	811	39	780	533	580	649	723	435
Pyrococcus_sp_GE_23	0	0	799	35	760	523	562	646	685	436
Pyrococcus_sp_IRI_42C	0	0	815	37	770	475	520	620	700	367
Thermococcus_15_2	0	0	877	135	853	734	753	795	817	712
Thermococcus_23_2	0	0	882	205	853	776	794	809	828	764
Thermococcus_29_3	1	0	875	127	847	720	742	778	807	694
Thermococcus_31_3	0	0	904	206	886	786	805	835	854	767
Thermococcus_aegaeus_DSM_12767	0	0	833	48	806	588	623	699	749	457
Thermococcus_aggregans_DSM_12819	0	0	827	49	791	581	614	690	740	471
Thermococcus_alcaliphilus_DSM_10322	0	0	835	47	811	589	640	712	756	487
Thermococcus_AMTc11	0	0	922	199	898	802	812	849	870	776
Thermococcus_AMTc30	1	0	881	129	855	719	743	783	810	694
Thermococcus_AMTc51	0	0	867	125	849	718	737	778	802	700
Thermococcus_AMTc85	1	0	877	129	853	725	743	782	808	692
Thermococcus_atlanticus_DSM_15226	0	0	888	89	855	683	727	776	811	622
Thermococcus_barophilus_423_3_23	0	0	861	53	838	593	630	721	776	476
Thermococcus_barophilus_CH1	0	0	864	53	841	599	632	735	782	482
Thermococcus_barophilus_DT4	0	0	860	62	833	576	610	726	772	468
Thermococcus_coalescens_TS1	0	0	912	197	896	798	818	846	864	770
Thermococcus_E15P35	1	0	884	130	856	723	747	778	814	695
Thermococcus_EXT11c	1	0	891	124	857	732	741	786	816	695
Thermococcus_fumicolans_ST557	0	0	870	115	835	701	734	758	793	664
Thermococcus_IRI_06c	1	0	953	328	937	889	893	907	915	883
Thermococcus_IRI15c	0	0	932	245	917	849	856	869	894	839
Thermococcus_marinus_DSM_15227	0	0	869	126	845	707	727	766	797	683
Thermococcus_prieuri_Col3	0	0	888	138	861	731	754	788	820	707
Thermococcus_profundus_DSM_9503	0	0	858	97	826	675	711	751	783	654
Thermococcus_sp_23_4	0	0	882	205	855	780	795	811	827	763
Thermococcus_sp_26_2	0	0	850	127	825	698	717	747	778	676
Thermococcus_sp_33_3	1	0	901	135	874	736	755	791	825	709
Thermococcus_sp_9_3	1	0	901	139	874	724	755	791	826	707
Thermococcus_sp_AMTc09	0	0	853	133	830	700	714	752	779	676
Thermococcus_sp_AMTc102	0	0	852	128	826	696	711	748	776	670
Thermococcus_sp_AMTc71	0	0	882	229	858	777	791	814	828	759
Thermococcus_sp_AMTc72	0	0	882	229	859	777	791	811	828	759
Thermococcus_sp_AMTc79	1	0	888	131	863	721	743	777	811	692
Thermococcus_sp_AMTc94	1	0	887	127	860	725	749	784	815	702
Thermococcus_sp_CIR_03a	0	0	898	201	874	781	797	830	844	763
Thermococcus_sp_CIR_10a	0	0	862	53	832	597	634	727	777	466
Thermococcus_sp_DS1	1	0	931	204	909	801	829	856	884	781
Thermococcus_sp_E10P11	1	0	879	129	850	711	737	770	807	690
Thermococcus_sp_E10P8	1	0	879	129	850	707	735	771	807	688
Thermococcus_sp_E15p33	1	0	885	130	859	723	746	779	815	694
Thermococcus_sp_EXT09c	1	0	878	131	856	722	737	782	809	702
Thermococcus_sp_IRI_05c	1	0	922	214	900	806	827	851	872	779
Thermococcus_sp_IRI10c	0	0	931	242	916	849	856	870	893	840
Thermococcus_sp_IRI14c	0	0	932	246	917	849	856	870	894	839
Thermococcus_sp_IRI24c	0	0	929	247	911	856	863	875	894	842
Thermococcus_sp_IRI25c	0	0	933	245	918	850	859	872	895	841
Thermococcus_sp_IRI27c2	0	0	928	247	911	854	862	875	893	840
Thermococcus_sp_IRI29c	0	0	928	247	910	855	862	875	892	840
Thermococcus_sp_IRI_33c	1	0	934	208	912	808	833	859	887	786
Thermococcus_sp_TPV	0	0	879	128	858	717	732	777	806	685
Thermococcus_sp_unknown	1	0	882	129	860	714	735	786	819	687
Thermococcus_stetteri_DSM_5262	0	0	870	105	836	689	715	756	794	658
Thermococcus_waiotapuensis_WT1	0	0	837	96	794	651	667	713	747	605
