	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	11	770	50	732	531	549	597	656	444
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	49	831	65	786	527	568	636	700	454
GCA_000011105@Pyrococcus_horikoshii_OT3	0	29	781	47	731	504	532	582	662	416
GCA_000018365@Thermococcus_onnurineus_NA1	0	28	787	75	728	553	576	625	667	489
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	35	808	55	762	488	532	610	675	427
GCA_000022545@Thermococcus_sibiricus_MM_739	0	25	794	76	741	591	596	631	676	536
GCA_000151105@Thermococcus_barophilus_MP	1	82	888	444	856	780	780	797	820	766
GCA_000151205@Thermococcus_sp_AM4	0	37	799	56	748	491	527	608	673	406
GCA_000195935@Pyrococcus_abyssi_GE5	0	20	780	51	736	496	525	604	669	409
GCA_000211475@Pyrococcus_sp_NA2	0	24	812	57	766	555	595	639	704	452
GCA_000215995@Pyrococcus_yayanosii_CH1	0	33	783	64	746	525	556	626	678	457
GCA_000221185@Thermococcus_sp_4557	0	32	806	73	762	520	556	626	686	445
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	44	856	100	816	672	677	718	755	609
GCA_000258515@Thermococcus_zilligii_AN1	0	30	774	49	716	465	505	570	647	412
GCA_000263735@Pyrococcus_sp_ST04	0	17	758	53	722	518	539	589	653	424
GCA_000265525@Thermococcus_cleftensis_CL1	0	40	793	60	744	494	535	610	661	423
GCA_000275605@Pyrococcus_furiosus_COM1	0	12	770	50	731	533	546	595	657	444
GCA_000517445@Thermococcus_paralvinellae_ES1	0	50	844	294	808	712	718	735	765	696
GCA_000585495@Thermococcus_nautili_30_1	0	41	810	63	756	496	540	622	688	428
GCA_000725425@Palaeococcus_pacificus_DY20341	0	32	796	86	758	614	620	655	702	561
GCA_000769655@Thermococcus_eurythermalis_A501	0	35	804	67	753	492	530	611	678	428
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	45	794	70	745	487	531	599	661	429
GCA_001433455@Thermococcus_barophilus_CH5	3	202	1000	652	1000	1000	1000	1000	1000	1000
GCA_001484685@Thermococcus_sp_2319x1	0	29	794	93	744	593	606	637	677	552
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	32	811	51	767	545	563	629	696	441
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	30	807	58	756	525	567	610	674	461
GCA_001647085@Thermococcus_piezophilus_CDGS	0	30	796	74	725	522	548	620	657	464
GCA_002197185@Thermococcus_sp_5_4	0	30	802	70	751	523	561	639	687	454
GCA_002214365@Thermococcus_celer_Vu_13	0	23	776	67	725	476	514	590	654	408
GCA_002214385@Thermococcus_gorgonarius_W_12	0	30	764	52	705	473	503	560	622	420
GCA_002214465@Thermococcus_barossii_SHCK_94	0	39	797	62	759	533	560	624	695	457
GCA_002214485@Thermococcus_pacificus_P4	0	26	756	62	703	497	525	589	642	440
GCA_002214505@Thermococcus_siculi_RG_20	0	38	801	66	748	505	545	606	672	430
GCA_002214525@Thermococcus_sp_P6	0	15	710	54	667	433	473	528	587	369
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	50	839	91	798	566	608	663	722	499
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	26	807	63	761	512	553	631	697	449
GCA_002214585@Thermococcus_profundus_DT_5432	0	29	791	54	735	477	507	590	660	410
GCA_002214605@Thermococcus_chitonophagus	0	25	818	54	761	539	570	622	696	454
GCA_006274605@Thermococcus_indicus_IOH1	0	40	828	73	783	540	571	653	718	471
GCA_008152015@Thermococcus_aciditolerans_SY113	0	49	848	90	799	560	589	669	726	487
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	12	769	50	732	532	547	597	655	446
GCA_020386975@Thermococcus_bergensis_T7324	0	18	788	93	740	587	603	632	680	553
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	26	825	84	779	635	637	677	723	571
GCA_024022995@Thermococcus_aggregans_TY	0	25	792	85	753	603	620	646	691	553
GCA_024707485@Thermococcus_sp_813A4	0	45	841	86	803	585	621	685	746	508
GCA_028471785@Thermococcus_kodakarensis_TS900	0	49	831	65	786	526	568	636	700	453
GCA_028471865@Thermococcus_kodakarensis_TS901	0	50	830	65	784	524	569	636	697	455
GCA_035621495@Thermococcus_sp_SY098	2	107	905	392	871	778	787	797	829	769
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	25	818	54	761	543	569	621	697	449
GCA_900198835@Thermococcus_henrietii_EXT12c	0	39	824	68	776	513	555	655	707	433
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	28	809	94	762	611	622	650	697	568
GCA_904067545@Thermococcus_camini_IRI35c	0	30	795	77	750	519	559	618	685	455
Palaeococcus_helgesoni_DSM_15127	0	27	806	79	758	588	609	642	696	521
Pyrococcus_31_3	0	21	813	46	761	542	567	619	690	451
Pyrococcus_32_1	0	21	813	46	763	541	563	620	688	453
Pyrococcus_abyssi_GE2	0	25	797	49	750	507	525	607	678	413
Pyrococcus_endeavori_ES4	0	17	758	52	722	515	534	583	651	420
Pyrococcus_EXT16	0	21	811	54	765	546	575	630	701	451
Pyrococcus_sp_32_3	0	21	813	46	764	540	565	620	688	453
Pyrococcus_sp_32_4	0	21	814	46	765	539	570	621	689	450
Pyrococcus_sp_EXT_15c	0	27	785	55	743	527	565	612	677	442
Pyrococcus_sp_GE_23	0	25	797	56	755	518	549	614	687	427
Pyrococcus_sp_IRI_42C	0	20	792	60	750	521	556	604	674	446
Thermococcus_15_2	0	38	791	54	738	500	526	601	666	423
Thermococcus_23_2	0	30	802	68	750	522	562	640	687	450
Thermococcus_29_3	0	37	812	61	759	490	539	626	690	425
Thermococcus_31_3	0	37	813	72	771	526	573	629	698	456
Thermococcus_aegaeus_DSM_12767	0	24	811	93	766	613	630	651	707	564
Thermococcus_aggregans_DSM_12819	0	25	792	85	754	605	617	645	693	553
Thermococcus_alcaliphilus_DSM_10322	0	27	808	98	775	635	638	667	717	587
Thermococcus_AMTc11	0	56	873	86	839	601	627	705	761	510
Thermococcus_AMTc30	0	35	799	59	744	492	528	615	680	418
Thermococcus_AMTc51	0	35	809	61	753	501	548	618	687	426
Thermococcus_AMTc85	0	45	805	57	745	487	534	615	685	412
Thermococcus_atlanticus_DSM_15226	0	55	873	110	840	644	678	717	780	595
Thermococcus_barophilus_423_3_23	0	68	875	378	836	766	767	782	810	754
Thermococcus_barophilus_CH1	2	105	923	444	897	822	829	846	866	812
Thermococcus_barophilus_DT4	0	74	868	294	832	726	732	750	786	708
Thermococcus_coalescens_TS1	0	34	827	77	792	554	595	658	721	487
Thermococcus_E15P35	0	43	811	62	757	492	535	626	686	427
Thermococcus_EXT11c	0	38	802	56	745	483	520	611	677	406
Thermococcus_fumicolans_ST557	0	45	822	72	774	493	534	623	696	431
Thermococcus_IRI_06c	0	42	809	86	764	519	558	632	699	451
Thermococcus_IRI15c	0	38	810	76	766	526	570	620	691	464
Thermococcus_marinus_DSM_15227	0	37	819	65	768	496	549	625	695	427
Thermococcus_prieuri_Col3	0	43	804	57	753	501	537	609	673	429
Thermococcus_profundus_DSM_9503	0	29	788	54	732	476	507	588	657	411
Thermococcus_sp_23_4	0	30	802	69	748	522	563	637	685	450
Thermococcus_sp_26_2	0	33	802	64	750	478	519	601	674	414
Thermococcus_sp_33_3	0	43	816	65	757	498	543	626	693	432
Thermococcus_sp_9_3	0	43	818	66	765	498	550	633	695	440
Thermococcus_sp_AMTc09	0	37	793	63	744	469	514	590	666	411
Thermococcus_sp_AMTc102	0	29	795	69	751	485	529	593	669	418
Thermococcus_sp_AMTc71	0	30	804	76	752	502	525	624	678	427
Thermococcus_sp_AMTc72	0	30	804	76	753	504	527	624	676	426
Thermococcus_sp_AMTc79	0	37	817	61	765	489	546	621	690	424
Thermococcus_sp_AMTc94	0	33	808	61	753	490	539	615	682	420
Thermococcus_sp_CIR_03a	0	49	861	77	822	574	623	689	752	501
Thermococcus_sp_CIR_10a	0	90	907	389	881	806	809	829	851	789
