	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	17	800	11	774	527	565	627	702	420
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	73	898	18	885	812	824	834	855	811
GCA_000011105@Pyrococcus_horikoshii_OT3	0	11	792	12	767	528	571	643	716	426
GCA_000018365@Thermococcus_onnurineus_NA1	0	36	834	21	821	669	698	734	770	632
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	50	855	20	837	659	700	747	782	646
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	800	9	779	541	576	660	718	427
GCA_000151105@Thermococcus_barophilus_MP	0	22	848	14	829	611	653	724	780	527
GCA_000151205@Thermococcus_sp_AM4	0	56	869	19	858	682	726	761	802	658
GCA_000195935@Pyrococcus_abyssi_GE5	0	21	795	10	770	532	584	656	711	460
GCA_000211475@Pyrococcus_sp_NA2	0	12	803	9	778	539	581	644	729	443
GCA_000215995@Pyrococcus_yayanosii_CH1	0	19	817	16	792	575	607	678	733	523
GCA_000221185@Thermococcus_sp_4557	0	47	855	23	840	684	703	755	787	654
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	15	850	13	825	610	652	723	783	532
GCA_000258515@Thermococcus_zilligii_AN1	0	33	839	20	820	653	681	724	766	634
GCA_000263735@Pyrococcus_sp_ST04	0	18	790	9	762	523	571	638	707	430
GCA_000265525@Thermococcus_cleftensis_CL1	0	47	845	14	833	683	699	742	776	653
GCA_000275605@Pyrococcus_furiosus_COM1	0	18	799	12	774	526	560	623	701	423
GCA_000517445@Thermococcus_paralvinellae_ES1	0	20	818	14	795	580	618	682	745	490
GCA_000585495@Thermococcus_nautili_30_1	0	58	877	24	862	706	736	782	816	692
GCA_000725425@Palaeococcus_pacificus_DY20341	0	11	846	13	817	592	625	704	769	502
GCA_000769655@Thermococcus_eurythermalis_A501	0	58	873	21	859	709	732	789	814	685
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	39	831	20	816	657	690	725	769	625
GCA_001433455@Thermococcus_barophilus_CH5	0	25	873	9	852	623	666	739	797	533
