denovo	total_genes	low_qcov_genes	low_qcov_percentage
AAAKJNHH_00460_gene_mRNA	1	0	0
ACBJCPJC_01068_gene_mRNA	2	2	100
ACBJCPJC_02229_gene_mRNA	2	2	100
ADNHAJGI_00145_gene_mRNA	2	2	100
ADNHAJGI_00301_gene_mRNA	2	2	100
ADNHAJGI_00554_gene_mRNA	3	3	100
ADNHAJGI_01280_gene_mRNA	2	0	0
ADNHAJGI_01629_gene_mRNA	2	0	0
ADNHAJGI_02026_gene_mRNA	2	1	50
AFABOCMA_00991_gene_mRNA	18	18	100
AFABOCMA_01508_gene_mRNA	5	3	60
AFABOCMA_02009_gene_mRNA	1	1	100
AJGPKGBP_00419_gene_mRNA	1	1	100
AJGPKGBP_00434_gene_mRNA	4	4	100
AMHJKFND_00757_gene_mRNA	1	1	100
ANCILGIH_00499_gene_mRNA	3	3	100
ANCILGIH_00752_gene_mRNA	2	2	100
ANCILGIH_00907_gene_mRNA	2	2	100
ANCILGIH_00951_gene_mRNA	1	0	0
ANCILGIH_01271_gene_mRNA	2	1	50
ANCILGIH_01668_gene_mRNA	2	0	0
BCEBDJIJ_00756_gene_mRNA	1	0	0
BCEBDJIJ_00768_gene_mRNA	22	15	68.1818181818182
BEODAGIL_00145_gene_mRNA	1	0	0
BEODAGIL_00388_gene_mRNA	1	0	0
BEODAGIL_01262_gene_mRNA	9	9	100
BFHCEGCA_00089_gene_mRNA	1	0	0
BFHCEGCA_00679_gene_mRNA	2	0	0
BICEADNH_01532_gene_mRNA	1	0	0
CJOMCJEF_01588_gene_mRNA	1	0	0
CJOMCJEF_02177_gene_mRNA	8	8	100
CNPDMPNG_00739_gene_mRNA	21	20	95.2380952380952
DBJFJDPB_00921_gene_mRNA	13	13	100
DBJFJDPB_01482_gene_mRNA	1	1	100
DBJFJDPB_01532_gene_mRNA	1	0	0
DHDBELCC_01569_gene_mRNA	3	0	0
DIIPPFNO_01130_gene_mRNA	1	1	100
DKCGPBOD_00839_gene_mRNA	1	1	100
DKLHHBAG_02012_gene_mRNA	2	2	100
DLHNAOEN_01913_gene_mRNA	1	1	100
DOACLEJL_00969_gene_mRNA	2	0	0
DOACLEJL_02110_gene_mRNA	32	29	90.625
EDCHFHLE_00518_gene_mRNA	2	0	0
EDCHFHLE_00867_gene_mRNA	2	0	0
EDCHFHLE_01264_gene_mRNA	2	1	50
EDCHFHLE_01627_gene_mRNA	2	2	100
EDCHFHLE_01783_gene_mRNA	2	2	100
EDCHFHLE_02036_gene_mRNA	3	3	100
EDEBIHJP_00546_gene_mRNA	1	0	0
EDEBIHJP_00574_gene_mRNA	22	15	68.1818181818182
EEHIGLKK_00126_gene_mRNA	2	0	0
EEHIGLKK_01721_gene_mRNA	8	8	100
EFDKJKPG_00294_gene_mRNA	1	1	100
EFDKJKPG_01864_gene_mRNA	8	8	100
EFDKJKPG_02040_gene_mRNA	1	1	100
EGODEMLK_00126_gene_mRNA	2	2	100
EGODEMLK_01263_gene_mRNA	1	0	0
EGODEMLK_01335_gene_mRNA	2	0	0
EGODEMLK_01592_gene_mRNA	8	8	100
FCCLJDJA_00457_gene_mRNA	1	0	0
FDFCGALF_00036_gene_mRNA	1	1	100
FDFCGALF_00842_gene_mRNA	1	0	0
FDFCGALF_00977_gene_mRNA	3	3	100
FDFCGALF_01644_gene_mRNA	1	1	100
FDFCGALF_01917_gene_mRNA	1	1	100
FDFCGALF_02150_gene_mRNA	1	1	100
FKEJDOMN_00259_gene_mRNA	1	0	0
FOFBPMIL_00102_gene_mRNA	2	0	0
FOFBPMIL_01481_gene_mRNA	1	0	0
FOFBPMIL_01636_gene_mRNA	2	0	0
FOFBPMIL_01738_gene_mRNA	4	0	0
FOMOJKPC_00710_gene_mRNA	1	1	100
GCEEKKGH_00611_gene_mRNA	1	1	100
GDFJICBN_01038_gene_mRNA	7	7	100
GDFJICBN_01274_gene_mRNA	3	0	0
GDFJICBN_01612_gene_mRNA	7	0	0
GFJMONNO_00169_gene_mRNA	1	1	100
GFJMONNO_00541_gene_mRNA	12	11	91.6666666666667
GFJMONNO_02308_gene_mRNA	1	0	0
GHGJAMGE_00458_gene_mRNA	1	0	0
GHGJAMGE_01361_gene_mRNA	4	0	0
GHGJAMGE_02025_gene_mRNA	1	1	100
GHGJAMGE_02380_gene_mRNA	1	1	100
GKAADPKM_02166_gene_mRNA	8	8	100
GMIOLJND_00985_gene_mRNA	1	1	100
