	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	2	119	1000	478	1000	1000	1000	1000	1000	1000
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	23	859	47	827	592	636	700	768	466
GCA_000011105@Pyrococcus_horikoshii_OT3	0	28	841	107	803	697	709	736	763	637
GCA_000018365@Thermococcus_onnurineus_NA1	0	15	803	49	768	526	565	638	702	422
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	29	823	43	791	515	564	644	719	410
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	831	61	790	610	624	671	724	512
GCA_000151105@Thermococcus_barophilus_MP	0	15	846	60	816	635	663	704	766	538
GCA_000151205@Thermococcus_sp_AM4	0	26	818	50	784	501	565	648	722	406
GCA_000195935@Pyrococcus_abyssi_GE5	0	35	856	90	832	703	720	761	796	622
GCA_000211475@Pyrococcus_sp_NA2	0	37	890	101	861	744	754	779	819	672
GCA_000215995@Pyrococcus_yayanosii_CH1	0	32	836	70	800	600	633	699	756	507
GCA_000221185@Thermococcus_sp_4557	0	17	828	46	790	494	533	630	715	372
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	17	890	72	859	693	715	765	819	584
GCA_000258515@Thermococcus_zilligii_AN1	0	15	813	46	779	509	560	630	706	393
GCA_000263735@Pyrococcus_sp_ST04	0	20	860	96	831	719	727	752	788	646
GCA_000265525@Thermococcus_cleftensis_CL1	0	20	811	47	781	496	546	630	719	395
GCA_000275605@Pyrococcus_furiosus_COM1	1	117	998	464	994	994	993	994	994	993
GCA_000517445@Thermococcus_paralvinellae_ES1	0	12	818	55	785	618	632	676	734	516
GCA_000585495@Thermococcus_nautili_30_1	0	16	825	53	789	501	569	649	736	408
GCA_000725425@Palaeococcus_pacificus_DY20341	0	10	818	44	783	587	613	666	723	463
GCA_000769655@Thermococcus_eurythermalis_A501	0	24	850	49	820	540	591	676	758	423
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	21	807	53	775	525	561	636	712	401
GCA_001433455@Thermococcus_barophilus_CH5	0	19	863	58	833	660	680	717	782	547
GCA_001484685@Thermococcus_sp_2319x1	0	19	872	73	829	658	676	728	777	549
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	29	852	91	813	690	706	736	773	616
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	23	831	45	798	544	583	648	723	431
GCA_001647085@Thermococcus_piezophilus_CDGS	0	17	846	58	777	530	560	643	707	410
GCA_002197185@Thermococcus_sp_5_4	0	14	811	49	782	504	557	641	707	386
GCA_002214365@Thermococcus_celer_Vu_13	0	15	841	57	814	500	570	666	745	379
GCA_002214385@Thermococcus_gorgonarius_W_12	0	15	790	47	746	513	544	610	672	402
GCA_002214465@Thermococcus_barossii_SHCK_94	0	16	817	44	788	517	557	643	728	390
GCA_002214485@Thermococcus_pacificus_P4	0	18	813	50	783	512	555	646	724	407
GCA_002214505@Thermococcus_siculi_RG_20	0	22	822	47	782	504	543	632	717	399
GCA_002214525@Thermococcus_sp_P6	0	13	784	58	726	462	510	595	670	366
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	24	846	54	818	530	587	667	755	433
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	12	810	44	778	501	545	636	710	387
GCA_002214585@Thermococcus_profundus_DT_5432	0	19	813	45	777	504	561	645	717	404
GCA_002214605@Thermococcus_chitonophagus	0	36	873	90	849	721	739	771	815	648
GCA_006274605@Thermococcus_indicus_IOH1	0	29	847	50	809	541	574	669	743	407
GCA_008152015@Thermococcus_aciditolerans_SY113	0	26	849	48	814	527	579	676	745	401
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	1	117	1000	464	997	994	993	995	996	994
GCA_020386975@Thermococcus_bergensis_T7324	0	11	850	76	812	646	666	705	764	536
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	12	825	55	787	630	640	674	737	506
GCA_024022995@Thermococcus_aggregans_TY	0	17	825	57	794	617	640	679	749	503
GCA_024707485@Thermococcus_sp_813A4	0	22	843	49	809	531	579	660	752	418
GCA_028471785@Thermococcus_kodakarensis_TS900	0	23	856	47	826	590	633	697	767	461
GCA_028471865@Thermococcus_kodakarensis_TS901	0	23	856	47	824	592	632	697	766	459
GCA_035621495@Thermococcus_sp_SY098	0	14	844	58	811	646	663	702	765	527
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	36	873	90	849	721	741	770	811	648
GCA_900198835@Thermococcus_henrietii_EXT12c	0	22	852	51	818	511	567	679	752	408
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	19	873	74	839	661	684	736	793	560
GCA_904067545@Thermococcus_camini_IRI35c	0	24	848	50	809	534	577	667	746	407
Palaeococcus_helgesoni_DSM_15127	0	22	868	61	833	589	635	699	774	469
Pyrococcus_31_3	0	36	875	92	852	735	754	785	820	652
Pyrococcus_32_1	0	36	875	92	852	736	756	783	820	652
Pyrococcus_abyssi_GE2	0	35	857	90	833	706	718	761	795	622
Pyrococcus_endeavori_ES4	0	19	858	96	829	707	723	748	786	644
Pyrococcus_EXT16	0	27	875	92	850	738	754	783	821	651
Pyrococcus_sp_32_3	0	36	875	92	853	735	755	782	820	653
Pyrococcus_sp_32_4	0	36	874	92	851	735	753	782	820	652
Pyrococcus_sp_EXT_15c	0	19	842	94	813	692	703	737	778	620
Pyrococcus_sp_GE_23	0	33	827	86	793	673	684	718	754	607
Pyrococcus_sp_IRI_42C	0	25	872	95	826	683	699	733	783	590
Thermococcus_15_2	0	13	830	46	807	534	576	668	743	401
Thermococcus_23_2	0	14	811	49	782	503	559	640	707	388
Thermococcus_29_3	0	14	821	48	789	498	562	648	727	402
Thermococcus_31_3	0	14	812	50	780	537	574	660	724	403
Thermococcus_aegaeus_DSM_12767	0	11	850	74	814	642	665	706	756	529
Thermococcus_aggregans_DSM_12819	0	17	825	57	794	615	643	681	751	501
Thermococcus_alcaliphilus_DSM_10322	0	7	862	74	828	661	685	726	771	567
Thermococcus_AMTc11	0	23	850	52	824	557	604	706	772	419
Thermococcus_AMTc30	0	16	807	49	767	497	546	636	713	383
Thermococcus_AMTc51	0	16	806	50	777	510	556	651	718	392
Thermococcus_AMTc85	0	16	813	53	776	495	554	639	718	390
Thermococcus_atlanticus_DSM_15226	0	15	849	46	817	591	640	686	760	474
Thermococcus_barophilus_423_3_23	0	10	839	55	808	629	659	696	753	529
Thermococcus_barophilus_CH1	0	15	844	62	815	639	668	702	769	539
Thermococcus_barophilus_DT4	0	12	810	70	778	602	617	669	710	508
Thermococcus_coalescens_TS1	0	23	861	61	832	556	615	692	773	438
Thermococcus_E15P35	0	18	819	49	785	495	559	647	729	392
Thermococcus_EXT11c	0	17	807	53	770	502	539	634	710	377
Thermococcus_fumicolans_ST557	0	27	827	48	790	522	567	651	723	410
Thermococcus_IRI_06c	0	24	836	48	803	542	574	665	741	421
Thermococcus_IRI15c	0	23	842	46	812	535	564	666	743	415
Thermococcus_marinus_DSM_15227	0	27	867	60	829	544	600	686	765	427
Thermococcus_prieuri_Col3	0	13	823	45	798	520	574	663	734	396
Thermococcus_profundus_DSM_9503	0	19	812	45	777	509	559	644	715	410
Thermococcus_sp_23_4	0	14	811	48	781	502	556	641	706	389
Thermococcus_sp_26_2	0	23	837	47	806	515	568	669	742	400
Thermococcus_sp_33_3	0	19	834	51	800	511	562	660	741	407
Thermococcus_sp_9_3	0	21	822	50	785	509	567	653	730	402
