denovo	genome	contig	start	end	strand
ACBJCPJC_01068_gene_mRNA	Thermococcus_stetteri_DSM_5262	11785	962997	963200	+
ACBJCPJC_02229_gene_mRNA	Thermococcus_stetteri_DSM_5262	11785	1947717	1948019	+
ADNHAJGI_00301_gene_mRNA	Pyrococcus_32_1	7495	297944	298051	+
ADNHAJGI_00554_gene_mRNA	Pyrococcus_32_1	7495	531896	532051	+
AFABOCMA_02009_gene_mRNA	Thermococcus_coalescens_TS1	14020	1807751	1808092	-
AJGPKGBP_00434_gene_mRNA	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	402969	403598	-
AMHJKFND_00757_gene_mRNA	GCA_000585495@Thermococcus_nautili_30_1	NZ_CP007264	691691	692050	+
ANCILGIH_00499_gene_mRNA	Pyrococcus_sp_32_4	8823	438905	439060	-
ANCILGIH_00752_gene_mRNA	Pyrococcus_sp_32_4	8823	672905	673012	-
BEODAGIL_01262_gene_mRNA	Thermococcus_sp_TPV	7510	1128720	1128923	+
CJOMCJEF_02177_gene_mRNA	Thermococcus_sp_AMTc94	11802	1940237	1940446	+
CNPDMPNG_00739_gene_mRNA	GCA_002214525@Thermococcus_sp_P6	NZ_CP015104	681791	682066	+
DBJFJDPB_00921_gene_mRNA	Thermococcus_AMTc30	10769	843845	844519	+
DBJFJDPB_01482_gene_mRNA	Thermococcus_AMTc30	10769	1343599	1343859	+
DIIPPFNO_01130_gene_mRNA	Thermococcus_sp_23_4	9793	1035832	1036311	+
DLHNAOEN_01913_gene_mRNA	Thermococcus_23_2	7487	1740913	1741392	-
DOACLEJL_02110_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	NZ_CP015520	1759452	1759685	-
EDCHFHLE_01783_gene_mRNA	Pyrococcus_sp_32_3	8815	1573290	1573397	+
EDCHFHLE_02036_gene_mRNA	Pyrococcus_sp_32_3	8815	1807242	1807397	+
EEHIGLKK_01721_gene_mRNA	Thermococcus_sp_33_3	8825	1513150	1513359	+
EFDKJKPG_00294_gene_mRNA	Thermococcus_sp_AMTc79	11778	259320	259904	+
EFDKJKPG_01864_gene_mRNA	Thermococcus_sp_AMTc79	11778	1650709	1650918	-
