	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	17	773	40	750	456	517	609	685	362
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	85	876	128	854	701	736	789	816	673
GCA_000011105@Pyrococcus_horikoshii_OT3	0	14	774	37	752	470	534	624	689	381
GCA_000018365@Thermococcus_onnurineus_NA1	0	53	805	110	782	640	674	723	749	613
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	72	837	152	815	678	702	745	784	651
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	754	49	740	465	500	607	683	326
GCA_000151105@Thermococcus_barophilus_MP	0	31	815	49	799	535	583	695	737	430
GCA_000151205@Thermococcus_sp_AM4	0	83	856	163	842	724	746	789	816	703
GCA_000195935@Pyrococcus_abyssi_GE5	0	22	778	41	761	525	576	649	703	450
GCA_000211475@Pyrococcus_sp_NA2	0	20	785	48	764	499	556	644	706	406
GCA_000215995@Pyrococcus_yayanosii_CH1	0	29	786	55	764	544	584	652	695	486
GCA_000221185@Thermococcus_sp_4557	0	65	842	120	826	675	700	745	774	643
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	18	812	49	795	555	581	677	731	458
GCA_000258515@Thermococcus_zilligii_AN1	0	43	798	82	782	623	656	708	737	587
GCA_000263735@Pyrococcus_sp_ST04	0	27	781	45	757	499	547	630	691	401
GCA_000265525@Thermococcus_cleftensis_CL1	0	84	847	142	827	677	706	755	788	661
GCA_000275605@Pyrococcus_furiosus_COM1	0	19	770	41	746	458	511	613	686	362
GCA_000517445@Thermococcus_paralvinellae_ES1	0	29	788	55	759	523	579	651	706	416
GCA_000585495@Thermococcus_nautili_30_1	0	161	971	412	962	943	945	952	959	941
GCA_000725425@Palaeococcus_pacificus_DY20341	0	14	792	42	777	532	574	662	721	438
GCA_000769655@Thermococcus_eurythermalis_A501	0	93	872	220	854	763	775	799	829	750
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	63	810	144	796	650	679	729	755	632
GCA_001433455@Thermococcus_barophilus_CH5	0	48	843	48	825	557	620	722	770	460
GCA_001484685@Thermococcus_sp_2319x1	0	10	764	42	751	528	553	634	700	449
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	34	815	45	780	548	594	658	720	454
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	56	841	125	829	697	718	765	786	664
GCA_001647085@Thermococcus_piezophilus_CDGS	0	35	786	101	765	625	651	698	727	589
GCA_002197185@Thermococcus_sp_5_4	0	43	812	126	795	667	689	731	761	639
GCA_002214365@Thermococcus_celer_Vu_13	0	36	807	106	789	639	663	710	750	620
GCA_002214385@Thermococcus_gorgonarius_W_12	0	48	781	99	760	612	642	695	721	575
GCA_002214465@Thermococcus_barossii_SHCK_94	0	49	827	125	810	675	699	739	775	637
GCA_002214485@Thermococcus_pacificus_P4	0	44	786	110	768	649	668	708	739	622
GCA_002214505@Thermococcus_siculi_RG_20	0	56	826	118	810	672	691	727	769	639
GCA_002214525@Thermococcus_sp_P6	0	22	729	68	714	567	599	640	668	528
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	73	862	139	842	686	715	766	803	656
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	40	820	123	802	659	690	737	768	632
GCA_002214585@Thermococcus_profundus_DT_5432	0	54	854	103	839	681	711	764	800	632
GCA_002214605@Thermococcus_chitonophagus	0	22	799	47	778	547	582	660	720	452
GCA_006274605@Thermococcus_indicus_IOH1	0	75	868	135	857	716	750	792	821	691
GCA_008152015@Thermococcus_aciditolerans_SY113	0	78	868	143	847	701	735	783	813	678
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	19	773	41	749	463	519	613	687	364
GCA_020386975@Thermococcus_bergensis_T7324	0	11	774	53	753	537	576	653	698	449
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	19	774	45	758	458	503	621	692	316
GCA_024022995@Thermococcus_aggregans_TY	0	19	774	53	758	520	558	651	704	431
GCA_024707485@Thermococcus_sp_813A4	0	70	860	133	840	683	720	774	808	661
GCA_028471785@Thermococcus_kodakarensis_TS900	0	85	875	128	852	699	737	786	816	668
GCA_028471865@Thermococcus_kodakarensis_TS901	0	85	875	128	854	697	737	787	816	667
GCA_035621495@Thermococcus_sp_SY098	0	43	820	44	800	546	576	683	741	446
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	22	799	47	778	545	582	659	721	460
GCA_900198835@Thermococcus_henrietii_EXT12c	0	114	920	324	910	832	848	860	878	827
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	12	771	44	759	536	559	644	701	460
GCA_904067545@Thermococcus_camini_IRI35c	0	72	848	131	832	684	715	756	793	652
Palaeococcus_helgesoni_DSM_15127	0	17	774	44	754	501	555	645	694	426
Pyrococcus_31_3	0	28	806	46	781	548	587	667	723	454
Pyrococcus_32_1	0	28	806	46	781	547	582	667	722	454
Pyrococcus_abyssi_GE2	0	29	783	40	761	525	568	650	700	445
Pyrococcus_endeavori_ES4	0	21	777	49	752	489	537	621	687	396
Pyrococcus_EXT16	0	27	807	49	787	549	591	676	727	459
Pyrococcus_sp_32_3	0	28	806	46	782	546	586	667	723	455
Pyrococcus_sp_32_4	0	28	806	46	783	548	586	667	723	454
Pyrococcus_sp_EXT_15c	0	34	803	45	786	541	593	662	728	453
Pyrococcus_sp_GE_23	0	27	780	39	762	523	565	646	705	450
Pyrococcus_sp_IRI_42C	0	17	782	44	756	495	534	623	694	388
Thermococcus_15_2	0	61	814	116	791	666	689	728	758	643
Thermococcus_23_2	0	43	811	125	795	667	690	731	761	637
Thermococcus_29_3	1	131	928	380	920	891	892	900	909	889
Thermococcus_31_3	0	63	828	128	809	657	675	731	762	632
Thermococcus_aegaeus_DSM_12767	0	13	782	49	769	530	568	653	698	430
Thermococcus_aggregans_DSM_12819	0	19	774	53	757	520	558	651	704	429
Thermococcus_alcaliphilus_DSM_10322	0	15	794	46	775	533	577	649	709	456
Thermococcus_AMTc11	0	81	887	144	870	719	751	799	832	690
Thermococcus_AMTc30	0	119	905	311	891	847	855	867	874	840
Thermococcus_AMTc51	0	104	885	296	874	800	811	832	851	782
Thermococcus_AMTc85	0	130	901	320	892	829	843	860	871	826
Thermococcus_atlanticus_DSM_15226	0	56	836	79	824	621	667	718	772	575
Thermococcus_barophilus_423_3_23	0	31	802	41	785	534	573	675	731	432
Thermococcus_barophilus_CH1	0	33	820	52	797	534	579	696	740	440
Thermococcus_barophilus_DT4	0	42	804	50	775	519	583	672	720	418
Thermococcus_coalescens_TS1	0	63	854	128	836	672	710	751	799	648
Thermococcus_E15P35	1	157	942	389	937	904	909	915	927	905
Thermococcus_EXT11c	0	122	897	308	882	833	842	850	866	830
Thermococcus_fumicolans_ST557	0	68	844	112	829	675	706	765	796	646
Thermococcus_IRI_06c	0	87	867	161	846	712	732	770	803	682
Thermococcus_IRI15c	0	78	868	137	849	686	726	769	802	653
Thermococcus_marinus_DSM_15227	0	88	862	219	844	746	759	785	808	737
Thermococcus_prieuri_Col3	0	67	820	122	800	665	688	733	758	641
Thermococcus_profundus_DSM_9503	0	54	849	103	834	678	706	761	795	629
Thermococcus_sp_23_4	0	43	812	125	797	669	690	733	763	637
Thermococcus_sp_26_2	0	107	897	305	888	827	835	850	865	820
Thermococcus_sp_33_3	2	210	1000	456	1000	1000	1000	1000	1000	1000
Thermococcus_sp_9_3	1	168	959	394	952	932	934	938	945	933
Thermococcus_sp_AMTc09	0	110	889	304	878	818	827	839	857	811
Thermococcus_sp_AMTc102	0	105	891	302	880	823	830	843	861	816
