	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	31	812	51	758	459	501	601	680	350
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	78	882	142	851	673	707	746	791	636
GCA_000011105@Pyrococcus_horikoshii_OT3	0	24	798	52	752	463	524	603	675	363
GCA_000018365@Thermococcus_onnurineus_NA1	0	46	830	195	779	649	669	701	728	638
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	70	840	108	797	600	638	691	741	582
GCA_000022545@Thermococcus_sibiricus_MM_739	1	12	807	63	761	476	519	619	684	355
GCA_000151105@Thermococcus_barophilus_MP	0	32	855	78	814	564	611	701	753	488
GCA_000151205@Thermococcus_sp_AM4	0	77	848	107	813	642	663	725	759	622
GCA_000195935@Pyrococcus_abyssi_GE5	0	26	817	52	773	511	559	643	697	417
GCA_000211475@Pyrococcus_sp_NA2	0	28	835	62	795	514	563	650	714	407
GCA_000215995@Pyrococcus_yayanosii_CH1	0	26	816	78	768	559	598	651	703	514
GCA_000221185@Thermococcus_sp_4557	0	94	899	341	866	779	786	815	832	772
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	27	846	73	800	573	596	685	735	466
GCA_000258515@Thermococcus_zilligii_AN1	0	36	824	105	785	609	621	673	713	574
GCA_000263735@Pyrococcus_sp_ST04	0	22	802	61	756	469	517	609	677	367
GCA_000265525@Thermococcus_cleftensis_CL1	0	88	879	255	842	715	728	757	795	701
GCA_000275605@Pyrococcus_furiosus_COM1	0	31	815	52	761	459	503	607	689	356
GCA_000517445@Thermococcus_paralvinellae_ES1	0	25	813	70	768	528	570	649	705	414
GCA_000585495@Thermococcus_nautili_30_1	0	66	871	144	836	672	707	749	786	652
GCA_000725425@Palaeococcus_pacificus_DY20341	0	22	817	57	772	544	591	676	716	457
GCA_000769655@Thermococcus_eurythermalis_A501	0	69	889	154	851	692	720	757	798	670
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	51	830	136	791	619	648	688	729	588
GCA_001433455@Thermococcus_barophilus_CH5	0	42	877	70	839	599	637	725	775	509
GCA_001484685@Thermococcus_sp_2319x1	0	27	815	58	760	543	579	657	700	454
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	32	831	59	786	524	567	642	712	439
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	47	858	121	817	649	670	716	760	612
GCA_001647085@Thermococcus_piezophilus_CDGS	0	56	832	171	775	624	645	694	716	606
GCA_002197185@Thermococcus_sp_5_4	0	59	844	254	807	709	720	743	767	704
GCA_002214365@Thermococcus_celer_Vu_13	0	40	838	173	797	653	675	709	746	645
GCA_002214385@Thermococcus_gorgonarius_W_12	0	37	792	96	746	579	596	642	694	548
GCA_002214465@Thermococcus_barossii_SHCK_94	0	68	871	246	840	719	731	758	784	710
GCA_002214485@Thermococcus_pacificus_P4	0	53	844	211	805	670	697	714	753	655
GCA_002214505@Thermococcus_siculi_RG_20	0	74	889	240	845	728	746	781	803	707
GCA_002214525@Thermococcus_sp_P6	0	28	761	110	718	578	595	630	669	553
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	94	892	287	864	729	750	785	816	708
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	58	862	251	824	701	712	744	773	693
GCA_002214585@Thermococcus_profundus_DT_5432	0	45	851	115	826	640	679	735	774	616
GCA_002214605@Thermococcus_chitonophagus	0	29	835	59	786	516	566	647	721	438
GCA_006274605@Thermococcus_indicus_IOH1	2	197	1000	591	1000	1000	1000	1000	1000	1000
GCA_008152015@Thermococcus_aciditolerans_SY113	0	111	921	392	896	819	827	845	868	812
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	31	817	51	763	462	504	610	687	358
GCA_020386975@Thermococcus_bergensis_T7324	0	15	801	63	756	542	578	652	694	468
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	17	813	66	768	467	533	634	698	355
GCA_024022995@Thermococcus_aggregans_TY	0	27	797	66	748	529	561	641	685	441
GCA_024707485@Thermococcus_sp_813A4	0	86	898	266	867	740	757	789	818	722
GCA_028471785@Thermococcus_kodakarensis_TS900	0	78	882	142	850	675	708	748	792	641
GCA_028471865@Thermococcus_kodakarensis_TS901	0	78	882	142	851	672	705	746	788	633
GCA_035621495@Thermococcus_sp_SY098	0	30	850	74	813	550	610	692	745	484
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	29	838	59	788	523	570	652	726	440
GCA_900198835@Thermococcus_henrietii_EXT12c	0	85	894	150	859	693	713	770	809	669
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	26	815	65	764	545	580	656	703	469
GCA_904067545@Thermococcus_camini_IRI35c	0	98	904	347	875	775	788	809	836	770
Palaeococcus_helgesoni_DSM_15127	0	27	817	57	762	524	572	646	696	457
Pyrococcus_31_3	0	32	840	52	793	520	572	649	722	447
Pyrococcus_32_1	0	32	839	52	791	520	570	648	716	445
Pyrococcus_abyssi_GE2	0	35	825	50	775	512	563	643	701	427
Pyrococcus_endeavori_ES4	0	22	805	57	758	475	521	615	685	374
Pyrococcus_EXT16	0	30	843	55	804	535	582	658	731	458
Pyrococcus_sp_32_3	0	32	840	52	792	520	570	649	719	446
Pyrococcus_sp_32_4	0	32	839	52	791	523	571	647	719	444
Pyrococcus_sp_EXT_15c	0	38	825	59	781	526	577	637	715	433
Pyrococcus_sp_GE_23	0	26	807	47	770	494	550	637	689	409
Pyrococcus_sp_IRI_42C	0	27	831	53	782	465	511	624	707	357
Thermococcus_15_2	0	48	852	165	808	664	686	722	752	636
Thermococcus_23_2	0	58	844	246	807	708	719	745	769	704
Thermococcus_29_3	0	66	864	135	828	665	697	739	779	638
Thermococcus_31_3	0	66	870	216	828	709	723	761	788	689
Thermococcus_aegaeus_DSM_12767	0	21	818	62	772	554	585	668	707	451
Thermococcus_aggregans_DSM_12819	0	25	802	63	754	526	565	647	689	445
Thermococcus_alcaliphilus_DSM_10322	0	20	818	62	777	551	580	670	712	476
Thermococcus_AMTc11	0	97	929	295	903	803	820	847	876	794
Thermococcus_AMTc30	0	66	865	134	830	657	686	729	766	636
Thermococcus_AMTc51	0	55	868	150	833	670	698	736	779	649
Thermococcus_AMTc85	0	66	852	131	820	656	684	715	758	626
Thermococcus_atlanticus_DSM_15226	0	50	875	119	827	647	667	734	770	593
Thermococcus_barophilus_423_3_23	0	31	848	57	802	565	607	692	743	482
Thermococcus_barophilus_CH1	0	37	858	74	826	577	629	702	762	492
Thermococcus_barophilus_DT4	0	41	840	59	796	536	588	676	729	440
Thermococcus_coalescens_TS1	0	83	910	237	872	739	754	795	821	719
Thermococcus_E15P35	0	72	864	137	823	664	701	736	774	639
Thermococcus_EXT11c	0	70	861	138	818	654	685	721	759	629
Thermococcus_fumicolans_ST557	0	56	865	141	825	674	694	742	784	644
Thermococcus_IRI_06c	0	95	896	287	857	739	754	783	814	724
Thermococcus_IRI15c	0	104	915	336	883	773	790	816	841	768
Thermococcus_marinus_DSM_15227	0	70	890	150	847	687	716	754	798	664
Thermococcus_prieuri_Col3	0	53	856	165	814	663	681	722	750	637
Thermococcus_profundus_DSM_9503	0	45	849	112	824	642	679	735	773	617
Thermococcus_sp_23_4	0	57	843	247	806	710	718	746	768	704
Thermococcus_sp_26_2	0	72	871	142	837	670	703	756	792	649
Thermococcus_sp_33_3	0	69	872	144	845	679	712	749	788	649
Thermococcus_sp_9_3	0	73	873	143	837	675	705	747	785	647
Thermococcus_sp_AMTc09	0	82	876	142	842	686	715	760	794	656
Thermococcus_sp_AMTc102	0	75	872	137	840	675	707	754	789	651
Thermococcus_sp_AMTc71	0	86	892	354	868	790	794	818	843	780
Thermococcus_sp_AMTc72	0	87	892	351	869	790	794	819	843	778
Thermococcus_sp_AMTc79	0	66	861	133	828	674	698	741	783	645
Thermococcus_sp_AMTc94	0	70	868	142	834	672	705	737	777	642
Thermococcus_sp_CIR_03a	0	86	906	284	877	769	783	811	835	763
Thermococcus_sp_CIR_10a	0	41	862	63	824	575	620	708	768	483
Thermococcus_sp_DS1	0	82	891	239	854	723	745	784	808	725
Thermococcus_sp_E10P11	0	70	860	137	825	664	693	733	772	640
Thermococcus_sp_E10P8	0	70	860	137	827	661	693	734	772	643
Thermococcus_sp_E15p33	0	71	864	137	825	661	704	735	775	640
Thermococcus_sp_EXT09c	0	69	852	134	824	658	680	720	762	633
Thermococcus_sp_IRI_05c	0	88	894	264	862	725	751	786	816	708
Thermococcus_sp_IRI10c	0	108	918	337	886	776	792	819	846	771
Thermococcus_sp_IRI14c	0	106	915	337	884	775	790	816	841	768
Thermococcus_sp_IRI24c	0	114	929	326	904	800	818	841	867	794
Thermococcus_sp_IRI25c	0	109	924	339	891	781	797	822	848	774
Thermococcus_sp_IRI27c2	0	115	929	328	904	800	818	841	867	795
Thermococcus_sp_IRI29c	0	115	929	327	904	800	819	842	867	797
Thermococcus_sp_IRI_33c	0	83	889	241	851	718	746	786	810	720
Thermococcus_sp_TPV	0	77	892	145	860	686	711	765	800	658
Thermococcus_sp_unknown	0	61	860	132	827	653	683	721	760	622
Thermococcus_stetteri_DSM_5262	0	61	873	132	833	643	682	729	766	613
Thermococcus_waiotapuensis_WT1	0	32	819	107	774	576	607	656	696	547
