	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	20	818	48	796	539	590	660	735	428
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	42	865	103	852	690	730	766	811	664
GCA_000011105@Pyrococcus_horikoshii_OT3	0	9	812	47	791	531	562	658	718	420
GCA_000018365@Thermococcus_onnurineus_NA1	0	32	824	80	804	670	689	731	757	630
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	45	855	98	841	692	737	769	796	674
GCA_000022545@Thermococcus_sibiricus_MM_739	0	8	792	45	775	547	591	673	722	422
GCA_000151105@Thermococcus_barophilus_MP	0	15	832	51	822	574	624	706	768	479
GCA_000151205@Thermococcus_sp_AM4	0	53	885	108	870	737	770	808	840	713
GCA_000195935@Pyrococcus_abyssi_GE5	0	8	791	40	776	534	570	651	716	435
GCA_000211475@Pyrococcus_sp_NA2	0	11	795	44	780	509	568	650	709	414
GCA_000215995@Pyrococcus_yayanosii_CH1	0	22	814	57	798	568	622	694	738	526
GCA_000221185@Thermococcus_sp_4557	0	27	848	91	839	680	704	749	780	651
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	14	852	53	836	614	655	737	784	521
GCA_000258515@Thermococcus_zilligii_AN1	0	67	914	392	908	867	870	877	890	863
GCA_000263735@Pyrococcus_sp_ST04	0	13	803	45	783	535	557	644	717	421
GCA_000265525@Thermococcus_cleftensis_CL1	0	32	849	97	832	678	700	744	777	648
GCA_000275605@Pyrococcus_furiosus_COM1	0	21	817	48	796	533	589	662	734	421
GCA_000517445@Thermococcus_paralvinellae_ES1	0	16	802	48	786	567	610	687	736	476
GCA_000585495@Thermococcus_nautili_30_1	0	35	849	91	836	674	697	747	779	636
GCA_000725425@Palaeococcus_pacificus_DY20341	0	9	808	47	793	581	600	684	738	482
GCA_000769655@Thermococcus_eurythermalis_A501	0	36	865	89	856	692	732	781	804	671
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	45	864	106	857	732	758	795	816	711
GCA_001433455@Thermococcus_barophilus_CH5	0	20	849	53	837	580	630	710	773	489
GCA_001484685@Thermococcus_sp_2319x1	0	9	842	50	827	638	672	746	772	557
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	22	837	45	815	568	603	679	747	473
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	31	853	100	838	700	722	768	806	674
GCA_001647085@Thermococcus_piezophilus_CDGS	0	26	814	76	786	635	662	707	734	612
GCA_002197185@Thermococcus_sp_5_4	0	18	823	86	808	659	684	727	754	620
GCA_002214365@Thermococcus_celer_Vu_13	0	30	843	77	826	681	708	761	786	655
GCA_002214385@Thermococcus_gorgonarius_W_12	0	48	843	242	834	773	779	796	806	767
GCA_002214465@Thermococcus_barossii_SHCK_94	0	26	836	86	824	667	698	746	773	633
GCA_002214485@Thermococcus_pacificus_P4	0	34	837	130	823	709	732	770	786	682
GCA_002214505@Thermococcus_siculi_RG_20	0	27	851	100	835	691	709	756	782	656
GCA_002214525@Thermococcus_sp_P6	0	15	774	69	753	600	626	667	693	563
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	30	845	89	831	680	700	747	778	628
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	20	830	85	818	669	702	740	769	634
GCA_002214585@Thermococcus_profundus_DT_5432	0	47	883	119	867	754	773	809	836	731
GCA_002214605@Thermococcus_chitonophagus	0	18	814	48	798	557	594	670	734	481
GCA_006274605@Thermococcus_indicus_IOH1	0	34	869	98	855	682	713	766	803	655
GCA_008152015@Thermococcus_aciditolerans_SY113	0	30	844	97	829	682	710	750	784	660
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	21	818	48	797	536	586	664	736	425
GCA_020386975@Thermococcus_bergensis_T7324	0	8	828	48	808	620	656	729	759	542
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	10	807	50	787	535	578	676	734	420
GCA_024022995@Thermococcus_aggregans_TY	0	7	814	54	796	594	620	695	741	492
GCA_024707485@Thermococcus_sp_813A4	0	26	853	98	839	681	713	759	789	645
GCA_028471785@Thermococcus_kodakarensis_TS900	0	42	864	103	852	687	725	765	809	661
GCA_028471865@Thermococcus_kodakarensis_TS901	0	42	864	103	852	689	728	763	809	661
GCA_035621495@Thermococcus_sp_SY098	0	14	838	47	824	583	627	709	768	486
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	18	815	48	799	557	596	672	736	481
GCA_900198835@Thermococcus_henrietii_EXT12c	0	39	859	94	852	672	716	771	807	655
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	8	835	50	823	634	663	732	770	550
GCA_904067545@Thermococcus_camini_IRI35c	0	42	857	100	842	685	717	763	792	663
Palaeococcus_helgesoni_DSM_15127	0	9	821	44	799	559	605	674	747	481
Pyrococcus_31_3	0	17	814	47	794	556	598	675	734	487
Pyrococcus_32_1	0	17	814	47	794	558	597	675	736	486
Pyrococcus_abyssi_GE2	0	10	790	39	775	537	579	650	714	443
Pyrococcus_endeavori_ES4	0	13	797	45	778	527	550	632	710	407
Pyrococcus_EXT16	0	9	797	43	780	553	591	659	720	485
Pyrococcus_sp_32_3	0	17	814	47	793	558	599	674	736	483
Pyrococcus_sp_32_4	0	17	814	47	794	557	596	673	735	485
Pyrococcus_sp_EXT_15c	0	12	804	51	788	550	588	660	720	457
Pyrococcus_sp_GE_23	0	13	783	42	765	528	569	645	704	442
Pyrococcus_sp_IRI_42C	0	14	779	46	757	499	555	616	689	406
Thermococcus_15_2	0	26	826	86	810	658	688	729	761	624
Thermococcus_23_2	0	18	822	88	808	657	686	727	754	620
Thermococcus_29_3	0	35	847	90	838	679	710	762	789	646
Thermococcus_31_3	0	23	848	93	830	683	709	742	780	643
Thermococcus_aegaeus_DSM_12767	0	10	831	53	810	615	640	727	766	516
Thermococcus_aggregans_DSM_12819	0	7	814	54	796	591	618	694	741	493
Thermococcus_alcaliphilus_DSM_10322	0	10	829	49	814	604	640	726	760	508
Thermococcus_AMTc11	0	27	868	96	856	701	724	781	806	659
Thermococcus_AMTc30	0	31	834	87	821	667	698	746	776	635
Thermococcus_AMTc51	0	33	851	92	838	670	690	753	784	631
Thermococcus_AMTc85	0	29	825	86	813	662	685	742	761	627
Thermococcus_atlanticus_DSM_15226	0	24	860	59	847	647	686	751	799	597
Thermococcus_barophilus_423_3_23	0	15	839	48	827	589	628	710	762	495
Thermococcus_barophilus_CH1	0	15	831	48	820	571	621	707	764	487
Thermococcus_barophilus_DT4	0	17	818	44	803	565	612	695	743	472
Thermococcus_coalescens_TS1	0	26	848	94	832	682	716	757	784	644
Thermococcus_E15P35	0	33	847	91	835	677	709	755	781	646
Thermococcus_EXT11c	0	35	841	92	830	678	701	756	784	641
Thermococcus_fumicolans_ST557	0	55	863	157	842	738	758	776	802	719
Thermococcus_IRI_06c	0	33	853	99	834	688	713	756	785	655
Thermococcus_IRI15c	0	39	864	101	846	681	713	761	790	652
Thermococcus_marinus_DSM_15227	0	43	873	93	862	692	732	783	811	675
Thermococcus_prieuri_Col3	0	29	830	85	812	656	689	725	762	625
Thermococcus_profundus_DSM_9503	0	47	881	119	867	753	774	806	836	732
Thermococcus_sp_23_4	0	18	823	88	808	658	686	727	755	622
Thermococcus_sp_26_2	0	41	855	94	840	655	689	746	788	636
Thermococcus_sp_33_3	0	36	850	93	836	675	701	750	776	636
Thermococcus_sp_9_3	0	37	859	94	848	687	719	768	793	657
Thermococcus_sp_AMTc09	0	43	862	91	849	666	695	752	793	642
Thermococcus_sp_AMTc102	0	44	861	92	849	670	697	757	793	643
Thermococcus_sp_AMTc71	0	29	827	96	809	658	683	731	758	642
Thermococcus_sp_AMTc72	0	29	827	96	810	657	686	730	760	642
Thermococcus_sp_AMTc79	0	32	843	88	829	666	695	748	772	645
Thermococcus_sp_AMTc94	0	31	848	93	836	676	703	757	784	649
Thermococcus_sp_CIR_03a	0	31	862	94	843	676	708	758	783	641
Thermococcus_sp_CIR_10a	0	20	835	47	824	585	630	709	770	486
Thermococcus_sp_DS1	0	32	856	96	841	681	712	770	794	653
Thermococcus_sp_E10P11	0	35	845	91	835	677	703	750	782	646
Thermococcus_sp_E10P8	0	35	845	91	835	673	703	751	781	641
Thermococcus_sp_E15p33	0	33	847	91	835	681	709	756	782	644
