	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	21	907	86	893	809	813	844	871	713
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	22	877	45	865	632	679	759	815	546
GCA_000011105@Pyrococcus_horikoshii_OT3	0	22	901	83	884	792	810	831	853	722
GCA_000018365@Thermococcus_onnurineus_NA1	0	12	829	42	815	608	641	720	769	490
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	20	846	37	829	574	623	695	772	491
GCA_000022545@Thermococcus_sibiricus_MM_739	0	9	831	41	817	626	644	704	761	486
GCA_000151105@Thermococcus_barophilus_MP	0	10	863	46	853	695	729	766	814	582
GCA_000151205@Thermococcus_sp_AM4	0	23	841	42	825	572	633	705	767	489
GCA_000195935@Pyrococcus_abyssi_GE5	0	25	909	87	901	814	823	847	876	725
GCA_000211475@Pyrococcus_sp_NA2	0	25	905	83	897	798	820	844	871	724
GCA_000215995@Pyrococcus_yayanosii_CH1	0	16	873	67	855	681	714	781	824	595
GCA_000221185@Thermococcus_sp_4557	0	17	843	38	821	573	609	703	769	464
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	6	878	43	864	691	701	769	814	559
GCA_000258515@Thermococcus_zilligii_AN1	0	17	826	37	811	570	610	687	754	460
GCA_000263735@Pyrococcus_sp_ST04	0	65	984	353	980	972	974	974	976	973
GCA_000265525@Thermococcus_cleftensis_CL1	0	18	840	38	824	565	609	709	776	457
GCA_000275605@Pyrococcus_furiosus_COM1	0	21	905	86	890	806	810	840	868	713
GCA_000517445@Thermococcus_paralvinellae_ES1	0	8	851	38	838	683	700	753	795	573
GCA_000585495@Thermococcus_nautili_30_1	0	21	863	45	847	598	653	730	793	495
GCA_000725425@Palaeococcus_pacificus_DY20341	0	8	846	37	832	637	674	731	782	502
GCA_000769655@Thermococcus_eurythermalis_A501	0	16	867	47	854	590	658	749	801	496
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	13	833	47	815	590	630	700	770	465
GCA_001433455@Thermococcus_barophilus_CH5	0	10	887	44	875	712	740	786	838	605
GCA_001484685@Thermococcus_sp_2319x1	0	8	866	37	851	663	683	742	798	548
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	31	922	152	914	848	866	883	898	799
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	16	844	43	828	605	634	729	778	502
GCA_001647085@Thermococcus_piezophilus_CDGS	0	11	832	41	812	580	635	694	759	491
GCA_002197185@Thermococcus_sp_5_4	0	11	845	41	831	595	645	728	783	485
GCA_002214365@Thermococcus_celer_Vu_13	0	13	852	37	838	561	621	716	787	447
GCA_002214385@Thermococcus_gorgonarius_W_12	0	11	791	39	781	562	599	674	727	466
GCA_002214465@Thermococcus_barossii_SHCK_94	0	14	848	39	835	605	641	732	787	483
GCA_002214485@Thermococcus_pacificus_P4	0	13	816	37	793	558	600	703	751	465
GCA_002214505@Thermococcus_siculi_RG_20	0	16	831	43	811	555	612	694	763	451
GCA_002214525@Thermococcus_sp_P6	0	10	793	39	779	531	574	669	733	417
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	13	842	49	831	584	626	711	786	467
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	11	848	36	834	603	639	729	788	485
GCA_002214585@Thermococcus_profundus_DT_5432	0	19	835	37	817	597	639	709	771	490
GCA_002214605@Thermococcus_chitonophagus	0	25	934	157	929	868	879	894	914	813
GCA_006274605@Thermococcus_indicus_IOH1	0	21	872	45	859	599	649	735	812	493
GCA_008152015@Thermococcus_aciditolerans_SY113	0	15	858	40	845	597	636	726	791	470
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	21	905	86	893	811	817	844	870	717
GCA_020386975@Thermococcus_bergensis_T7324	0	7	839	42	818	648	658	714	763	524
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	7	850	39	834	661	675	728	780	531
GCA_024022995@Thermococcus_aggregans_TY	0	8	843	44	827	658	677	729	783	530
GCA_024707485@Thermococcus_sp_813A4	0	15	849	42	837	591	632	716	794	485
GCA_028471785@Thermococcus_kodakarensis_TS900	0	22	877	45	865	633	675	759	813	539
GCA_028471865@Thermococcus_kodakarensis_TS901	0	22	877	45	866	631	676	760	814	540
GCA_035621495@Thermococcus_sp_SY098	0	14	872	43	859	705	725	771	820	581
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	25	934	157	929	870	880	896	915	811
GCA_900198835@Thermococcus_henrietii_EXT12c	0	23	880	40	867	614	674	759	822	517
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	8	855	39	839	662	681	734	786	537
GCA_904067545@Thermococcus_camini_IRI35c	0	18	841	42	823	582	622	698	774	473
Palaeococcus_helgesoni_DSM_15127	0	13	854	37	837	627	662	724	780	479
Pyrococcus_31_3	0	24	951	156	944	888	895	911	931	827
Pyrococcus_32_1	0	24	951	156	944	886	897	911	931	828
Pyrococcus_abyssi_GE2	0	28	910	90	900	810	815	842	868	724
Pyrococcus_endeavori_ES4	1	69	1000	381	1000	1000	1000	1000	1000	1000
Pyrococcus_EXT16	0	25	942	153	936	881	886	903	922	822
Pyrococcus_sp_32_3	0	24	951	155	944	886	896	912	931	826
Pyrococcus_sp_32_4	0	24	951	156	944	888	895	912	931	826
Pyrococcus_sp_EXT_15c	0	25	914	155	908	850	862	876	894	799
Pyrococcus_sp_GE_23	0	24	897	92	890	803	805	838	863	708
Pyrococcus_sp_IRI_42C	0	18	890	76	874	769	784	810	845	688
Thermococcus_15_2	0	17	852	39	840	617	653	733	790	486
Thermococcus_23_2	0	11	845	41	831	597	645	725	782	483
Thermococcus_29_3	0	21	852	44	837	603	639	730	782	491
Thermococcus_31_3	0	21	840	43	822	599	647	715	780	487
Thermococcus_aegaeus_DSM_12767	0	9	844	42	832	667	675	735	790	540
Thermococcus_aggregans_DSM_12819	0	8	843	44	828	658	676	730	784	534
Thermococcus_alcaliphilus_DSM_10322	0	4	852	45	839	677	691	733	797	548
Thermococcus_AMTc11	0	24	883	45	870	629	676	760	822	496
Thermococcus_AMTc30	0	24	846	43	831	588	645	720	776	489
Thermococcus_AMTc51	0	20	858	42	841	614	643	725	785	512
Thermococcus_AMTc85	0	21	849	42	834	594	635	724	776	483
Thermococcus_atlanticus_DSM_15226	0	14	886	43	872	661	700	776	829	546
Thermococcus_barophilus_423_3_23	0	9	870	43	855	694	706	764	812	570
Thermococcus_barophilus_CH1	0	10	873	45	861	705	726	770	824	585
Thermococcus_barophilus_DT4	0	14	831	44	816	664	692	736	782	564
Thermococcus_coalescens_TS1	0	11	851	46	842	597	645	739	801	483
Thermococcus_E15P35	0	26	859	45	845	591	645	729	788	488
Thermococcus_EXT11c	0	23	844	40	829	585	631	720	772	486
Thermococcus_fumicolans_ST557	0	17	849	38	833	585	638	714	790	453
Thermococcus_IRI_06c	0	22	840	45	816	583	619	715	771	465
Thermococcus_IRI15c	0	18	847	42	830	587	629	710	781	469
Thermococcus_marinus_DSM_15227	0	19	876	48	858	595	660	755	811	489
Thermococcus_prieuri_Col3	0	18	860	39	847	635	657	735	801	486
Thermococcus_profundus_DSM_9503	0	19	832	37	814	593	643	708	769	486
Thermococcus_sp_23_4	0	11	846	41	831	599	646	727	783	484
Thermococcus_sp_26_2	0	18	858	44	841	590	653	728	789	502
Thermococcus_sp_33_3	0	26	869	46	854	606	654	731	794	499
Thermococcus_sp_9_3	0	24	864	46	848	601	642	732	791	496
Thermococcus_sp_AMTc09	0	19	861	44	845	601	654	732	794	499
Thermococcus_sp_AMTc102	0	20	861	44	844	597	655	735	796	504
Thermococcus_sp_AMTc71	0	15	848	40	833	576	624	712	778	469
Thermococcus_sp_AMTc72	0	15	848	40	834	579	619	712	781	472
Thermococcus_sp_AMTc79	0	21	849	42	834	590	641	725	788	501
Thermococcus_sp_AMTc94	0	21	853	42	839	598	647	726	789	496
Thermococcus_sp_CIR_03a	0	20	880	41	865	625	667	752	813	505
Thermococcus_sp_CIR_10a	0	14	883	45	872	716	725	782	837	593
Thermococcus_sp_DS1	0	21	863	40	849	611	651	740	804	503
Thermococcus_sp_E10P11	0	21	851	46	839	597	640	724	787	497
Thermococcus_sp_E10P8	0	21	851	46	839	601	641	724	787	496
