	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	29	787	14	767	465	524	603	703	366
GCA_000009965@Thermococcus_kodakarensis_KOD1	1	91	898	36	882	723	763	807	846	699
GCA_000011105@Pyrococcus_horikoshii_OT3	0	18	770	12	745	467	519	600	684	368
GCA_000018365@Thermococcus_onnurineus_NA1	0	44	786	26	774	625	650	697	717	598
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	73	821	30	803	636	665	715	750	620
GCA_000022545@Thermococcus_sibiricus_MM_739	0	19	757	21	735	465	502	611	675	331
GCA_000151105@Thermococcus_barophilus_MP	0	30	788	16	773	523	578	657	726	435
GCA_000151205@Thermococcus_sp_AM4	0	78	815	27	803	642	671	717	753	616
GCA_000195935@Pyrococcus_abyssi_GE5	0	22	777	18	766	490	553	625	697	423
GCA_000211475@Pyrococcus_sp_NA2	0	32	808	18	783	494	547	637	717	390
GCA_000215995@Pyrococcus_yayanosii_CH1	0	34	791	17	771	537	579	649	706	479
GCA_000221185@Thermococcus_sp_4557	0	64	805	22	791	636	670	720	744	621
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	30	839	23	823	568	618	697	765	479
GCA_000258515@Thermococcus_zilligii_AN1	0	41	803	19	778	604	636	684	722	571
GCA_000263735@Pyrococcus_sp_ST04	0	27	779	15	762	484	538	618	705	381
GCA_000265525@Thermococcus_cleftensis_CL1	0	65	807	27	789	630	657	700	746	616
GCA_000275605@Pyrococcus_furiosus_COM1	0	31	787	15	768	463	521	605	701	364
GCA_000517445@Thermococcus_paralvinellae_ES1	0	23	768	15	748	512	562	640	701	412
GCA_000585495@Thermococcus_nautili_30_1	0	76	844	25	832	739	748	772	791	719
GCA_000725425@Palaeococcus_pacificus_DY20341	0	15	769	18	748	499	538	623	698	417
GCA_000769655@Thermococcus_eurythermalis_A501	2	142	940	23	936	912	915	921	927	914
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	66	834	27	821	679	705	747	776	669
GCA_001433455@Thermococcus_barophilus_CH5	0	36	827	20	807	546	601	687	755	454
GCA_001484685@Thermococcus_sp_2319x1	0	26	799	23	780	532	577	651	721	454
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	35	822	14	795	512	571	659	724	440
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	60	825	33	811	663	683	740	768	632
GCA_001647085@Thermococcus_piezophilus_CDGS	0	42	786	24	764	589	627	673	701	569
GCA_002197185@Thermococcus_sp_5_4	0	46	790	24	774	636	664	697	731	621
GCA_002214365@Thermococcus_celer_Vu_13	0	42	796	22	779	612	644	697	733	597
GCA_002214385@Thermococcus_gorgonarius_W_12	0	45	773	20	757	582	623	672	710	556
GCA_002214465@Thermococcus_barossii_SHCK_94	0	49	805	22	783	635	668	699	745	611
GCA_002214485@Thermococcus_pacificus_P4	0	56	791	31	776	635	665	706	736	611
GCA_002214505@Thermococcus_siculi_RG_20	0	59	810	29	795	638	664	715	739	610
GCA_002214525@Thermococcus_sp_P6	0	31	715	23	701	539	570	615	645	515
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	64	834	31	818	642	670	721	754	623
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	41	782	22	766	626	650	689	721	607
GCA_002214585@Thermococcus_profundus_DT_5432	0	49	809	35	793	627	665	720	754	595
GCA_002214605@Thermococcus_chitonophagus	0	28	807	16	788	511	574	647	718	440
GCA_006274605@Thermococcus_indicus_IOH1	0	82	863	31	847	702	735	774	807	679
GCA_008152015@Thermococcus_aciditolerans_SY113	0	76	855	38	844	679	707	755	794	648
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	31	790	13	770	466	526	606	702	366
GCA_020386975@Thermococcus_bergensis_T7324	0	22	769	22	757	526	590	658	706	445
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	23	761	24	746	451	503	609	687	332
GCA_024022995@Thermococcus_aggregans_TY	0	30	771	20	751	540	585	656	708	458
GCA_024707485@Thermococcus_sp_813A4	0	69	831	30	814	649	677	729	763	624
GCA_028471785@Thermococcus_kodakarensis_TS900	1	91	897	36	881	721	763	806	846	699
GCA_028471865@Thermococcus_kodakarensis_TS901	1	91	897	36	881	721	761	806	847	699
GCA_035621495@Thermococcus_sp_SY098	0	27	796	14	781	530	582	657	726	428
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	28	807	16	788	515	577	645	717	440
GCA_900198835@Thermococcus_henrietii_EXT12c	0	94	898	26	887	770	784	805	835	755
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	26	790	19	770	532	576	649	711	450
GCA_904067545@Thermococcus_camini_IRI35c	0	69	826	35	810	645	684	724	764	634
Palaeococcus_helgesoni_DSM_15127	0	14	789	17	764	463	534	631	695	412
Pyrococcus_31_3	0	27	815	18	796	524	582	656	727	454
Pyrococcus_32_1	0	27	815	18	796	524	581	655	726	454
Pyrococcus_abyssi_GE2	0	29	792	17	775	497	559	634	708	431
Pyrococcus_endeavori_ES4	0	25	776	14	759	479	533	613	700	374
Pyrococcus_EXT16	0	28	815	14	795	532	586	655	733	459
Pyrococcus_sp_32_3	0	27	815	18	796	523	582	655	726	456
Pyrococcus_sp_32_4	0	27	815	18	795	525	586	654	726	454
Pyrococcus_sp_EXT_15c	0	24	781	25	765	516	561	640	709	446
Pyrococcus_sp_GE_23	0	26	776	12	760	480	547	619	693	413
Pyrococcus_sp_IRI_42C	0	28	788	24	764	463	520	613	706	348
Thermococcus_15_2	0	44	777	29	761	609	630	678	714	583
Thermococcus_23_2	0	46	789	24	773	636	662	696	731	620
Thermococcus_29_3	0	76	842	31	833	737	746	773	796	713
Thermococcus_31_3	0	59	810	26	785	623	648	693	729	601
Thermococcus_aegaeus_DSM_12767	0	18	772	24	752	497	562	633	704	427
Thermococcus_aggregans_DSM_12819	0	30	770	20	752	540	582	655	708	462
Thermococcus_alcaliphilus_DSM_10322	0	17	767	18	752	506	557	638	700	423
Thermococcus_AMTc11	0	86	890	32	879	717	753	798	836	703
Thermococcus_AMTc30	0	81	835	26	818	715	729	754	777	696
Thermococcus_AMTc51	0	70	836	29	825	696	717	751	781	696
Thermococcus_AMTc85	0	86	834	28	821	720	730	757	785	709
Thermococcus_atlanticus_DSM_15226	0	39	814	27	800	589	638	701	749	549
Thermococcus_barophilus_423_3_23	0	26	784	15	760	516	565	647	706	427
Thermococcus_barophilus_CH1	0	29	806	18	788	527	593	660	738	435
Thermococcus_barophilus_DT4	0	25	783	19	764	520	575	646	709	436
Thermococcus_coalescens_TS1	0	61	824	26	806	639	668	717	757	609
Thermococcus_E15P35	0	87	864	27	849	750	757	785	810	726
Thermococcus_EXT11c	0	84	839	31	821	713	731	753	785	702
Thermococcus_fumicolans_ST557	0	57	828	28	812	639	673	716	759	626
Thermococcus_IRI_06c	0	79	838	40	817	650	681	729	763	641
Thermococcus_IRI15c	0	77	834	29	822	652	691	733	775	639
Thermococcus_marinus_DSM_15227	3	199	1000	568	1000	1000	1000	1000	1000	1000
Thermococcus_prieuri_Col3	0	49	797	27	780	613	636	689	721	588
Thermococcus_profundus_DSM_9503	0	49	808	35	792	629	665	717	753	598
Thermococcus_sp_23_4	0	46	790	24	773	635	663	698	729	615
Thermococcus_sp_26_2	0	98	870	33	857	748	760	785	813	731
Thermococcus_sp_33_3	0	87	859	26	847	749	756	784	807	726
Thermococcus_sp_9_3	0	95	865	28	854	757	760	791	812	732
Thermococcus_sp_AMTc09	0	96	879	37	862	747	759	791	818	729
Thermococcus_sp_AMTc102	0	96	872	35	854	742	759	790	818	727
Thermococcus_sp_AMTc71	0	55	811	25	797	648	674	712	755	623
Thermococcus_sp_AMTc72	0	55	811	25	798	652	673	713	754	626
Thermococcus_sp_AMTc79	0	81	852	24	841	737	745	772	796	722
Thermococcus_sp_AMTc94	0	82	862	22	849	750	764	784	812	730
Thermococcus_sp_CIR_03a	0	52	828	26	818	663	695	734	775	644
Thermococcus_sp_CIR_10a	0	34	808	15	791	552	596	676	732	457
Thermococcus_sp_DS1	0	59	809	32	791	641	674	718	741	621
Thermococcus_sp_E10P11	0	87	862	29	852	749	757	788	812	728
Thermococcus_sp_E10P8	0	87	862	29	852	748	757	787	812	727
Thermococcus_sp_E15p33	0	87	865	27	852	751	759	787	810	728
Thermococcus_sp_EXT09c	0	82	843	28	831	727	740	764	791	707
Thermococcus_sp_IRI_05c	0	72	822	30	806	645	676	724	755	625
Thermococcus_sp_IRI10c	0	78	833	28	821	653	696	736	775	639
Thermococcus_sp_IRI14c	0	77	834	27	821	652	694	731	775	640
Thermococcus_sp_IRI24c	0	75	839	29	821	651	693	737	771	644
Thermococcus_sp_IRI25c	0	79	843	27	828	659	697	738	778	644
Thermococcus_sp_IRI27c2	0	75	839	29	822	647	693	736	772	642
Thermococcus_sp_IRI29c	0	75	839	29	821	648	691	734	770	644
Thermococcus_sp_IRI_33c	0	64	816	33	797	643	676	723	746	624
Thermococcus_sp_TPV	0	92	892	34	881	764	783	807	834	751
Thermococcus_sp_unknown	0	85	844	29	830	722	731	760	787	708
Thermococcus_stetteri_DSM_5262	0	66	854	41	840	690	720	755	791	668
Thermococcus_waiotapuensis_WT1	0	51	807	22	782	607	649	696	731	584
