denovo	genome	contig	start	end	strand
OPFPOKDM_01280_gene_mRNA	Pyrococcus_31_3	7490	1160972	1161088	+
LPGJLMGN_00309_gene_mRNA	GCA_001433455@Thermococcus_barophilus_CH5	NZ_CP013050	249533	249685	-
AFABOCMA_01508_gene_mRNA	Thermococcus_coalescens_TS1	14020	1365184	1365279	-
ADNHAJGI_01280_gene_mRNA	Pyrococcus_32_1	7495	1161083	1161199	+
PBPJMCNB_01780_gene_mRNA	GCA_006274605@Thermococcus_indicus_IOH1	NZ_CP040846	1617661	1617816	+
OFPOBCOD_00026_gene_mRNA	Thermococcus_15_2	7488	21668	21778	+
IBPOIFOJ_00837_gene_mRNA	GCA_028471785@Thermococcus_kodakarensis_TS900	NZ_CP116885	715742	715861	-
KGGIBHBC_01353_gene_mRNA	Pyrococcus_EXT16	7485	1168473	1168682	+
LGNMEAEL_00403_gene_mRNA	GCA_035621495@Thermococcus_sp_SY098	NZ_CP141821	388772	388912	+
KGGIBHBC_00480_gene_mRNA	Pyrococcus_EXT16	7485	401206	401316	-
ANCILGIH_01271_gene_mRNA	Pyrococcus_sp_32_4	8823	1148138	1148248	-
FCCLJDJA_00457_gene_mRNA	Thermococcus_sp_IRI14c	11810	415118	415267	+
CJOMCJEF_01588_gene_mRNA	Thermococcus_sp_AMTc94	11802	1410621	1410821	-
ANCILGIH_00907_gene_mRNA	Pyrococcus_sp_32_4	8823	830483	830695	+
KNEHCMDO_00837_gene_mRNA	GCA_028471865@Thermococcus_kodakarensis_TS901	NZ_CP116886	715742	715861	-
NDGJDIIF_00111_gene_mRNA	Thermococcus_fumicolans_ST557	14021	86505	86672	+
KOPGNMII_01455_gene_mRNA	GCA_020386975@Thermococcus_bergensis_T7324	NZ_JABFNK010000005	833245	833319	-
KKEPLHJF_01462_gene_mRNA	Thermococcus_sp_CIR_03a	8822	1366716	1366805	-
KLPMFDKH_00305_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	270035	270217	+
GDFJICBN_01274_gene_mRNA	Pyrococcus_sp_EXT_15c	8813	1156287	1156382	-
FOFBPMIL_01636_gene_mRNA	Thermococcus_barophilus_CH1	4059	1492349	1492483	+
EDCHFHLE_01264_gene_mRNA	Pyrococcus_sp_32_3	8815	1098054	1098164	+
GMIOLJND_00985_gene_mRNA	GCA_000816105@Thermococcus_guaymasensis_DSM_11113	NZ_CP007140	883935	884159	+
GDFJICBN_01612_gene_mRNA	Pyrococcus_sp_EXT_15c	8813	1414364	1414618	+
OBEJPNEJ_01353_gene_mRNA	Thermococcus_atlanticus_DSM_15226	11783	1258453	1258587	-
PCHKGBCN_01240_gene_mRNA	Thermococcus_AMTc51	10770	1131923	1132270	-
OPFPOKDM_02026_gene_mRNA	Pyrococcus_31_3	7490	1811814	1811924	+
EDEBIHJP_00546_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	NC_018092	519666	519758	+
FDFCGALF_00977_gene_mRNA	GCA_001484685@Thermococcus_sp_2319x1	NZ_CP012200	853498	853800	+
MLLJDAHJ_00262_gene_mRNA	GCA_000151105@Thermococcus_barophilus_MP	NC_014804	215469	215621	-
HGKANDNA_01424_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014750	1317821	1317988	-
KMOELFFF_00397_gene_mRNA	GCA_000769655@Thermococcus_eurythermalis_A501	NZ_CP008887	357911	358045	+
ADNHAJGI_00145_gene_mRNA	Pyrococcus_32_1	7495	140261	140473	-
LFPLOHAD_00052_gene_mRNA	Thermococcus_IRI15c	11152	50306	50455	-
OCJIHLOK_01858_gene_mRNA	GCA_002214465@Thermococcus_barossii_SHCK_94	NZ_CP015101	1687070	1687294	-
OPFPOKDM_00145_gene_mRNA	Pyrococcus_31_3	7490	140237	140449	-
AJGPKGBP_00419_gene_mRNA	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	392761	393264	+
PDKJIDNC_00106_gene_mRNA	Thermococcus_E15P35	10971	99884	100036	+
DOACLEJL_00969_gene_mRNA	GCA_001647085@Thermococcus_piezophilus_CDGS	NZ_CP015520	792711	792932	+
FKEJDOMN_00259_gene_mRNA	GCA_000195935@Pyrococcus_abyssi_GE5	NC_000868	248073	248213	-
GNOOMBDF_01715_gene_mRNA	Palaeococcus_helgesoni_DSM_15127	11779	1574335	1574619	+
KNECDIJF_00704_gene_mRNA	Thermococcus_sp_IRI_33c	8820	604053	604151	-
KNEHCMDO_00301_gene_mRNA	GCA_028471865@Thermococcus_kodakarensis_TS901	NZ_CP116886	249520	249735	+
LAJHHDHE_00197_gene_mRNA	GCA_000258515@Thermococcus_zilligii_AN1	NZ_AJLF01000001	189080	189241	-
AAAKJNHH_00460_gene_mRNA	Thermococcus_sp_IRI25c	11809	414049	414198	+
HKFOCBLP_00051_gene_mRNA	Thermococcus_alcaliphilus_DSM_10322	11782	50550	50720	-
ADNHAJGI_01629_gene_mRNA	Pyrococcus_32_1	7495	1431212	1431292	-
EGODEMLK_01263_gene_mRNA	Thermococcus_sp_E15p33	8816	1109840	1109917	+
LHBEBFMA_01371_gene_mRNA	GCA_900198835@Thermococcus_henrietii_EXT12c	NZ_LT900021	1217854	1218063	+
EDCHFHLE_01627_gene_mRNA	Pyrococcus_sp_32_3	8815	1415607	1415819	-
IBPOIFOJ_00301_gene_mRNA	GCA_028471785@Thermococcus_kodakarensis_TS900	NZ_CP116885	249520	249735	+
LAMLPHDI_01330_gene_mRNA	Thermococcus_sp_IRI29c	11803	1194455	1194670	+
HCEHDMML_01343_gene_mRNA	GCA_002214605@Thermococcus_chitonophagus	NZ_CP015193	1166042	1166239	+
