	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	15	795	40	772	470	515	618	708	359
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	47	846	101	834	665	679	746	783	628
GCA_000011105@Pyrococcus_horikoshii_OT3	0	14	789	38	764	477	523	614	701	363
GCA_000018365@Thermococcus_onnurineus_NA1	0	45	813	167	795	692	716	746	769	681
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	42	847	99	824	648	684	740	776	623
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	804	52	786	501	550	662	729	370
GCA_000151105@Thermococcus_barophilus_MP	0	17	850	61	830	588	635	737	780	494
GCA_000151205@Thermococcus_sp_AM4	0	52	843	99	815	646	679	736	770	619
GCA_000195935@Pyrococcus_abyssi_GE5	0	15	787	44	763	512	549	639	698	424
GCA_000211475@Pyrococcus_sp_NA2	0	16	789	42	765	489	539	616	699	395
GCA_000215995@Pyrococcus_yayanosii_CH1	0	17	804	55	773	546	594	655	705	497
GCA_000221185@Thermococcus_sp_4557	0	141	1000	512	1000	1000	1000	1000	1000	1000
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	19	847	50	823	598	638	723	770	487
GCA_000258515@Thermococcus_zilligii_AN1	0	25	826	95	803	620	642	698	747	583
GCA_000263735@Pyrococcus_sp_ST04	0	16	780	41	759	478	527	612	695	370
GCA_000265525@Thermococcus_cleftensis_CL1	0	80	899	253	885	807	816	835	856	798
GCA_000275605@Pyrococcus_furiosus_COM1	0	15	794	40	769	472	517	623	708	350
GCA_000517445@Thermococcus_paralvinellae_ES1	0	21	818	50	795	536	590	685	747	451
GCA_000585495@Thermococcus_nautili_30_1	0	45	851	120	832	662	696	759	783	642
GCA_000725425@Palaeococcus_pacificus_DY20341	0	18	838	50	818	603	633	715	773	487
GCA_000769655@Thermococcus_eurythermalis_A501	0	53	864	138	848	688	710	773	809	656
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	34	843	123	822	664	690	750	779	640
GCA_001433455@Thermococcus_barophilus_CH5	0	25	853	57	831	599	626	731	779	490
GCA_001484685@Thermococcus_sp_2319x1	0	16	807	49	784	565	593	691	733	475
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	18	808	48	775	528	580	662	726	427
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	36	838	110	817	661	688	752	784	625
GCA_001647085@Thermococcus_piezophilus_CDGS	0	36	808	152	789	670	687	728	750	642
GCA_002197185@Thermococcus_sp_5_4	0	56	864	272	851	771	785	806	823	759
GCA_002214365@Thermococcus_celer_Vu_13	0	35	837	168	823	716	729	760	783	695
GCA_002214385@Thermococcus_gorgonarius_W_12	0	32	799	87	778	603	637	696	729	580
GCA_002214465@Thermococcus_barossii_SHCK_94	0	55	868	246	859	774	783	815	831	757
GCA_002214485@Thermococcus_pacificus_P4	0	54	842	197	829	728	747	777	802	711
GCA_002214505@Thermococcus_siculi_RG_20	0	67	897	231	887	811	819	844	861	790
GCA_002214525@Thermococcus_sp_P6	0	25	778	109	766	648	667	701	726	618
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	65	879	236	866	759	770	810	832	741
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	62	876	284	866	793	802	827	841	777
GCA_002214585@Thermococcus_profundus_DT_5432	0	37	849	113	833	643	678	752	782	620
GCA_002214605@Thermococcus_chitonophagus	0	15	790	47	761	511	556	643	700	416
GCA_006274605@Thermococcus_indicus_IOH1	0	88	915	328	899	828	835	862	871	818
GCA_008152015@Thermococcus_aciditolerans_SY113	0	82	908	333	894	822	834	858	872	821
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	15	795	41	769	469	515	620	708	350
