	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	25	796	42	763	478	516	610	693	352
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	63	870	117	843	641	673	738	765	598
GCA_000011105@Pyrococcus_horikoshii_OT3	0	13	767	38	735	459	502	582	653	350
GCA_000018365@Thermococcus_onnurineus_NA1	0	52	838	212	815	698	717	744	763	678
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	47	853	100	823	611	649	698	750	586
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	791	48	763	504	545	638	699	376
GCA_000151105@Thermococcus_barophilus_MP	0	25	852	72	835	620	650	730	784	516
GCA_000151205@Thermococcus_sp_AM4	0	62	865	106	837	636	667	716	770	618
GCA_000195935@Pyrococcus_abyssi_GE5	0	21	785	41	756	481	541	614	674	407
GCA_000211475@Pyrococcus_sp_NA2	0	24	789	48	763	497	548	626	693	409
GCA_000215995@Pyrococcus_yayanosii_CH1	0	27	798	67	759	529	581	639	693	495
GCA_000221185@Thermococcus_sp_4557	0	73	887	257	860	737	758	782	806	716
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	29	854	58	829	584	639	700	763	513
GCA_000258515@Thermococcus_zilligii_AN1	0	34	817	94	779	579	613	667	715	560
GCA_000263735@Pyrococcus_sp_ST04	0	16	768	46	741	482	508	600	673	366
GCA_000265525@Thermococcus_cleftensis_CL1	0	78	875	229	852	724	747	778	802	718
GCA_000275605@Pyrococcus_furiosus_COM1	0	26	800	42	769	482	524	612	696	356
GCA_000517445@Thermococcus_paralvinellae_ES1	0	23	828	56	802	562	604	684	743	477
GCA_000585495@Thermococcus_nautili_30_1	0	58	872	142	841	668	704	748	790	643
GCA_000725425@Palaeococcus_pacificus_DY20341	0	19	813	55	785	578	610	687	732	473
GCA_000769655@Thermococcus_eurythermalis_A501	0	63	856	145	827	655	675	730	763	614
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	43	823	128	799	606	644	689	729	588
GCA_001433455@Thermococcus_barophilus_CH5	0	41	877	73	853	621	672	747	794	519
GCA_001484685@Thermococcus_sp_2319x1	0	37	832	61	797	566	601	678	727	485
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	18	807	42	769	497	545	617	687	428
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	39	845	127	822	640	668	717	755	611
GCA_001647085@Thermococcus_piezophilus_CDGS	0	51	830	194	780	650	675	701	726	624
GCA_002197185@Thermococcus_sp_5_4	0	62	853	293	827	760	767	787	803	745
GCA_002214365@Thermococcus_celer_Vu_13	0	56	842	228	820	713	719	757	774	698
GCA_002214385@Thermococcus_gorgonarius_W_12	0	41	814	101	783	580	614	660	712	547
GCA_002214465@Thermococcus_barossii_SHCK_94	0	69	884	277	866	770	784	795	820	765
GCA_002214485@Thermococcus_pacificus_P4	0	45	831	187	800	656	679	718	748	638
GCA_002214505@Thermococcus_siculi_RG_20	0	68	875	220	849	730	746	776	803	700
GCA_002214525@Thermococcus_sp_P6	0	34	769	131	731	604	624	648	670	595
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	118	938	398	921	862	867	888	902	856
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	64	867	280	840	763	764	786	809	740
GCA_002214585@Thermococcus_profundus_DT_5432	0	41	847	117	819	619	654	710	753	582
GCA_002214605@Thermococcus_chitonophagus	0	13	798	40	767	505	550	628	693	431
GCA_006274605@Thermococcus_indicus_IOH1	0	88	903	265	873	746	768	804	831	725
GCA_008152015@Thermococcus_aciditolerans_SY113	0	76	888	259	862	741	755	785	812	722
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	26	801	44	768	478	522	612	697	355
GCA_020386975@Thermococcus_bergensis_T7324	0	12	799	53	758	557	590	656	702	485
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	16	810	59	789	534	593	664	733	406
GCA_024022995@Thermococcus_aggregans_TY	0	25	809	59	776	529	579	656	698	463
GCA_024707485@Thermococcus_sp_813A4	2	181	1000	533	1000	1000	1000	1000	1000	1000
GCA_028471785@Thermococcus_kodakarensis_TS900	0	63	870	117	843	635	669	736	770	591
GCA_028471865@Thermococcus_kodakarensis_TS901	0	63	870	117	843	639	674	739	767	592
GCA_035621495@Thermococcus_sp_SY098	0	35	861	83	840	610	664	724	786	512
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	13	801	40	770	506	555	631	694	437
GCA_900198835@Thermococcus_henrietii_EXT12c	0	55	852	129	823	640	668	715	757	621
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	32	828	63	802	575	620	682	736	480
GCA_904067545@Thermococcus_camini_IRI35c	0	77	894	270	875	758	784	813	838	745
Palaeococcus_helgesoni_DSM_15127	0	24	818	57	783	562	606	680	724	481
Pyrococcus_31_3	0	15	805	38	775	518	564	641	699	435
Pyrococcus_32_1	0	15	803	38	772	517	561	641	697	430
Pyrococcus_abyssi_GE2	0	22	786	41	750	480	538	611	670	395
Pyrococcus_endeavori_ES4	0	14	772	44	742	480	516	598	672	369
Pyrococcus_EXT16	0	16	802	41	775	526	559	645	702	433
Pyrococcus_sp_32_3	0	15	805	38	775	523	561	641	697	431
Pyrococcus_sp_32_4	0	15	803	38	773	517	560	640	698	432
Pyrococcus_sp_EXT_15c	0	16	802	41	780	507	558	636	706	433
Pyrococcus_sp_GE_23	0	17	784	37	755	488	546	609	671	404
Pyrococcus_sp_IRI_42C	0	19	797	36	757	465	522	596	677	354
Thermococcus_15_2	0	59	847	152	823	656	687	729	771	632
Thermococcus_23_2	0	62	853	282	826	757	767	786	805	747
Thermococcus_29_3	0	52	847	133	820	637	671	721	766	611
Thermococcus_31_3	0	70	887	269	865	758	768	800	824	741
Thermococcus_aegaeus_DSM_12767	0	13	824	59	802	566	613	678	732	486
Thermococcus_aggregans_DSM_12819	0	24	813	53	782	534	581	659	705	475
Thermococcus_alcaliphilus_DSM_10322	0	16	834	58	812	582	622	697	755	511
Thermococcus_AMTc11	0	84	920	294	891	782	795	829	851	763
Thermococcus_AMTc30	0	53	848	124	814	638	666	713	759	622
Thermococcus_AMTc51	0	45	841	136	818	650	669	709	764	623
Thermococcus_AMTc85	0	52	840	124	807	635	660	703	751	616
Thermococcus_atlanticus_DSM_15226	0	49	884	125	852	696	725	780	812	652
