genome	denovo_gene	outgroup	noncoding_match_contig	noncoding_match_start	noncoding_match_end	noncoding_match_strand	intergenic	f+0	f+1	f+2	n_genes	gene_matches
GCA_000007305@Pyrococcus_furiosus_DSM_3638	BCEBDJIJ_00756_gene_mRNA	GCA_000275605@Pyrococcus_furiosus_COM1	NC_018092	531486	531579	+	93	0	0	0	0	
GCA_000007305@Pyrococcus_furiosus_DSM_3638	BCEBDJIJ_00768_gene_mRNA	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	805572	805848	-	265	0	11	0	1	AJHNGCFL_00911
GCA_000009965@Thermococcus_kodakarensis_KOD1	DKCGPBOD_00839_gene_mRNA	GCA_001592435@Thermococcus_peptonophilus_OG_1	NZ_CP014750	196104	196221	+	112	0	0	5	1	HGKANDNA_00202
GCA_000022365@Thermococcus_gammatolerans_EJ3	IOIKJFFK_00291_gene_mRNA	GCA_000816105@Thermococcus_guaymasensis_DSM_11113	NZ_CP007140	671353	671527	-	174	0	0	0	0	
GCA_000022365@Thermococcus_gammatolerans_EJ3	IOIKJFFK_00463_gene_mRNA	Thermococcus_IRI15c	11152	1621508	1621775	+	267	0	0	0	0	
GCA_000022365@Thermococcus_gammatolerans_EJ3	IOIKJFFK_01357_gene_mRNA	GCA_000151205@Thermococcus_sp_AM4	NC_016051	619234	619354	-	120	0	0	0	0	
GCA_000151105@Thermococcus_barophilus_MP	MLLJDAHJ_00262_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	626064	626217	-	153	0	0	0	0	
GCA_000195935@Pyrococcus_abyssi_GE5	FKEJDOMN_00259_gene_mRNA	Pyrococcus_abyssi_GE2	7482	659191	659332	-	141	0	0	0	0	
GCA_000246985@Thermococcus_litoralis_DSM_5473	DKLHHBAG_02012_gene_mRNA	GCA_020386975@Thermococcus_bergensis_T7324	NZ_JABFNK010000005	730250	730340	+	80	0	0	10	1	KOPGNMII_01323
GCA_000258515@Thermococcus_zilligii_AN1	LAJHHDHE_00197_gene_mRNA	GCA_002214385@Thermococcus_gorgonarius_W_12	NZ_CP014855	285650	285782	-	132	0	0	0	0	
GCA_000258515@Thermococcus_zilligii_AN1	LAJHHDHE_00587_gene_mRNA	Thermococcus_waiotapuensis_WT1	14024	1488969	1489050	-	77	0	0	4	1	PBMLHHBH_01700
GCA_000265525@Thermococcus_cleftensis_CL1	GCEEKKGH_00611_gene_mRNA	GCA_024707485@Thermococcus_sp_813A4	NZ_CP102602	1117198	1117294	+	24	72	0	0	1	BIGFIPKJ_01270
GCA_000275605@Pyrococcus_furiosus_COM1	EDEBIHJP_00546_gene_mRNA	GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	NZ_CP023154	698927	699020	+	93	0	0	0	0	
GCA_000275605@Pyrococcus_furiosus_COM1	EDEBIHJP_00574_gene_mRNA	GCA_000215995@Pyrococcus_yayanosii_CH1	NC_015680	805572	805848	-	265	0	11	0	1	AJHNGCFL_00911
GCA_000585495@Thermococcus_nautili_30_1	AMHJKFND_00757_gene_mRNA	Thermococcus_AMTc30	10769	156625	156985	-	360	0	0	0	0	
GCA_000769655@Thermococcus_eurythermalis_A501	KMOELFFF_00397_gene_mRNA	Thermococcus_sp_E10P11	11811	1223249	1223381	-	123	9	0	0	1	GNDPMMCP_01364
GCA_000769655@Thermococcus_eurythermalis_A501	KMOELFFF_00874_gene_mRNA	GCA_008152015@Thermococcus_aciditolerans_SY113	NZ_CP041932	1039851	1039965	-	114	0	0	0	0	
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	GMIOLJND_00985_gene_mRNA	GCA_000769655@Thermococcus_eurythermalis_A501	NZ_CP008887	467013	467226	-	213	0	0	0	0	
GCA_001433455@Thermococcus_barophilus_CH5	LPGJLMGN_00309_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	626064	626217	-	153	0	0	0	0	
GCA_001433455@Thermococcus_barophilus_CH5	LPGJLMGN_01998_gene_mRNA	Thermococcus_barophilus_423_3_23	4061	1786528	1786603	+	40	0	0	35	1	KLPMFDKH_02044
GCA_001433455@Thermococcus_barophilus_CH5	LPGJLMGN_02261_gene_mRNA	GCA_000517445@Thermococcus_paralvinellae_ES1	NZ_CP006965	1837815	1837947	-	49	0	0	83	1	NEIFGDLC_02043
GCA_001484685@Thermococcus_sp_2319x1	FDFCGALF_00036_gene_mRNA	GCA_024022995@Thermococcus_aggregans_TY	NZ_CP099582	1110717	1110876	+	159	0	0	0	0	
GCA_001484685@Thermococcus_sp_2319x1	FDFCGALF_00842_gene_mRNA	GCA_000022545@Thermococcus_sibiricus_MM_739	NC_012883	906837	906984	+	147	0	0	0	0	
GCA_001484685@Thermococcus_sp_2319x1	FDFCGALF_00977_gene_mRNA	GCA_902813195@Thermococcus_sp_2319x1_Essen	NZ_LR778300	852272	852521	+	249	0	0	0	0	
GCA_001484685@Thermococcus_sp_2319x1	FDFCGALF_01644_gene_mRNA	GCA_902813195@Thermococcus_sp_2319x1_Essen	NZ_LR778300	1479836	1480160	-	271	0	53	0	1	HPMEPLIM_01664
GCA_001484685@Thermococcus_sp_2319x1	FDFCGALF_01917_gene_mRNA	Thermococcus_alcaliphilus_DSM_10322	11782	687469	687628	+	159	0	0	0	0	
GCA_001484685@Thermococcus_sp_2319x1	FDFCGALF_02150_gene_mRNA	GCA_902813195@Thermococcus_sp_2319x1_Essen	NZ_LR778300	1920029	1920134	-	105	0	0	0	0	
GCA_001592435@Thermococcus_peptonophilus_OG_1	HGKANDNA_00447_gene_mRNA	Thermococcus_IRI_06c	12654	599556	599748	-	192	0	0	0	0	
GCA_001592435@Thermococcus_peptonophilus_OG_1	HGKANDNA_01424_gene_mRNA	Thermococcus_coalescens_TS1	14020	359556	359706	+	150	0	0	0	0	
GCA_001592435@Thermococcus_peptonophilus_OG_1	HGKANDNA_01718_gene_mRNA	GCA_000009965@Thermococcus_kodakarensis_KOD1	NC_006624	1159471	1159612	-	130	0	0	11	1	DKCGPBOD_01339
GCA_001647085@Thermococcus_piezophilus_CDGS	DOACLEJL_00969_gene_mRNA	GCA_020386975@Thermococcus_bergensis_T7324	NZ_JABFNK010000003	94225	94426	-	201	0	0	0	0	
GCA_001647085@Thermococcus_piezophilus_CDGS	DOACLEJL_02110_gene_mRNA	GCA_000018365@Thermococcus_onnurineus_NA1	NC_011529	657320	657467	-	147	0	0	0	0	
GCA_002197185@Thermococcus_sp_5_4	GMODMALF_00815_gene_mRNA	Thermococcus_31_3	7489	1318853	1319171	-	318	0	0	0	0	
GCA_002214385@Thermococcus_gorgonarius_W_12	LBEMKAPA_01754_gene_mRNA	Thermococcus_sp_AMTc71	13480	1224297	1224387	+	90	0	0	0	0	
GCA_002214465@Thermococcus_barossii_SHCK_94	OCJIHLOK_01858_gene_mRNA	Thermococcus_31_3	7489	241423	241621	+	198	0	0	0	0	
GCA_002214485@Thermococcus_pacificus_P4	HGDGAMDH_00213_gene_mRNA	GCA_000725425@Palaeococcus_pacificus_DY20341	NZ_CP006019	1740332	1740527	+	195	0	0	0	0	
GCA_002214525@Thermococcus_sp_P6	CNPDMPNG_00739_gene_mRNA	GCA_000246985@Thermococcus_litoralis_DSM_5473	NC_022084	595032	595194	+	162	0	0	0	0	
GCA_002214545@Thermococcus_thioreducens_OGL_20P	IAOIMLBH_00023_gene_mRNA	Thermococcus_sp_DS1	7110	1653333	1653459	-	126	0	0	0	0	
GCA_002214545@Thermococcus_thioreducens_OGL_20P	IAOIMLBH_01370_gene_mRNA	Thermococcus_sp_IRI_05c	8817	1021725	1021848	-	119	0	0	4	1	OKIJBLPE_01175
GCA_002214605@Thermococcus_chitonophagus	HCEHDMML_01191_gene_mRNA	GCA_000263735@Pyrococcus_sp_ST04	NC_017946	850717	850828	+	66	45	0	0	1	FDLBPKII_00880
GCA_002214605@Thermococcus_chitonophagus	HCEHDMML_01343_gene_mRNA	Pyrococcus_31_3	7490	640173	640371	+	198	0	0	0	0	
GCA_006274605@Thermococcus_indicus_IOH1	PBPJMCNB_00743_gene_mRNA	Thermococcus_alcaliphilus_DSM_10322	11782	935922	936114	-	192	0	0	0	0	
GCA_006274605@Thermococcus_indicus_IOH1	PBPJMCNB_01075_gene_mRNA	Thermococcus_sp_AMTc09	12160	1560798	1561002	-	204	0	0	0	0	
GCA_006274605@Thermococcus_indicus_IOH1	PBPJMCNB_01780_gene_mRNA	GCA_000725425@Palaeococcus_pacificus_DY20341	NZ_CP006019	931531	931678	+	147	0	0	0	0	
GCA_008152015@Thermococcus_aciditolerans_SY113	AJGPKGBP_00419_gene_mRNA	Thermococcus_sp_AMTc71	13480	325666	326368	-	702	0	0	0	0	
