	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	30	814	41	776	477	513	620	692	370
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	75	874	100	835	650	677	726	772	610
GCA_000011105@Pyrococcus_horikoshii_OT3	0	19	791	42	748	469	514	604	665	362
GCA_000018365@Thermococcus_onnurineus_NA1	0	36	818	88	771	603	630	686	722	558
GCA_000022365@Thermococcus_gammatolerans_EJ3	3	190	1000	475	1000	1000	1000	1000	1000	1000
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	783	39	741	447	497	600	658	338
GCA_000151105@Thermococcus_barophilus_MP	0	24	839	56	803	545	594	680	733	471
GCA_000151205@Thermococcus_sp_AM4	0	134	918	281	896	836	845	855	872	830
GCA_000195935@Pyrococcus_abyssi_GE5	0	22	801	42	763	505	544	625	695	431
GCA_000211475@Pyrococcus_sp_NA2	0	23	808	38	771	491	531	628	693	393
GCA_000215995@Pyrococcus_yayanosii_CH1	0	20	805	50	762	517	570	621	676	476
GCA_000221185@Thermococcus_sp_4557	0	47	861	103	824	621	666	718	759	608
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	18	836	47	801	544	594	670	734	449
GCA_000258515@Thermococcus_zilligii_AN1	0	43	828	98	788	609	642	679	726	584
GCA_000263735@Pyrococcus_sp_ST04	0	26	790	43	749	473	519	613	683	388
GCA_000265525@Thermococcus_cleftensis_CL1	0	61	841	103	798	622	640	695	737	590
GCA_000275605@Pyrococcus_furiosus_COM1	0	30	813	43	775	474	513	622	691	368
GCA_000517445@Thermococcus_paralvinellae_ES1	0	20	817	52	782	544	588	654	720	446
GCA_000585495@Thermococcus_nautili_30_1	0	80	864	150	827	660	685	741	768	635
GCA_000725425@Palaeococcus_pacificus_DY20341	0	12	804	40	758	481	530	615	678	401
GCA_000769655@Thermococcus_eurythermalis_A501	0	56	857	140	817	658	686	733	770	630
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	67	870	206	840	741	756	785	800	734
GCA_001433455@Thermococcus_barophilus_CH5	0	29	861	54	815	568	610	695	748	478
GCA_001484685@Thermococcus_sp_2319x1	0	18	809	41	767	510	550	637	697	438
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	28	828	51	791	543	585	674	725	456
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	46	835	96	802	623	651	704	736	595
GCA_001647085@Thermococcus_piezophilus_CDGS	0	38	823	76	755	575	615	660	698	559
GCA_002197185@Thermococcus_sp_5_4	0	40	827	100	784	605	651	683	722	585
