	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	20	757	13	726	460	514	588	668	350
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	82	865	24	847	697	727	769	802	667
GCA_000011105@Pyrococcus_horikoshii_OT3	0	17	764	14	743	475	535	615	679	378
GCA_000018365@Thermococcus_onnurineus_NA1	0	50	803	16	784	647	678	709	746	615
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	87	847	26	829	675	702	735	776	660
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	761	18	737	470	509	606	676	342
GCA_000151105@Thermococcus_barophilus_MP	0	34	810	14	788	538	581	668	734	442
GCA_000151205@Thermococcus_sp_AM4	0	83	856	14	840	712	736	764	798	689
GCA_000195935@Pyrococcus_abyssi_GE5	0	20	759	14	740	521	567	628	686	432
GCA_000211475@Pyrococcus_sp_NA2	0	25	786	16	764	498	546	626	708	389
GCA_000215995@Pyrococcus_yayanosii_CH1	0	30	779	14	753	542	588	642	693	503
GCA_000221185@Thermococcus_sp_4557	0	65	827	25	813	657	690	726	763	636
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	27	822	19	803	554	610	679	735	465
GCA_000258515@Thermococcus_zilligii_AN1	0	40	789	20	761	596	629	682	718	575
GCA_000263735@Pyrococcus_sp_ST04	0	30	766	18	742	475	521	611	672	376
GCA_000265525@Thermococcus_cleftensis_CL1	0	73	835	29	814	667	693	745	765	657
GCA_000275605@Pyrococcus_furiosus_COM1	0	22	757	13	726	466	517	591	670	351
GCA_000517445@Thermococcus_paralvinellae_ES1	0	28	784	14	764	533	574	654	714	434
GCA_000585495@Thermococcus_nautili_30_1	0	143	937	19	928	900	901	906	917	898
GCA_000725425@Palaeococcus_pacificus_DY20341	0	15	784	13	767	518	555	652	706	436
GCA_000769655@Thermococcus_eurythermalis_A501	0	79	862	29	848	749	775	790	815	738
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	62	824	22	810	653	682	724	762	636
GCA_001433455@Thermococcus_barophilus_CH5	0	45	842	13	825	559	614	697	768	462
GCA_001484685@Thermococcus_sp_2319x1	0	11	768	21	748	531	574	634	690	449
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	32	802	10	778	530	576	643	714	455
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	56	824	26	809	671	697	735	766	647
GCA_001647085@Thermococcus_piezophilus_CDGS	0	37	796	20	767	622	647	697	724	599
GCA_002197185@Thermococcus_sp_5_4	0	47	802	22	786	656	684	719	749	639
