	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	18	778	17	764	466	527	609	689	360
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	81	874	26	859	694	735	773	810	677
GCA_000011105@Pyrococcus_horikoshii_OT3	0	17	774	15	759	458	521	622	685	363
GCA_000018365@Thermococcus_onnurineus_NA1	0	48	828	25	814	651	680	734	767	628
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	68	853	20	841	680	704	747	795	659
GCA_000022545@Thermococcus_sibiricus_MM_739	0	16	776	11	759	459	513	619	696	319
GCA_000151105@Thermococcus_barophilus_MP	0	23	829	18	815	545	603	688	749	438
GCA_000151205@Thermococcus_sp_AM4	0	73	868	18	860	716	747	794	817	706
GCA_000195935@Pyrococcus_abyssi_GE5	0	22	775	10	761	518	568	633	702	440
GCA_000211475@Pyrococcus_sp_NA2	0	19	778	21	762	482	538	619	698	390
GCA_000215995@Pyrococcus_yayanosii_CH1	0	33	791	15	771	534	583	658	702	485
GCA_000221185@Thermococcus_sp_4557	0	63	835	22	821	653	695	737	769	648
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	20	820	22	792	525	566	668	728	442
GCA_000258515@Thermococcus_zilligii_AN1	0	36	795	24	779	585	626	669	717	567
GCA_000263735@Pyrococcus_sp_ST04	0	29	785	12	764	482	539	633	700	388
GCA_000265525@Thermococcus_cleftensis_CL1	0	67	843	32	824	672	691	741	775	648
GCA_000275605@Pyrococcus_furiosus_COM1	0	19	777	17	763	465	527	610	691	353
GCA_000517445@Thermococcus_paralvinellae_ES1	0	22	800	17	777	530	574	650	720	432
GCA_000585495@Thermococcus_nautili_30_1	0	109	909	23	900	841	848	859	872	836
GCA_000725425@Palaeococcus_pacificus_DY20341	0	15	795	13	775	517	558	665	721	427
GCA_000769655@Thermococcus_eurythermalis_A501	0	74	861	21	850	742	756	781	804	723
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	62	825	24	815	636	676	725	770	616
GCA_001433455@Thermococcus_barophilus_CH5	0	36	858	15	842	573	629	725	775	460
GCA_001484685@Thermococcus_sp_2319x1	0	12	775	20	760	518	563	640	701	436
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	27	810	16	793	521	586	651	726	440
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	57	853	30	842	686	723	768	799	663
GCA_001647085@Thermococcus_piezophilus_CDGS	0	45	815	23	790	625	649	707	737	593
GCA_002197185@Thermococcus_sp_5_4	0	41	828	24	811	679	696	741	771	654
GCA_002214365@Thermococcus_celer_Vu_13	0	40	815	22	800	628	665	713	745	617
