	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	10	801	40	789	599	617	662	723	498
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	20	840	51	822	560	611	687	757	481
GCA_000011105@Pyrococcus_horikoshii_OT3	0	12	779	36	757	544	561	619	686	434
GCA_000018365@Thermococcus_onnurineus_NA1	0	18	837	71	819	651	683	743	782	576
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	17	829	41	804	553	596	672	745	460
GCA_000022545@Thermococcus_sibiricus_MM_739	0	14	823	83	806	660	677	708	752	605
GCA_000151105@Thermococcus_barophilus_MP	0	40	901	290	893	828	836	845	866	821
GCA_000151205@Thermococcus_sp_AM4	0	19	813	47	793	541	594	665	735	442
GCA_000195935@Pyrococcus_abyssi_GE5	0	9	796	41	777	574	599	650	712	451
GCA_000211475@Pyrococcus_sp_NA2	0	8	795	36	777	588	603	661	714	488
GCA_000215995@Pyrococcus_yayanosii_CH1	0	13	789	55	773	558	593	645	714	473
GCA_000221185@Thermococcus_sp_4557	0	19	832	56	810	560	598	687	753	456
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	22	861	86	848	717	736	766	807	661
GCA_000258515@Thermococcus_zilligii_AN1	0	13	779	36	745	509	547	609	687	402
GCA_000263735@Pyrococcus_sp_ST04	0	12	792	39	770	569	590	641	701	478
GCA_000265525@Thermococcus_cleftensis_CL1	0	18	837	56	812	563	595	683	759	464
GCA_000275605@Pyrococcus_furiosus_COM1	0	9	798	40	786	597	613	656	722	497
GCA_000517445@Thermococcus_paralvinellae_ES1	0	107	1000	560	1000	1000	1000	1000	1000	1000
GCA_000585495@Thermococcus_nautili_30_1	0	20	819	54	797	549	587	672	739	449
GCA_000725425@Palaeococcus_pacificus_DY20341	0	13	848	86	830	700	707	747	778	643
GCA_000769655@Thermococcus_eurythermalis_A501	0	16	823	51	797	552	585	675	745	455
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	15	807	51	786	555	597	668	731	457
GCA_001433455@Thermococcus_barophilus_CH5	0	42	915	291	908	855	859	870	886	846
GCA_001484685@Thermococcus_sp_2319x1	0	13	833	81	811	677	680	723	770	628
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	11	798	43	775	582	607	666	713	500
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	16	834	45	813	582	618	694	753	486
GCA_001647085@Thermococcus_piezophilus_CDGS	0	14	804	69	781	600	632	693	734	533
GCA_002197185@Thermococcus_sp_5_4	0	16	842	54	824	594	625	709	781	491
GCA_002214365@Thermococcus_celer_Vu_13	0	15	824	51	801	530	586	664	747	418
