	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	4	829	23	807	620	647	678	749	502
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	7	857	24	840	532	603	692	772	413
GCA_000011105@Pyrococcus_horikoshii_OT3	0	4	812	25	788	556	578	644	713	436
GCA_000018365@Thermococcus_onnurineus_NA1	0	2	848	16	820	588	620	698	758	463
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	6	814	17	798	501	553	644	730	369
GCA_000022545@Thermococcus_sibiricus_MM_739	0	10	901	45	880	798	802	827	853	783
GCA_000151105@Thermococcus_barophilus_MP	0	7	903	33	889	755	769	802	850	677
GCA_000151205@Thermococcus_sp_AM4	0	4	825	22	805	472	536	643	732	360
GCA_000195935@Pyrococcus_abyssi_GE5	0	6	805	26	781	559	581	644	714	430
GCA_000211475@Pyrococcus_sp_NA2	0	5	822	29	795	571	597	648	721	449
GCA_000215995@Pyrococcus_yayanosii_CH1	0	4	827	22	795	531	572	666	725	416
GCA_000221185@Thermococcus_sp_4557	0	7	867	23	844	535	602	702	778	401
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	11	899	30	877	791	797	826	850	769
GCA_000258515@Thermococcus_zilligii_AN1	0	5	803	21	779	490	541	634	703	379
GCA_000263735@Pyrococcus_sp_ST04	0	2	815	26	793	584	614	643	729	467
GCA_000265525@Thermococcus_cleftensis_CL1	0	4	847	21	819	517	560	667	746	392
GCA_000275605@Pyrococcus_furiosus_COM1	0	4	829	23	808	620	649	679	751	499
GCA_000517445@Thermococcus_paralvinellae_ES1	0	7	884	29	863	721	733	778	809	661
GCA_000585495@Thermococcus_nautili_30_1	0	4	835	23	809	472	522	642	732	345
GCA_000725425@Palaeococcus_pacificus_DY20341	0	7	884	27	870	746	758	800	833	642
GCA_000769655@Thermococcus_eurythermalis_A501	0	6	828	35	806	512	559	677	736	377
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	4	831	34	813	537	564	680	743	398
GCA_001433455@Thermococcus_barophilus_CH5	0	9	911	36	894	756	773	801	849	673
GCA_001484685@Thermococcus_sp_2319x1	0	4	875	25	850	754	761	783	811	722
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	5	826	29	807	567	597	660	743	435
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	3	841	20	816	528	586	679	764	413
GCA_001647085@Thermococcus_piezophilus_CDGS	0	5	821	24	783	557	592	653	721	430
GCA_002197185@Thermococcus_sp_5_4	0	6	879	23	861	567	607	721	796	421
GCA_002214365@Thermococcus_celer_Vu_13	0	4	841	26	818	479	555	675	753	353
GCA_002214385@Thermococcus_gorgonarius_W_12	0	4	805	23	776	510	559	654	714	398
GCA_002214465@Thermococcus_barossii_SHCK_94	0	5	865	22	846	567	620	720	786	453
GCA_002214485@Thermococcus_pacificus_P4	0	10	825	25	806	534	582	674	740	394
GCA_002214505@Thermococcus_siculi_RG_20	0	5	853	23	833	533	597	689	772	417
GCA_002214525@Thermococcus_sp_P6	0	3	782	24	761	479	533	630	687	372
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	7	885	30	870	586	635	749	814	436
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	6	877	20	860	565	615	723	795	441
GCA_002214585@Thermococcus_profundus_DT_5432	0	5	820	21	796	502	554	651	734	383
GCA_002214605@Thermococcus_chitonophagus	0	4	820	24	798	550	576	649	727	418
GCA_006274605@Thermococcus_indicus_IOH1	0	6	857	32	834	531	591	700	769	399
GCA_008152015@Thermococcus_aciditolerans_SY113	0	6	876	34	853	551	617	728	792	429
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	4	829	23	807	619	647	680	749	498
GCA_020386975@Thermococcus_bergensis_T7324	0	5	856	36	833	735	737	758	788	699
GCA_023746595@Thermococcus_argininiproducens_IOH2	1	44	1000	572	1000	1000	1000	1000	1000	1000
