	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	4	874	45	829	643	656	709	767	518
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	7	882	40	841	577	608	715	779	430
GCA_000011105@Pyrococcus_horikoshii_OT3	0	3	842	35	796	589	612	671	732	447
GCA_000018365@Thermococcus_onnurineus_NA1	0	6	877	52	834	591	624	697	761	466
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	6	845	38	806	532	566	662	738	412
GCA_000022545@Thermococcus_sibiricus_MM_739	0	53	1000	555	1000	1000	1000	1000	1000	1000
GCA_000151105@Thermococcus_barophilus_MP	0	6	909	72	887	736	752	784	832	658
GCA_000151205@Thermococcus_sp_AM4	0	7	847	37	809	511	553	656	745	388
GCA_000195935@Pyrococcus_abyssi_GE5	0	5	844	42	804	570	595	665	735	413
GCA_000211475@Pyrococcus_sp_NA2	0	5	861	44	824	610	638	684	749	475
GCA_000215995@Pyrococcus_yayanosii_CH1	0	3	848	39	801	558	564	661	729	413
GCA_000221185@Thermococcus_sp_4557	0	4	885	56	844	541	595	710	785	418
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	17	949	184	924	850	851	871	897	821
GCA_000258515@Thermococcus_zilligii_AN1	0	4	848	36	812	546	594	676	745	432
GCA_000263735@Pyrococcus_sp_ST04	0	4	847	39	810	604	614	682	740	481
GCA_000265525@Thermococcus_cleftensis_CL1	0	6	853	45	813	530	573	673	748	409
GCA_000275605@Pyrococcus_furiosus_COM1	0	4	874	47	828	640	653	707	768	521
GCA_000517445@Thermococcus_paralvinellae_ES1	0	7	900	79	870	731	745	769	821	654
GCA_000585495@Thermococcus_nautili_30_1	0	3	863	43	824	523	564	669	757	379
GCA_000725425@Palaeococcus_pacificus_DY20341	0	6	896	63	866	722	727	775	818	619
GCA_000769655@Thermococcus_eurythermalis_A501	0	5	868	48	826	545	576	677	764	423
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	5	857	48	829	565	599	691	753	442
GCA_001433455@Thermococcus_barophilus_CH5	0	10	926	65	894	752	768	801	847	666
GCA_001484685@Thermococcus_sp_2319x1	0	13	908	173	877	796	803	821	845	774
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	5	851	37	806	599	631	689	745	463
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	6	870	46	837	587	611	706	776	458
GCA_001647085@Thermococcus_piezophilus_CDGS	0	3	872	41	799	569	609	687	746	466
GCA_002197185@Thermococcus_sp_5_4	0	5	894	54	862	579	621	727	802	439
GCA_002214365@Thermococcus_celer_Vu_13	0	6	881	43	844	535	603	720	786	408
GCA_002214385@Thermococcus_gorgonarius_W_12	0	9	845	45	796	553	580	665	729	430
GCA_002214465@Thermococcus_barossii_SHCK_94	0	7	888	53	854	576	626	726	797	444
GCA_002214485@Thermococcus_pacificus_P4	0	6	868	53	840	567	623	715	777	435
GCA_002214505@Thermococcus_siculi_RG_20	0	7	872	47	838	584	612	718	780	449
GCA_002214525@Thermococcus_sp_P6	0	5	817	42	776	509	553	654	717	407
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	10	893	61	863	606	653	748	804	466
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	6	904	51	872	597	635	746	817	467
