	n_trg	n_cds	n_intergenic	n_f1	n_f2
GCA_000007305@Pyrococcus_furiosus_DSM_3638	20	735	1	196	320
GCA_000009965@Thermococcus_kodakarensis_KOD1	211	1000	557	1000	1000
GCA_000011105@Pyrococcus_horikoshii_OT3	10	723	1	198	292
GCA_000018365@Thermococcus_onnurineus_NA1	39	757	16	379	555
GCA_000022365@Thermococcus_gammatolerans_EJ3	62	793	15	381	567
GCA_000022545@Thermococcus_sibiricus_MM_739	10	728	2	203	298
GCA_000151105@Thermococcus_barophilus_MP	24	777	2	258	367
GCA_000151205@Thermococcus_sp_AM4	63	785	14	355	562
GCA_000195935@Pyrococcus_abyssi_GE5	15	740	2	216	362
GCA_000211475@Pyrococcus_sp_NA2	20	745	1	218	339
GCA_000215995@Pyrococcus_yayanosii_CH1	18	718	1	250	404
GCA_000221185@Thermococcus_sp_4557	60	774	15	345	561
GCA_000246985@Thermococcus_litoralis_DSM_5473	18	816	5	314	428
GCA_000258515@Thermococcus_zilligii_AN1	34	768	14	379	541
GCA_000263735@Pyrococcus_sp_ST04	21	724	1	218	336
GCA_000265525@Thermococcus_cleftensis_CL1	63	771	14	366	578
GCA_000275605@Pyrococcus_furiosus_COM1	20	737	1	198	324
GCA_000517445@Thermococcus_paralvinellae_ES1	21	742	2	238	348
GCA_000585495@Thermococcus_nautili_30_1	74	812	18	399	605
GCA_000725425@Palaeococcus_pacificus_DY20341	15	732	0	230	330
GCA_000769655@Thermococcus_eurythermalis_A501	85	850	23	422	632
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	62	779	14	381	553
GCA_001433455@Thermococcus_barophilus_CH5	40	807	3	270	388
GCA_001484685@Thermococcus_sp_2319x1	23	759	4	291	426
GCA_001577775@Pyrococcus_kukulkanii_NCB100	25	749	2	244	365
GCA_001592435@Thermococcus_peptonophilus_OG_1	70	803	154	712	722
GCA_001647085@Thermococcus_piezophilus_CDGS	40	731	6	363	520
GCA_002197185@Thermococcus_sp_5_4	41	746	15	353	556
GCA_002214365@Thermococcus_celer_Vu_13	33	764	11	294	536
GCA_002214385@Thermococcus_gorgonarius_W_12	41	731	19	403	530
GCA_002214465@Thermococcus_barossii_SHCK_94	44	775	17	376	571
